method,symbol,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
D0_equal,AAPL,2018-03,62,0.4822916666666667,-0.03556516487211823,0.27071294582165345,0.484375,0.53125,0.43333333333333335,0.5483870967741935,False
D0_day,AAPL,2018-03,62,0.5322916666666666,0.06454972243679027,0.261944141438584,0.49583333333333335,0.53125,0.5333333333333333,0.5,False
D1,AAPL,2018-03,62,0.48541666666666666,-0.029288959306450306,0.2622441433396727,0.5041666666666667,0.4375,0.5333333333333333,0.45161290322580644,False
D0_equal,AMZN,2018-03,62,0.4031746031746032,-0.3033924860942162,0.306611725867637,0.35238095238095235,0.7777777777777778,0.02857142857142857,0.8870967741935484,False
D0_day,AMZN,2018-03,62,0.39894179894179893,-0.2844842801795051,0.28599513028965107,0.34814814814814815,0.7407407407407407,0.05714285714285714,0.8548387096774194,False
D1,AMZN,2018-03,62,0.43174603174603177,-0.19213859760814742,0.29182538751327936,0.3873015873015873,0.7777777777777778,0.08571428571428572,0.8548387096774194,False
D0_equal,AAPL,2018-04,63,0.5408266129032258,0.08248900219951122,0.26120746334252687,0.5483870967741936,0.6129032258064516,0.46875,0.5714285714285714,False
D0_day,AAPL,2018-04,63,0.5246975806451613,0.049696660496618174,0.2544775729094419,0.5473790322580645,0.5806451612903226,0.46875,0.5555555555555556,False
D1,AAPL,2018-04,63,0.5090725806451613,0.01833088937766916,0.2561866606346601,0.532258064516129,0.5806451612903226,0.4375,0.5714285714285714,False
D0_equal,AMZN,2018-04,63,0.475,-0.05976143046671968,0.2560411518726691,0.4510204081632653,0.75,0.2,0.7777777777777778,False
D0_day,AMZN,2018-04,63,0.4857142857142857,-0.031984651050360066,0.25316617422084386,0.4387755102040816,0.7142857142857143,0.2571428571428571,0.7301587301587301,False
D1,AMZN,2018-04,63,0.5071428571428571,0.01707469441906277,0.24793346737853475,0.5448979591836735,0.7857142857142857,0.22857142857142856,0.7777777777777778,False
D0_equal,AAPL,2018-05,66,0.5461323392357875,0.09158437663089954,0.24898002284362836,0.5778191985088537,0.5405405405405406,0.5517241379310345,0.5,False
D0_day,AAPL,2018-05,66,0.5461323392357875,0.09158437663089954,0.24729091604761566,0.5675675675675677,0.5405405405405406,0.5517241379310345,0.5,False
D1,AAPL,2018-05,66,0.52143522833178,0.04305138788253592,0.24809838759117886,0.5666356011183599,0.5945945945945946,0.4482758620689655,0.5757575757575758,False
D0_equal,AMZN,2018-05,65,0.5029239766081871,0.009296394674096273,0.2619686426140355,0.3684210526315789,0.8947368421052632,0.1111111111111111,0.8923076923076924,False
D0_day,AMZN,2018-05,65,0.5160818713450293,0.05475687168320407,0.2598129208842585,0.38499025341130605,0.9210526315789473,0.1111111111111111,0.9076923076923077,False
D1,AMZN,2018-05,65,0.5107212475633528,0.0439697592049244,0.2571732257927802,0.38109161793372326,0.9473684210526315,0.07407407407407407,0.9384615384615385,False
D0_equal,AAPL,2018-06,63,0.4907407407407407,-0.018731716231633878,0.25620834787179714,0.5133744855967078,0.3888888888888889,0.5925925925925926,0.3968253968253968,False
D0_day,AAPL,2018-06,63,0.4537037037037037,-0.09259259259259259,0.2538007444420128,0.5133744855967078,0.3888888888888889,0.5185185185185185,0.42857142857142855,False
