method_base,symbol,month,n_base,BA_base,MCC_base,Brier_base,AUC_base,up_recall_base,down_recall_base,pred_up_base,constant_base,method_candidate,n_candidate,BA_candidate,MCC_candidate,Brier_candidate,AUC_candidate,up_recall_candidate,down_recall_candidate,pred_up_candidate,constant_candidate,delta_BA,delta_Brier
D0_day,AAPL,2018-06,63,0.4537037037037037,-0.09259259259259259,0.2538007444420128,0.5133744855967078,0.3888888888888889,0.5185185185185185,0.42857142857142855,False,D1,63,0.5092592592592593,0.01833088937766916,0.258512668445016,0.4588477366255144,0.5,0.5185185185185185,0.49206349206349204,False,0.05555555555555558,0.004711924003003243
D0_day,AMZN,2018-06,63,0.49347826086956526,-0.021393127492027906,0.23991203954261817,0.5695652173913043,0.9,0.08695652173913043,0.9047619047619048,False,D1,63,0.5244565217391304,0.06729773775727069,0.24279809230634378,0.5184782608695653,0.875,0.17391304347826086,0.8571428571428571,False,0.030978260869565122,0.0028860527637256106
D0_day,AAPL,2018-07,60,0.5531135531135531,0.10184470386660781,0.23889568751962284,0.6043956043956044,0.48717948717948717,0.6190476190476191,0.45,False,D1,60,0.532967032967033,0.06346374210195309,0.2304501839132856,0.6178266178266179,0.5897435897435898,0.47619047619047616,0.5666666666666667,False,-0.020146520146520186,-0.008445503606337251
D0_day,AMZN,2018-07,60,0.55,0.14002800840280097,0.241860866927623,0.6144444444444445,0.9,0.2,0.85,False,D1,60,0.5166666666666667,0.046676002800933654,0.2414091202648008,0.6433333333333333,0.8666666666666667,0.16666666666666666,0.85,False,-0.033333333333333326,-0.00045174666282221665
D0_day,AAPL,2018-08,69,0.5098039215686274,0.018475274304048998,0.22562038589224614,0.5849673202614379,0.6862745098039216,0.3333333333333333,0.6811594202898551,False,D1,69,0.5866013071895425,0.17320261437908496,0.2202830489934037,0.616557734204793,0.7843137254901961,0.3888888888888889,0.7391304347826086,False,0.07679738562091509,-0.005337336898842443
D0_day,AMZN,2018-08,69,0.46422413793103445,-0.10032821648366769,0.24576199856528883,0.5293103448275862,0.825,0.10344827586206896,0.855072463768116,False,D1,69,0.46422413793103445,-0.10032821648366769,0.24880028017579345,0.5198275862068965,0.825,0.10344827586206896,0.855072463768116,False,0.0,0.003038281610504623
