CIK,resolved_ticker,matched_alias,matched_articles,title_matches,body_matches,exact_ticker_matches,direct_high_confidence_edges,multi_company_high_confidence_edges,training_high_confidence_edges,training_distinct_recorded_dates,publisher_count,native_tag_agreement_rate,top_publisher_hash,top_publisher_fraction,publisher_entropy,training_days_denominator,training_day_coverage,risk_flags,risk_flag_count
1560672,EARN,ellington residential mortgage reit,460,327.0,133.0,0.0,267.0,183.0,128.0,52,9,0.5652173913043478,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.6526315789473685,1.2468131837469412,1008,0.051587301587301584,NONE,0
1565381,DMB,dreyfus municipal bond infrastructure fund,229,227.0,2.0,0.0,190.0,37.0,28.0,18,1,0.24890829694323144,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,1.0,-0.0,1008,0.017857142857142856,PUBLISHER_CONCENTRATION_GE_80_PERCENT,1
317788,APPS,neumedia,28,28.0,0.0,0.0,28.0,0.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1525221,VTOL,era group inc,153,130.0,23.0,0.0,131.0,15.0,28.0,13,4,0.0,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.6818181818181818,0.8788632452354226,1008,0.012896825396825396,NONE,0
923796,GEO,geo group inc,1175,291.0,884.0,0.0,290.0,653.0,223.0,84,9,0.41106382978723405,1b425b87521ec0ab5e4c02aa6bbf44fa197505a03a1fa7f593d749168cc34d2f,0.3620689655172414,1.6338625909420303,1008,0.08333333333333333,NONE,0
1434265,GMAB,genmab a s,505,84.0,421.0,0.0,99.0,293.0,144.0,34,2,0.19207920792079208,b760b1294f1c1c3c7acaf7968447dba9b64ee4ce0b10d6aa81600f9526801e12,0.75,0.5623351446188083,1008,0.03373015873015873,NONE,0
6955,EPAC,applied power,25,22.0,3.0,0.0,20.0,3.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,NONE,0
71508,ENO,entergy new orleans,113,27.0,86.0,0.0,20.0,37.0,7.0,5,0,0.035398230088495575,,0.0,0.0,1008,0.00496031746031746,NONE,0
1057379,HCKT,answerthink,60,58.0,2.0,0.0,56.0,2.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1084554,LTBR,thorium power,130,130.0,0.0,0.0,130.0,0.0,0.0,0,1,0.0,899feb94f03b699155327981274efda4d980eba15273b69e3928a653287f0f0a,1.0,-0.0,1008,0.0,PUBLISHER_CONCENTRATION_GE_80_PERCENT,1
