symbol,rows,dtype,nonnegative,negative_count,zero_count,zero_fraction,min,max,median,q01,q99,unique_count,mean,std,corr_abs_return,corr_range,likely_integer,source_sha256
AAPL,38634,int64,True,0,0,0.0,1.0,1663.0,702.0,2.0,1125.0,1237,607.4720194647202,335.7078267476619,0.3050822623934671,0.4416001472071248,True,059a29b0b24f438bd2d6f1be4102974f9b10631fd69b6c75ac2076930b0381cf
AMZN,30283,int64,True,0,0,0.0,1.0,1093.0,309.0,3.0,815.0,955,318.2899316448172,209.7510568704503,0.45407805008688173,0.5852131408554617,True,ea5ec298fe39364fa3cb3d9dfdd46393c5490f46c9e2da7984f839953e380282
