method,half_life,symbol,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
R1,infinity,AAPL,2018-03,62,0.42291666666666666,-0.15817166261312793,0.31218205095693174,0.4395833333333333,0.3125,0.5333333333333333,0.3870967741935484,False
R1,infinity,AMZN,2018-03,62,0.419047619047619,-0.18744806778279025,0.311749771518395,0.37142857142857144,0.6666666666666666,0.17142857142857143,0.7580645161290323,False
R1,infinity,AAPL,2018-04,63,0.5564516129032258,0.11359236684941297,0.2427480052414925,0.592741935483871,0.6129032258064516,0.5,0.5555555555555556,False
R1,infinity,AMZN,2018-04,63,0.425,-0.15348515337873012,0.2608866613632526,0.4653061224489796,0.5357142857142857,0.3142857142857143,0.6190476190476191,False
R1,infinity,AAPL,2018-05,66,0.5671015843429636,0.13376754398878044,0.24930082061036912,0.5582479030754892,0.5135135135135135,0.6206896551724138,0.45454545454545453,False
R1,infinity,AMZN,2018-05,65,0.49610136452241715,-0.007693004760192652,0.2574977696460093,0.4415204678362573,0.47368421052631576,0.5185185185185185,0.47692307692307695,False
R1,80,AAPL,2018-03,62,0.42291666666666666,-0.15817166261312793,0.3114584171000268,0.440625,0.3125,0.5333333333333333,0.3870967741935484,False
R1,80,AMZN,2018-03,62,0.41058201058201055,-0.19233564228738492,0.30420592777797534,0.38730158730158726,0.5925925925925926,0.22857142857142856,0.6935483870967742,False
R1,80,AAPL,2018-04,63,0.47731854838709675,-0.0458272234441729,0.25064858837264825,0.5816532258064516,0.5483870967741935,0.40625,0.5714285714285714,False
R1,80,AMZN,2018-04,63,0.45714285714285713,-0.08770580193070292,0.2810347756353482,0.4989795918367347,0.5714285714285714,0.34285714285714286,0.6190476190476191,False
R1,80,AAPL,2018-05,66,0.5535880708294502,0.10717614165890028,0.26379673553099925,0.5237651444547997,0.4864864864864865,0.6206896551724138,0.4393939393939394,False
R1,80,AMZN,2018-05,65,0.5019493177387914,0.004371608196470187,0.2631249631984406,0.44834307992202727,0.2631578947368421,0.7407407407407407,0.26153846153846155,False
R1,40,AAPL,2018-03,62,0.42291666666666666,-0.15817166261312793,0.3104889272433872,0.43541666666666673,0.3125,0.5333333333333333,0.3870967741935484,False
R1,40,AMZN,2018-03,62,0.40634920634920635,-0.19622565452573865,0.2974223358561547,0.40105820105820106,0.5555555555555556,0.2571428571428571,0.6612903225806451,False
R1,40,AAPL,2018-04,63,0.46118951612903225,-0.07809475220897141,0.24795976279369136,0.5715725806451613,0.5161290322580645,0.40625,0.5555555555555556,False
R1,40,AMZN,2018-04,63,0.5,0.0,0.2782827784589671,0.5091836734693878,0.5714285714285714,0.42857142857142855,0.5714285714285714,False
R1,40,AAPL,2018-05,66,0.5535880708294502,0.10717614165890028,0.262860502424317,0.5302889095992545,0.4864864864864865,0.6206896551724138,0.4393939393939394,False
R1,40,AMZN,2018-05,65,0.48635477582846,-0.03586667590416683,0.26987931857984254,0.4541910331384016,0.15789473684210525,0.8148148148148148,0.16923076923076924,False
R1,20,AAPL,2018-03,62,0.4395833333333333,-0.12500464502703568,0.307948353616357,0.4375,0.3125,0.5666666666666667,0.3709677419354839,False
R1,20,AMZN,2018-03,62,0.4264550264550264,-0.14708994708994708,0.28608281922090983,0.41375661375661377,0.48148148148148145,0.37142857142857144,0.5645161290322581,False
R1,20,AAPL,2018-04,63,0.5090725806451613,0.01833088937766916,0.2463486447625822,0.565524193548387,0.5806451612903226,0.4375,0.5714285714285714,False
R1,20,AMZN,2018-04,63,0.49642857142857144,-0.007121091148698563,0.27772576788808506,0.503061224489796,0.5357142857142857,0.45714285714285713,0.5396825396825397,False
R1,20,AAPL,2018-05,66,0.5265610438024231,0.053624197893232216,0.26150810754437687,0.53215284249767,0.43243243243243246,0.6206896551724138,0.4090909090909091,False
R1,20,AMZN,2018-05,65,0.5209551656920077,0.08594089299144314,0.28059799689708326,0.469785575048733,0.07894736842105263,0.9629629629629629,0.06153846153846154,False
F1,infinity,AAPL,2018-03,62,0.5145833333333334,0.029288959306450306,0.28068955092967074,0.5135416666666667,0.5625,0.4666666666666667,0.5483870967741935,False
F1,infinity,AMZN,2018-03,62,0.42486772486772484,-0.15937962369601547,0.30454245710075767,0.40529100529100526,0.5925925925925926,0.2571428571428571,0.6774193548387096,False
F1,infinity,AAPL,2018-04,63,0.544858870967742,0.11815066113959706,0.2603196505174809,0.5413306451612903,0.8709677419354839,0.21875,0.8253968253968254,False
F1,infinity,AMZN,2018-04,63,0.37857142857142856,-0.2531399269503094,0.27732076661331184,0.34591836734693876,0.21428571428571427,0.5428571428571428,0.3492063492063492,False
F1,infinity,AAPL,2018-05,66,0.5251630941286114,0.05016282899579266,0.25556960787737776,0.49860205032618826,0.5675675675675675,0.4827586206896552,0.5454545454545454,False
F1,infinity,AMZN,2018-05,65,0.5969785575048733,0.21748750777439183,0.25091009547871423,0.550682261208577,0.34210526315789475,0.8518518518518519,0.26153846153846155,False
F1,80,AAPL,2018-03,62,0.4979166666666667,-0.00419960525565808,0.27837643584311733,0.515625,0.5625,0.43333333333333335,0.5645161290322581,False
F1,80,AMZN,2018-03,62,0.4634920634920635,-0.07380101250382305,0.2991058377237215,0.4201058201058201,0.5555555555555556,0.37142857142857144,0.5967741935483871,False
F1,80,AAPL,2018-04,63,0.5453629032258065,0.12961896184130317,0.2628453357614206,0.5110887096774194,0.9032258064516129,0.1875,0.8571428571428571,False
F1,80,AMZN,2018-04,63,0.4107142857142857,-0.18613229922816868,0.2840816243990742,0.36530612244897964,0.25,0.5714285714285714,0.3492063492063492,False
F1,80,AAPL,2018-05,66,0.4883504193849022,-0.023169959709801357,0.256069938316302,0.4808946877912395,0.4594594594594595,0.5172413793103449,0.4696969696969697,False
F1,80,AMZN,2018-05,65,0.5813840155945419,0.2139191027141379,0.2565662731732635,0.543859649122807,0.23684210526315788,0.9259259259259259,0.16923076923076924,False
F1,40,AAPL,2018-03,62,0.5291666666666667,0.05942669039692125,0.2763938046917486,0.5197916666666667,0.625,0.43333333333333335,0.5967741935483871,False
F1,40,AMZN,2018-03,62,0.4777777777777778,-0.044657608470472246,0.2939688499498099,0.42962962962962964,0.5555555555555556,0.4,0.5806451612903226,False
F1,40,AAPL,2018-04,63,0.5453629032258065,0.12961896184130317,0.2619827244319197,0.5080645161290323,0.9032258064516129,0.1875,0.8571428571428571,False
F1,40,AMZN,2018-04,63,0.42142857142857143,-0.17013926184468015,0.28189115714217067,0.3653061224489796,0.21428571428571427,0.6285714285714286,0.30158730158730157,False
F1,40,AAPL,2018-05,66,0.5167753960857409,0.03461564064917653,0.2566255686445037,0.46505125815470644,0.3783783783783784,0.6551724137931034,0.36363636363636365,False
F1,40,AMZN,2018-05,65,0.5419103313840156,0.12573099415204678,0.26233700259392806,0.5175438596491229,0.15789473684210525,0.9259259259259259,0.12307692307692308,False
F1,20,AAPL,2018-03,62,0.5447916666666667,0.09191056070762839,0.273179983950881,0.51875,0.65625,0.43333333333333335,0.6129032258064516,False
F1,20,AMZN,2018-03,62,0.4978835978835978,-0.00419960525565808,0.28461053331839414,0.4402116402116402,0.48148148148148145,0.5142857142857142,0.4838709677419355,False
F1,20,AAPL,2018-04,63,0.5453629032258065,0.12961896184130317,0.260890221147336,0.4919354838709677,0.9032258064516129,0.1875,0.8571428571428571,False
F1,20,AMZN,2018-04,63,0.41428571428571426,-0.2,0.28069088430854094,0.3663265306122449,0.14285714285714285,0.6857142857142857,0.23809523809523808,False
F1,20,AAPL,2018-05,66,0.4506057781919851,-0.1367451685180658,0.2575073710988479,0.4613233923578751,0.10810810810810811,0.7931034482758621,0.15151515151515152,False
F1,20,AMZN,2018-05,65,0.5209551656920077,0.08594089299144314,0.27057164726630756,0.4658869395711501,0.07894736842105263,0.9629629629629629,0.06153846153846154,False
F2,infinity,AAPL,2018-03,62,0.4239583333333333,-0.15884586105957427,0.3218236568213799,0.41562499999999997,0.28125,0.5666666666666667,0.3548387096774194,False
F2,infinity,AMZN,2018-03,62,0.382010582010582,-0.2622758125723706,0.34021305830659254,0.3724867724867724,0.5925925925925926,0.17142857142857143,0.7258064516129032,False
F2,infinity,AAPL,2018-04,63,0.5579637096774194,0.12157344839459235,0.24257106050333105,0.6411290322580645,0.7096774193548387,0.40625,0.6507936507936508,False
F2,infinity,AMZN,2018-04,63,0.39642857142857146,-0.205886164914561,0.2897315377159766,0.36530612244897964,0.39285714285714285,0.4,0.5079365079365079,False
F2,infinity,AAPL,2018-05,66,0.5139794967381175,0.02884636720764711,0.2496898989074392,0.5088536812674744,0.6486486486486487,0.3793103448275862,0.6363636363636364,False
F2,infinity,AMZN,2018-05,65,0.4220272904483431,-0.15415288347095465,0.29092588801302666,0.31384015594541914,0.47368421052631576,0.37037037037037035,0.5384615384615384,False
F2,80,AAPL,2018-03,62,0.4552083333333333,-0.09191056070762839,0.32796627503780745,0.3541666666666667,0.34375,0.5666666666666667,0.3870967741935484,False
F2,80,AMZN,2018-03,62,0.39629629629629626,-0.22655704750137484,0.33216156463267843,0.33756613756613757,0.5925925925925926,0.2,0.7096774193548387,False
F2,80,AAPL,2018-04,63,0.5257056451612903,0.052926894897338775,0.25137660514916943,0.5493951612903225,0.6451612903225806,0.40625,0.6190476190476191,False
F2,80,AMZN,2018-04,63,0.425,-0.1492405014489273,0.28860199600589376,0.373469387755102,0.39285714285714285,0.45714285714285713,0.47619047619047616,False
F2,80,AAPL,2018-05,66,0.5671015843429636,0.13376754398878044,0.2461492527345748,0.5638397017707363,0.5135135135135135,0.6206896551724138,0.45454545454545453,False
F2,80,AMZN,2018-05,65,0.398635477582846,-0.2039250967738327,0.2923528766065968,0.29239766081871343,0.3157894736842105,0.48148148148148145,0.4,False
F2,40,AAPL,2018-03,62,0.4239583333333333,-0.15884586105957427,0.3283930213278286,0.34895833333333337,0.28125,0.5666666666666667,0.3548387096774194,False
F2,40,AMZN,2018-03,62,0.42486772486772484,-0.15937962369601547,0.3218743745960992,0.35661375661375666,0.5925925925925926,0.2571428571428571,0.6774193548387096,False
F2,40,AAPL,2018-04,63,0.4788306451612903,-0.04490132550669372,0.2527251289719233,0.5423387096774194,0.6451612903225806,0.3125,0.6666666666666666,False
F2,40,AMZN,2018-04,63,0.4392857142857143,-0.12105854952787558,0.2847378773025539,0.3836734693877551,0.39285714285714285,0.4857142857142857,0.4603174603174603,False
F2,40,AAPL,2018-05,66,0.5438024231127679,0.08898387680879855,0.24634716489603464,0.5815470643056849,0.43243243243243246,0.6551724137931034,0.3939393939393939,False
F2,40,AMZN,2018-05,65,0.3723196881091618,-0.2607534490858401,0.2950111052188442,0.3001949317738791,0.2631578947368421,0.48148148148148145,0.36923076923076925,False
F2,20,AAPL,2018-03,62,0.4083333333333333,-0.19358668169443338,0.3281233975866365,0.3302083333333334,0.25,0.5666666666666667,0.3387096774193548,False
F2,20,AMZN,2018-03,62,0.44497354497354497,-0.11058074478402652,0.3033907132423739,0.38730158730158726,0.5185185185185185,0.37142857142857144,0.5806451612903226,False
F2,20,AAPL,2018-04,63,0.47731854838709675,-0.0458272234441729,0.25475015502219034,0.4768145161290322,0.5483870967741935,0.40625,0.5714285714285714,False
F2,20,AMZN,2018-04,63,0.4178571428571428,-0.1658155677094358,0.28113779720402815,0.3785714285714286,0.32142857142857145,0.5142857142857142,0.4126984126984127,False
F2,20,AAPL,2018-05,66,0.5377446411929171,0.08043947985153671,0.24725025437557993,0.5992544268406338,0.35135135135135137,0.7241379310344828,0.3181818181818182,False
F2,20,AMZN,2018-05,65,0.4147173489278752,-0.1821139078075516,0.29492342110071124,0.3440545808966862,0.23684210526315788,0.5925925925925926,0.3076923076923077,False
