method,symbol,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
D0_equal,AAPL,2018-03,62,0.42291666666666666,-0.15817166261312793,0.31218205095693174,0.4395833333333333,0.3125,0.5333333333333333,0.3870967741935484,False
D0_day,AAPL,2018-03,62,0.5322916666666666,0.06454972243679027,0.261944141438584,0.49583333333333335,0.53125,0.5333333333333333,0.5,False
D1,AAPL,2018-03,62,0.48541666666666666,-0.029288959306450306,0.2622441433396727,0.5041666666666667,0.4375,0.5333333333333333,0.45161290322580644,False
D0_equal,AMZN,2018-03,62,0.419047619047619,-0.18744806778279025,0.311749771518395,0.37142857142857144,0.6666666666666666,0.17142857142857143,0.7580645161290323,False
D0_day,AMZN,2018-03,62,0.39894179894179893,-0.2844842801795051,0.28599513028965107,0.34814814814814815,0.7407407407407407,0.05714285714285714,0.8548387096774194,False
D1,AMZN,2018-03,62,0.43174603174603177,-0.19213859760814742,0.29182538751327936,0.3873015873015873,0.7777777777777778,0.08571428571428572,0.8548387096774194,False
D0_equal,AAPL,2018-04,63,0.5564516129032258,0.11359236684941297,0.2427480052414925,0.592741935483871,0.6129032258064516,0.5,0.5555555555555556,False
D0_day,AAPL,2018-04,63,0.5246975806451613,0.049696660496618174,0.2544775729094419,0.5473790322580645,0.5806451612903226,0.46875,0.5555555555555556,False
D1,AAPL,2018-04,63,0.5090725806451613,0.01833088937766916,0.2561866606346601,0.532258064516129,0.5806451612903226,0.4375,0.5714285714285714,False
D0_equal,AMZN,2018-04,63,0.425,-0.15348515337873012,0.2608866613632526,0.4653061224489796,0.5357142857142857,0.3142857142857143,0.6190476190476191,False
D0_day,AMZN,2018-04,63,0.4857142857142857,-0.031984651050360066,0.25316617422084386,0.4387755102040816,0.7142857142857143,0.2571428571428571,0.7301587301587301,False
D1,AMZN,2018-04,63,0.5071428571428571,0.01707469441906277,0.24793346737853475,0.5448979591836735,0.7857142857142857,0.22857142857142856,0.7777777777777778,False
D0_equal,AAPL,2018-05,66,0.5671015843429636,0.13376754398878044,0.24930082061036912,0.5582479030754892,0.5135135135135135,0.6206896551724138,0.45454545454545453,False
D0_day,AAPL,2018-05,66,0.5461323392357875,0.09158437663089954,0.24729091604761566,0.5675675675675677,0.5405405405405406,0.5517241379310345,0.5,False
D1,AAPL,2018-05,66,0.52143522833178,0.04305138788253592,0.24809838759117886,0.5666356011183599,0.5945945945945946,0.4482758620689655,0.5757575757575758,False
D0_equal,AMZN,2018-05,65,0.49610136452241715,-0.007693004760192652,0.2574977696460093,0.4415204678362573,0.47368421052631576,0.5185185185185185,0.47692307692307695,False
D0_day,AMZN,2018-05,65,0.5160818713450293,0.05475687168320407,0.2598129208842585,0.38499025341130605,0.9210526315789473,0.1111111111111111,0.9076923076923077,False
D1,AMZN,2018-05,65,0.5107212475633528,0.0439697592049244,0.2571732257927802,0.38109161793372326,0.9473684210526315,0.07407407407407407,0.9384615384615385,False
D0_equal,AAPL,2018-06,63,0.4907407407407407,-0.018731716231633878,0.2663216143320161,0.4403292181069959,0.3888888888888889,0.5925925925925926,0.3968253968253968,False
D0_day,AAPL,2018-06,63,0.4537037037037037,-0.09259259259259259,0.2538007444420128,0.5133744855967078,0.3888888888888889,0.5185185185185185,0.42857142857142855,False
D1,AAPL,2018-06,63,0.5092592592592593,0.01833088937766916,0.258512668445016,0.4588477366255144,0.5,0.5185185185185185,0.49206349206349204,False
D0_equal,AMZN,2018-06,63,0.6048913043478261,0.22006970263318495,0.23611675461342904,0.6065217391304348,0.775,0.43478260869565216,0.6984126984126984,False
D0_day,AMZN,2018-06,63,0.49347826086956526,-0.021393127492027906,0.23991203954261817,0.5695652173913043,0.9,0.08695652173913043,0.9047619047619048,False
D1,AMZN,2018-06,63,0.5244565217391304,0.06729773775727069,0.24279809230634378,0.5184782608695653,0.875,0.17391304347826086,0.8571428571428571,False
D0_equal,AAPL,2018-07,60,0.586080586080586,0.17216117216117216,0.2444661398323707,0.645909645909646,0.41025641025641024,0.7619047619047619,0.35,False
D0_day,AAPL,2018-07,60,0.5531135531135531,0.10184470386660781,0.23889568751962284,0.6043956043956044,0.48717948717948717,0.6190476190476191,0.45,False
D1,AAPL,2018-07,60,0.532967032967033,0.06346374210195309,0.2304501839132856,0.6178266178266179,0.5897435897435898,0.47619047619047616,0.5666666666666667,False
D0_equal,AMZN,2018-07,60,0.5833333333333334,0.19245008972987526,0.24284511675294512,0.6111111111111112,0.8333333333333334,0.3333333333333333,0.75,False
D0_day,AMZN,2018-07,60,0.55,0.14002800840280097,0.241860866927623,0.6144444444444445,0.9,0.2,0.85,False
D1,AMZN,2018-07,60,0.5166666666666667,0.046676002800933654,0.2414091202648008,0.6433333333333333,0.8666666666666667,0.16666666666666666,0.85,False
D0_equal,AAPL,2018-08,69,0.5081699346405228,0.014806384278366074,0.2338478164075101,0.5773420479302832,0.6274509803921569,0.3888888888888889,0.6231884057971014,False
D0_day,AAPL,2018-08,69,0.5098039215686274,0.018475274304048998,0.22562038589224614,0.5849673202614379,0.6862745098039216,0.3333333333333333,0.6811594202898551,False
D1,AAPL,2018-08,69,0.5866013071895425,0.17320261437908496,0.2202830489934037,0.616557734204793,0.7843137254901961,0.3888888888888889,0.7391304347826086,False
D0_equal,AMZN,2018-08,69,0.6336206896551724,0.274433014821148,0.23060211345278409,0.6586206896551725,0.75,0.5172413793103449,0.6376811594202898,False
D0_day,AMZN,2018-08,69,0.46422413793103445,-0.10032821648366769,0.24576199856528883,0.5293103448275862,0.825,0.10344827586206896,0.855072463768116,False
D1,AMZN,2018-08,69,0.46422413793103445,-0.10032821648366769,0.24880028017579345,0.5198275862068965,0.825,0.10344827586206896,0.855072463768116,False
