symbol,raw_rows,source_sha256,dtype,finite_count,missing_count,negative_count,zero_count,min,max,mean,median,q01,q05,q25,q75,q95,q99,unique_count,corr_abs_return,corr_high_low_range
AAPL,38634,059a29b0b24f438bd2d6f1be4102974f9b10631fd69b6c75ac2076930b0381cf,int64,38634,0,0,0,1.0,1663.0,607.4720194647202,702.0,2.0,8.0,471.0,850.0,1018.0,1125.0,1237,0.3050822623934671,0.4416001472071248
AMZN,30283,ea5ec298fe39364fa3cb3d9dfdd46393c5490f46c9e2da7984f839953e380282,int64,30283,0,0,0,1.0,1093.0,318.2899316448172,309.0,3.0,11.0,162.0,466.0,679.0,815.0,955,0.45407805008688173,0.5852131408554617
