symbol,month,n,current_valid_fraction_15,relative_valid_fraction_15,current_valid_fraction_60,relative_valid_fraction_60
AAPL,2018-01,59,0.6610169491525424,0.3728813559322034,0.3389830508474576,0.18644067796610164
AAPL,2018-02,57,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AAPL,2018-03,62,0.6612903225806452,0.6612903225806452,0.33870967741935487,0.33870967741935487
AAPL,2018-04,63,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AAPL,2018-05,66,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AAPL,2018-06,63,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AAPL,2018-07,60,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AAPL,2018-08,69,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AAPL,2018-09,57,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AAPL,2018-10,69,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AAPL,2018-11,60,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AAPL,2018-12,53,0.679245283018868,0.679245283018868,0.339622641509434,0.339622641509434
AAPL,2019-01,63,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AAPL,2019-02,2,0.5,0.5,0.0,0.0
AMZN,2018-01,60,0.6666666666666667,0.3666666666666667,0.33333333333333337,0.18333333333333335
AMZN,2018-02,57,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AMZN,2018-03,62,0.6612903225806452,0.6612903225806452,0.33870967741935487,0.33870967741935487
AMZN,2018-04,63,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AMZN,2018-05,65,0.6615384615384615,0.6615384615384615,0.3384615384615385,0.3384615384615385
AMZN,2018-06,63,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AMZN,2018-07,60,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AMZN,2018-08,69,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AMZN,2018-09,57,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AMZN,2018-10,69,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AMZN,2018-11,60,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AMZN,2018-12,54,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AMZN,2019-01,63,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
AMZN,2019-02,2,0.5,0.5,0.0,0.0
