kind,C,BA,Brier,base_Brier,version,Brier_difference,eligible
body,0.01,0.55990740218863,0.25866444172043257,0.2526936188638065,v3,0.00597082285662609,False
body,0.1,0.5505230717974345,0.26070859841436145,0.2526936188638065,v3,0.008014979550554968,False
body,1.0,0.5534182887670618,0.2647588414392727,0.2526936188638065,v3,0.012065222575466217,False
joint_body,0.01,0.5260079264878839,0.26840389552671373,0.2526936188638065,v3,0.015710276662907252,False
joint_body,0.1,0.5103703839391917,0.2822812965072338,0.2526936188638065,v3,0.029587677643427346,False
joint_body,1.0,0.5323617942490743,0.28480049695503873,0.2526936188638065,v3,0.03210687809123225,False
joint_semantic,0.01,0.5493537911495381,0.2737197573629153,0.2526936188638065,v3,0.021026138499108837,False
joint_semantic,0.1,0.5315423773075868,0.2811329551205759,0.2526936188638065,v3,0.02843933625676942,False
joint_semantic,1.0,0.5287556931642784,0.285451505317971,0.2526936188638065,v3,0.0327578864541645,False
semantic,0.01,0.5812046107272179,0.26479497384107153,0.2526936188638065,v3,0.012101354977265055,False
semantic,0.1,0.5517537607553784,0.26842661877544394,0.2526936188638065,v3,0.015732999911637457,False
semantic,1.0,0.5448410381275528,0.2706234134598048,0.2526936188638065,v3,0.017929794595998305,False
body,0.01,0.5753448223674295,0.2565402964535252,0.2526936188638065,zero_bias_v1,0.003846677589718739,False
body,0.1,0.5686808684212614,0.26151380356956766,0.2526936188638065,zero_bias_v1,0.00882018470576118,False
body,1.0,0.5757575159788526,0.26289989545487236,0.2526936188638065,zero_bias_v1,0.010206276591065877,False
joint_body,0.01,0.5300639717735117,0.2671689559365079,0.2526936188638065,zero_bias_v1,0.014475337072701433,False
joint_body,0.1,0.5324980836649345,0.27841638661881,0.2526936188638065,zero_bias_v1,0.02572276775500354,False
joint_body,1.0,0.5478515869467104,0.27956934526644905,0.2526936188638065,zero_bias_v1,0.026875726402642575,False
joint_semantic,0.01,0.5309302491611337,0.2769033342951099,0.2526936188638065,zero_bias_v1,0.024209715431303402,False
joint_semantic,0.1,0.5055031966055401,0.2869969943419472,0.2526936188638065,zero_bias_v1,0.03430337547814072,False
joint_semantic,1.0,0.5100553983659799,0.2904143223610162,0.2526936188638065,zero_bias_v1,0.03772070349720974,False
semantic,0.01,0.5385295384889008,0.25668665796949736,0.2526936188638065,zero_bias_v1,0.0039930391056908765,False
semantic,0.1,0.5399441862193382,0.2690543997896693,0.2526936188638065,zero_bias_v1,0.016360780925862795,False
semantic,1.0,0.5480644869712178,0.2703822131472765,0.2526936188638065,zero_bias_v1,0.017688594283470027,False
