symbol,variant,C,month,n,BA,MCC,Brier,pred_up,constant,up_rate
AAPL,price,0.01,6,63,0.4629629629629629,-0.0761386987626881,0.25633567352000824,0.36507936507936506,False,0.5714285714285714
AAPL,price,0.01,7,60,0.5512820512820513,0.09985744825254635,0.24882777694375713,0.4,False,0.65
AAPL,price,0.01,8,69,0.5277777777777778,0.05121969142940493,0.23840441962127706,0.6521739130434783,False,0.7391304347826086
AAPL,price,0.1,6,63,0.4722222222222222,-0.055843559328745504,0.2725563128815937,0.4126984126984127,False,0.5714285714285714
AAPL,price,0.1,7,60,0.5384615384615384,0.07546295692968115,0.2484539414252794,0.38333333333333336,False,0.65
AAPL,price,0.1,8,69,0.5555555555555556,0.10150384378451047,0.22944863729762266,0.6376811594202898,False,0.7391304347826086
AAPL,price,1.0,6,63,0.43981481481481477,-0.12099437854561525,0.2828185597040333,0.4126984126984127,False,0.5714285714285714
AAPL,price,1.0,7,60,0.5622710622710623,0.12326934324804635,0.2525707632219648,0.36666666666666664,False,0.65
AAPL,price,1.0,8,69,0.5457516339869282,0.08291575195885001,0.22780412187387072,0.6231884057971014,False,0.7391304347826086
AAPL,news,0.01,6,63,0.47685185185185186,-0.09395575350035361,0.24923756525609211,0.9365079365079365,False,0.5714285714285714
AAPL,news,0.01,7,60,0.3498168498168498,-0.2891126029088974,0.2554887527246657,0.5666666666666667,False,0.65
AAPL,news,0.01,8,69,0.5,0.0,0.22886557286535839,1.0,True,0.7391304347826086
AAPL,news,0.1,6,63,0.4583333333333333,-0.19364916731037082,0.2522707079858796,0.9523809523809523,False,0.5714285714285714
AAPL,news,0.1,7,60,0.36813186813186816,-0.2844627935584563,0.2584270763102021,0.7333333333333333,False,0.65
AAPL,news,0.1,8,69,0.5,0.0,0.21551201044485904,1.0,True,0.7391304347826086
AAPL,news,1.0,6,63,0.4166666666666667,-0.1771873269655855,0.27494329320259003,0.6825396825396826,False,0.5714285714285714
AAPL,news,1.0,7,60,0.4432234432234432,-0.13146810183860852,0.25789172268800736,0.7833333333333333,False,0.65
AAPL,news,1.0,8,69,0.49019607843137253,-0.07204381596421112,0.20241281520123677,0.9855072463768116,False,0.7391304347826086
AAPL,joint,0.01,6,63,0.4629629629629629,-0.07339758434175737,0.2574267566068309,0.47619047619047616,False,0.5714285714285714
AAPL,joint,0.01,7,60,0.5091575091575091,0.02017425108896008,0.2636761692089615,0.25,False,0.65
AAPL,joint,0.01,8,69,0.49346405228758167,-0.013600722489568479,0.23145954783668451,0.7681159420289855,False,0.7391304347826086
AAPL,joint,0.1,6,63,0.4444444444444444,-0.10998533626601496,0.2820711023394771,0.49206349206349204,False,0.5714285714285714
AAPL,joint,0.1,7,60,0.48534798534798534,-0.0316069770620507,0.28072486960521625,0.26666666666666666,False,0.65
AAPL,joint,0.1,8,69,0.522875816993464,0.05137623327375897,0.21975756375210628,0.8115942028985508,False,0.7391304347826086
AAPL,joint,1.0,6,63,0.4212962962962963,-0.15628591541249595,0.31079175720874036,0.5396825396825397,False,0.5714285714285714
AAPL,joint,1.0,7,60,0.4267399267399267,-0.14824986333222023,0.28337558491277787,0.3333333333333333,False,0.65
AAPL,joint,1.0,8,69,0.5980392156862745,0.22018385688753842,0.2005746183093371,0.8115942028985508,False,0.7391304347826086
AMZN,price,0.01,6,63,0.5793478260869566,0.152828062049447,0.24653761304037944,0.49206349206349204,False,0.6349206349206349
AMZN,price,0.01,7,60,0.5,0.0,0.24837034064721145,0.7666666666666667,False,0.5
AMZN,price,0.01,8,69,0.5301724137931034,0.06668178896847547,0.24604235848126002,0.7246376811594203,False,0.5797101449275363
AMZN,price,0.1,6,63,0.6793478260869565,0.3556166625769118,0.23747164458358394,0.6190476190476191,False,0.6349206349206349
AMZN,price,0.1,7,60,0.5,0.0,0.25407097867328415,0.7333333333333333,False,0.5
AMZN,price,0.1,8,69,0.6163793103448276,0.24122532033850386,0.2388529223389785,0.6521739130434783,False,0.5797101449275363
AMZN,price,1.0,6,63,0.6326086956521739,0.26099615540274046,0.23505612144603885,0.6031746031746031,False,0.6349206349206349
AMZN,price,1.0,7,60,0.5,0.0,0.2595428256373304,0.7333333333333333,False,0.5
AMZN,price,1.0,8,69,0.6336206896551724,0.274433014821148,0.23639387459901245,0.6376811594202898,False,0.5797101449275363
AMZN,news,0.01,6,63,0.4994565217391304,-0.0013785041310797998,0.24625586208909792,0.8253968253968254,False,0.6349206349206349
AMZN,news,0.01,7,60,0.5666666666666667,0.2222222222222222,0.2383510651985923,0.9,False,0.5
AMZN,news,0.01,8,69,0.5189655172413793,0.058480862731516696,0.24263188766528335,0.8840579710144928,False,0.5797101449275363
AMZN,news,0.1,6,63,0.5119565217391304,0.03150582325694126,0.24193516423694678,0.8412698412698413,False,0.6349206349206349
AMZN,news,0.1,7,60,0.5833333333333334,0.2333800140046683,0.23388266383652387,0.85,False,0.5
AMZN,news,0.1,8,69,0.5487068965517241,0.15018948837866788,0.23648412570509675,0.8840579710144928,False,0.5797101449275363
AMZN,news,1.0,6,63,0.558695652173913,0.16151457061744967,0.23842140269737838,0.8571428571428571,False,0.6349206349206349
AMZN,news,1.0,7,60,0.5833333333333334,0.20227834851568371,0.2331922267514874,0.7833333333333333,False,0.5
AMZN,news,1.0,8,69,0.656896551724138,0.3670070973414875,0.2250379394157673,0.7681159420289855,False,0.5797101449275363
AMZN,joint,0.01,6,63,0.5233695652173913,0.04501100457620699,0.24752215783632497,0.5079365079365079,False,0.6349206349206349
AMZN,joint,0.01,7,60,0.6,0.22613350843332272,0.23856027830907336,0.7333333333333333,False,0.5
AMZN,joint,0.01,8,69,0.5254310344827586,0.05826354219843232,0.2425037545020272,0.7536231884057971,False,0.5797101449275363
AMZN,joint,0.1,6,63,0.5891304347826087,0.1782608695652174,0.24055951540774953,0.6349206349206349,False,0.6349206349206349
AMZN,joint,0.1,7,60,0.5666666666666667,0.15075567228888181,0.24040998002944433,0.7333333333333333,False,0.5
AMZN,joint,0.1,8,69,0.6116379310344828,0.23648875780580347,0.23185906959781277,0.6811594202898551,False,0.5797101449275363
AMZN,joint,1.0,6,63,0.6141304347826086,0.23312620206007845,0.24058609168860684,0.6666666666666666,False,0.6349206349206349
AMZN,joint,1.0,7,60,0.55,0.11095900821829636,0.24680385323710977,0.7166666666666667,False,0.5
AMZN,joint,1.0,8,69,0.6681034482758621,0.34003927781110327,0.2170212941881678,0.6086956521739131,False,0.5797101449275363
