symbol,phase,count,sum
AAPL,development,126,126
AAPL,later,178,178
AAPL,train_forward_oof,383,381
AAPL,warmup,116,116
AMZN,development,126,126
AMZN,later,179,179
AMZN,train_forward_oof,382,380
AMZN,warmup,117,117
