month,seed,unlabeled_n,endpoint_days,epochs,best_validation_loss,zero_validation_loss,seconds,parameters
2018-03,573,512,40,20,0.1998138576745987,0.2140224128961563,2.4200122090114746,1988
2018-03,574,512,40,20,0.19993551075458527,0.2140224128961563,1.8463564169942401,1988
2018-03,575,512,40,20,0.20034857094287872,0.2140224128961563,1.8708327080239542,1988
2018-04,573,774,61,20,0.2873189151287079,0.32796892523765564,2.7353557500173338,1988
2018-04,574,774,61,20,0.2890835404396057,0.32796892523765564,2.7331636250019073,1988
2018-04,575,774,61,20,0.28979218006134033,0.32796892523765564,2.6670512910059188,1988
2018-05,573,1048,82,19,0.2361043244600296,0.26373833417892456,3.4358851250144653,1988
2018-05,574,1048,82,20,0.23534564673900604,0.26373833417892456,3.835379500000272,1988
2018-05,575,1048,82,20,0.2357243001461029,0.26373833417892456,3.7938757080119103,1988
2018-06,573,1334,104,17,0.15918228030204773,0.20336610078811646,4.821172916999785,1988
2018-06,574,1334,104,16,0.15894074738025665,0.20336610078811646,4.4442865420132875,1988
2018-06,575,1334,104,20,0.15912610292434692,0.20336610078811646,4.744687958009308,1988
2018-07,573,1606,125,20,0.18472400307655334,0.2213672399520874,5.709094167017611,1988
2018-07,574,1606,125,20,0.18530261516571045,0.2213672399520874,6.137578707974171,1988
2018-07,575,1606,125,18,0.18549613654613495,0.2213672399520874,5.409673791989917,1988
2018-08,573,1874,146,20,0.18809787929058075,0.22447636723518372,7.052955833001761,1988
2018-08,574,1874,146,20,0.1887364536523819,0.22447636723518372,6.8490014580020215,1988
2018-08,575,1874,146,20,0.1882464438676834,0.22447636723518372,6.6495983749919105,1988
final,573,2172,169,20,0.20356109738349915,0.23704728484153748,8.131513333995827,1988
final,574,2172,169,20,0.20371676981449127,0.23704728484153748,7.844076457986375,1988
final,575,2172,169,20,0.20380699634552002,0.23704728484153748,9.725289207999595,1988
