method,AAPL,AMZN
B,0.5504191705172098,0.6086706646676662
RANDOM,0.5480649524767173,0.5251166083624854
RAW,0.5832146248812915,0.5099679327003165
SSL,0.5472409761625449,0.5728510744627687
