phase,symbol,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,N0M_article,126,0.5253549695740365,0.06543031515795499,0.27635154242277576,0.6105476673427992,0.8448275862068966,0.20588235294117646,0.8174603174603174,False
development,AAPL,N0M_event,126,0.5167342799188641,0.04248149298402788,0.2779694938438369,0.5996450304259635,0.8275862068965517,0.20588235294117646,0.8095238095238095,False
development,AAPL,N1M_article,126,0.5253549695740365,0.06543031515795499,0.29143127133590196,0.5996450304259635,0.8448275862068966,0.20588235294117646,0.8174603174603174,False
development,AAPL,N1M_event,126,0.5180020283975659,0.047270683418866276,0.293689584571096,0.5922920892494928,0.8448275862068966,0.19117647058823528,0.8253968253968254,False
development,AMZN,N0M_article,126,0.47588126159554733,-0.04718017335077224,0.30285263583212524,0.504108136761198,0.5102040816326531,0.44155844155844154,0.5396825396825397,False
development,AMZN,N0M_event,126,0.47588126159554733,-0.04718017335077224,0.3027905071799174,0.5035780545984628,0.5102040816326531,0.44155844155844154,0.5396825396825397,False
development,AMZN,N1M_article,126,0.5046382189239331,0.009049051209213435,0.26238388188423467,0.5385634773389876,0.4897959183673469,0.5194805194805194,0.48412698412698413,False
development,AMZN,N1M_event,126,0.5046382189239331,0.009049051209213435,0.2623377479305073,0.53829843625762,0.4897959183673469,0.5194805194805194,0.48412698412698413,False
later,AAPL,N0M_article,178,0.5673866363521536,0.15500725289603462,0.28312675402165777,0.5364405709233295,0.8160919540229885,0.31868131868131866,0.7471910112359551,False
later,AAPL,N0M_event,178,0.5671340154098775,0.15225387872362858,0.2818372315972591,0.5404825059997473,0.8045977011494253,0.32967032967032966,0.7359550561797753,False
later,AAPL,N1M_article,178,0.5616395099153719,0.14076789415735066,0.2949861193895281,0.5364405709233295,0.8045977011494253,0.31868131868131866,0.7415730337078652,False
later,AAPL,N1M_event,178,0.5616395099153719,0.14076789415735066,0.2940225986473647,0.541871921182266,0.8045977011494253,0.31868131868131866,0.7415730337078652,False
later,AMZN,N0M_article,179,0.5474342928660826,0.09733632116692667,0.2638880755792895,0.5658322903629537,0.6595744680851063,0.43529411764705883,0.6145251396648045,False
later,AMZN,N0M_event,179,0.5474342928660826,0.09733632116692667,0.26396223709187216,0.5655819774718397,0.6595744680851063,0.43529411764705883,0.6145251396648045,False
later,AMZN,N1M_article,179,0.5732165206508135,0.1469118828605659,0.24823009170046512,0.5693366708385482,0.6170212765957447,0.5294117647058824,0.547486033519553,False
later,AMZN,N1M_event,179,0.5732165206508135,0.1469118828605659,0.2483161021159368,0.5690863579474343,0.6170212765957447,0.5294117647058824,0.547486033519553,False
