method,symbol,phase,original_news,n,BA,MCC,Brier,pred_up,constant
F0,AAPL,development,0,2,,0.0,0.219583675438098,0.5,0
F0,AAPL,development,1,124,0.5110294117647058,0.03191644169383776,0.2607563864954067,0.8629032258064516,0
F0,AAPL,later,1,178,0.5189465706707086,0.05202550290923069,0.2693583552956159,0.8426966292134831,0
F0,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
F0,AAPL,train_forward_oof,1,379,0.5004329004329005,0.0008523291021112745,0.2650513527181538,0.5329815303430079,0
F0,AMZN,development,0,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
F0,AMZN,development,1,73,0.48107890499194844,-0.037570916339223395,0.2760381016412171,0.6164383561643836,0
F0,AMZN,later,0,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
F0,AMZN,later,1,84,0.4367452558941921,-0.12575247920598617,0.2957066702047056,0.5238095238095238,0
F0,AMZN,train_forward_oof,0,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
F0,AMZN,train_forward_oof,1,198,0.45855901890648954,-0.08455774894392962,0.2697790920953221,0.601010101010101,0
R1,AAPL,development,0,2,,0.0,0.219583675438098,0.5,0
R1,AAPL,development,1,124,0.5682773109243697,0.16465962597158695,0.24450656238774832,0.782258064516129,0
R1,AAPL,later,1,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.7191011235955056,0
R1,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
R1,AAPL,train_forward_oof,1,379,0.5279365079365079,0.05504522172739839,0.25764954055078154,0.46174142480211083,0
R1,AMZN,development,0,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
R1,AMZN,development,1,73,0.5334138486312399,0.07031061003186734,0.2776554103630293,0.6986301369863014,0
R1,AMZN,later,0,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
R1,AMZN,later,1,84,0.4580218516388729,-0.08373988316725563,0.30538942739249597,0.5476190476190477,0
R1,AMZN,train_forward_oof,0,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
R1,AMZN,train_forward_oof,1,198,0.46300459887583034,-0.07504508094802169,0.26657115015641863,0.5858585858585859,0
F1,AAPL,development,0,2,,0.0,0.219583675438098,0.5,0
F1,AAPL,development,1,124,0.5861344537815126,0.21368191536505515,0.2504649366439482,0.7983870967741935,0
F1,AAPL,later,1,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0
F1,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
F1,AAPL,train_forward_oof,1,379,0.5026695526695527,0.005402626341600254,0.25926653151355117,0.6200527704485488,0
F1,AMZN,development,0,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
F1,AMZN,development,1,73,0.5994363929146538,0.20049361773565857,0.2366527460904941,0.3561643835616438,0
F1,AMZN,later,0,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
F1,AMZN,later,1,84,0.5543415756181713,0.12460403068253721,0.2757204114857473,0.25,0
F1,AMZN,train_forward_oof,0,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
