method,symbol,phase,corrected,broken,both_wrong
H2_temperature,AAPL,later,16,16,71
H2_temperature,AAPL,train_forward_oof,58,49,131
H2_temperature,AMZN,development,24,15,43
H2_temperature,AMZN,later,26,28,63
H2_temperature,AMZN,train_forward_oof,62,69,118
P_cross_hgb_temperature,AAPL,development,20,18,46
P_cross_hgb_temperature,AAPL,later,28,31,59
P_cross_hgb_temperature,AAPL,train_forward_oof,74,51,115
P_cross_hgb_temperature,AMZN,development,21,22,46
P_cross_hgb_temperature,AMZN,later,27,25,62
P_cross_hgb_temperature,AMZN,train_forward_oof,49,79,131
P_cross_lr_temperature,AAPL,development,13,12,53
P_cross_lr_temperature,AAPL,later,24,18,63
P_cross_lr_temperature,AAPL,train_forward_oof,57,38,132
P_cross_lr_temperature,AMZN,development,19,10,48
P_cross_lr_temperature,AMZN,later,12,13,77
P_cross_lr_temperature,AMZN,train_forward_oof,27,35,153
P_cross_tabpfn_temperature,AAPL,development,12,9,54
P_cross_tabpfn_temperature,AAPL,later,18,21,69
P_cross_tabpfn_temperature,AAPL,train_forward_oof,57,56,132
P_cross_tabpfn_temperature,AMZN,development,18,17,49
P_cross_tabpfn_temperature,AMZN,later,34,25,55
P_cross_tabpfn_temperature,AMZN,train_forward_oof,50,54,130
P_own_hgb_temperature,AAPL,development,24,16,42
P_own_hgb_temperature,AAPL,later,17,27,70
P_own_hgb_temperature,AAPL,train_forward_oof,70,55,119
P_own_hgb_temperature,AMZN,development,21,16,46
P_own_hgb_temperature,AMZN,later,33,30,56
P_own_hgb_temperature,AMZN,train_forward_oof,48,80,132
P_own_lr_temperature,AAPL,development,16,10,50
P_own_lr_temperature,AAPL,later,24,21,63
P_own_lr_temperature,AAPL,train_forward_oof,45,32,144
P_own_lr_temperature,AMZN,development,12,8,55
P_own_lr_temperature,AMZN,later,11,10,78
P_own_lr_temperature,AMZN,train_forward_oof,21,17,159
P_own_tabpfn_temperature,AAPL,development,16,10,50
P_own_tabpfn_temperature,AAPL,later,13,24,74
P_own_tabpfn_temperature,AAPL,train_forward_oof,53,34,136
P_own_tabpfn_temperature,AMZN,development,21,15,46
P_own_tabpfn_temperature,AMZN,later,28,23,61
P_own_tabpfn_temperature,AMZN,train_forward_oof,55,62,125
T_A1_temperature,AAPL,development,13,10,53
T_A1_temperature,AAPL,later,22,17,65
T_A1_temperature,AAPL,train_forward_oof,51,45,138
T_A1_temperature,AMZN,development,13,9,54
T_A1_temperature,AMZN,later,11,17,78
T_A1_temperature,AMZN,train_forward_oof,46,37,134
T_A1_interaction_temperature,AAPL,development,25,17,41
T_A1_interaction_temperature,AAPL,later,33,27,54
T_A1_interaction_temperature,AAPL,train_forward_oof,60,89,129
T_A1_interaction_temperature,AMZN,development,22,15,45
T_A1_interaction_temperature,AMZN,later,16,18,73
T_A1_interaction_temperature,AMZN,train_forward_oof,45,43,135
T_mix_temperature,AAPL,development,14,13,52
T_mix_temperature,AAPL,later,6,9,81
T_mix_temperature,AAPL,train_forward_oof,46,44,143
T_mix_temperature,AMZN,development,15,10,52
T_mix_temperature,AMZN,later,15,12,74
T_mix_temperature,AMZN,train_forward_oof,38,47,142
T_original_temperature,AAPL,development,11,11,55
T_original_temperature,AAPL,later,21,20,66
T_original_temperature,AAPL,train_forward_oof,56,53,133
T_original_temperature,AMZN,development,13,9,54
T_original_temperature,AMZN,later,12,15,77
T_original_temperature,AMZN,train_forward_oof,42,32,138
T_original_interaction_temperature,AAPL,development,16,17,50
T_original_interaction_temperature,AAPL,later,27,29,60
T_original_interaction_temperature,AAPL,train_forward_oof,74,80,115
T_original_interaction_temperature,AMZN,development,15,14,52
T_original_interaction_temperature,AMZN,later,16,20,73
T_original_interaction_temperature,AMZN,train_forward_oof,57,36,123
