fold,symbol,method,max_probability_abs_diff,BA_refit,BA_reference,BA_diff,MCC_diff,Brier_diff,n
2018-03,AAPL,R1,8.326672684688674e-17,0.42291666666666666,0.42291666666666666,0.0,0.0,-5.551115123125783e-17,62
2018-03,AAPL,F1,5.551115123125783e-17,0.5145833333333334,0.5145833333333334,0.0,0.0,0.0,62
2018-03,AAPL,F2,1.1657341758564144e-15,0.4239583333333333,0.4239583333333333,0.0,0.0,-1.1102230246251565e-16,62
2018-03,AMZN,R1,5.551115123125783e-17,0.419047619047619,0.419047619047619,0.0,0.0,0.0,62
2018-03,AMZN,F1,5.551115123125783e-17,0.42486772486772484,0.42486772486772484,0.0,0.0,0.0,62
2018-03,AMZN,F2,7.771561172376096e-16,0.382010582010582,0.382010582010582,0.0,0.0,-5.551115123125783e-17,62
2018-04,AAPL,R1,5.551115123125783e-17,0.5564516129032258,0.5564516129032258,0.0,0.0,0.0,63
2018-04,AAPL,F1,5.551115123125783e-17,0.544858870967742,0.544858870967742,0.0,0.0,0.0,63
2018-04,AAPL,F2,3.3306690738754696e-16,0.5579637096774194,0.5579637096774194,0.0,0.0,-2.7755575615628914e-17,63
2018-04,AMZN,R1,5.551115123125783e-17,0.425,0.425,0.0,0.0,0.0,63
2018-04,AMZN,F1,5.551115123125783e-17,0.37857142857142856,0.37857142857142856,0.0,0.0,0.0,63
2018-04,AMZN,F2,3.3306690738754696e-16,0.39642857142857146,0.39642857142857146,0.0,0.0,-5.551115123125783e-17,63
2018-05,AAPL,R1,5.551115123125783e-17,0.5671015843429636,0.5671015843429636,0.0,0.0,0.0,66
2018-05,AAPL,F1,5.551115123125783e-17,0.5251630941286114,0.5251630941286114,0.0,0.0,0.0,66
2018-05,AAPL,F2,3.885780586188048e-16,0.5139794967381175,0.5139794967381175,0.0,0.0,0.0,66
2018-05,AMZN,R1,5.551115123125783e-17,0.49610136452241715,0.49610136452241715,0.0,0.0,-5.551115123125783e-17,65
2018-05,AMZN,F1,5.551115123125783e-17,0.5969785575048733,0.5969785575048733,0.0,0.0,0.0,65
2018-05,AMZN,F2,5.551115123125783e-16,0.4220272904483431,0.4220272904483431,0.0,0.0,0.0,65
final,AAPL,R1,5.551115123125783e-17,0.5474951203643461,0.5474951203643461,0.0,0.0,-5.551115123125783e-17,304
final,AAPL,F1,5.551115123125783e-17,0.5427239210583388,0.5427239210583388,0.0,0.0,0.0,304
final,AAPL,F2,1.6653345369377348e-15,0.55530253741054,0.55530253741054,0.0,0.0,0.0,304
final,AMZN,R1,1.1102230246251565e-16,0.5087196753863421,0.5087196753863421,0.0,0.0,0.0,305
final,AMZN,F1,1.1102230246251565e-16,0.5511309677976345,0.5511309677976345,0.0,0.0,-5.551115123125783e-17,305
final,AMZN,F2,7.771561172376096e-16,0.5132521799188465,0.5132521799188465,0.0,0.0,0.0,305
