phase,symbol,month,method,n,BA,MCC,Brier,pred_up,constant
development,AAPL,2018-09,R1_infinity_refit,57,0.6188423645320198,0.2831921951995806,0.23687878867299852,0.7719298245614035,False
development,AAPL,2018-09,R1_recency,57,0.4747536945812808,-0.05086989586601018,0.25071259170815746,0.5614035087719298,False
development,AAPL,2018-09,F1_infinity_refit,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.7894736842105263,False
development,AAPL,2018-09,F1_branch_recency,57,0.5492610837438423,0.12480635909592185,0.24735541631696956,0.8070175438596491,False
development,AAPL,2018-09,F1_system_recency,57,0.5314039408866995,0.07701853998110467,0.2491306364957683,0.7894736842105263,False
development,AAPL,2018-09,F2_infinity_refit,57,0.5843596059113301,0.21373088995176615,0.24342446352926747,0.8070175438596491,False
development,AAPL,2018-09,F2_branch_recency,57,0.5326354679802956,0.09394092267939162,0.29353383081183526,0.8596491228070176,False
development,AAPL,2018-09,F2_system_recency,57,0.5147783251231527,0.040522044923655395,0.295309050990634,0.8421052631578947,False
development,AAPL,2018-10,R1_infinity_refit,69,0.5153846153846154,0.03698001308168194,0.25008536424052286,0.782608695652174,False
development,AAPL,2018-10,R1_recency,69,0.47948717948717945,-0.04482654517444207,0.2521728632608958,0.2898550724637681,False
development,AAPL,2018-10,F1_infinity_refit,69,0.5615384615384615,0.15171348989784333,0.253162180420804,0.7971014492753623,False
development,AAPL,2018-10,F1_branch_recency,69,0.4064102564102564,-0.18896450750823288,0.25737565897698095,0.4057971014492754,False
development,AAPL,2018-10,F1_system_recency,69,0.4064102564102564,-0.18896450750823288,0.25894357860560374,0.4057971014492754,False
development,AAPL,2018-10,F2_infinity_refit,69,0.5064102564102564,0.01676757576219862,0.31075413680192726,0.8260869565217391,False
development,AAPL,2018-10,F2_branch_recency,69,0.5410256410256411,0.09439569093506098,0.3348171359728394,0.7536231884057971,False
development,AAPL,2018-10,F2_system_recency,69,0.5410256410256411,0.09439569093506098,0.3363850556014622,0.7536231884057971,False
development,AMZN,2018-09,R1_infinity_refit,57,0.47598522167487683,-0.04977665340318334,0.26348832319443444,0.631578947368421,False
development,AMZN,2018-09,R1_recency,57,0.5794334975369457,0.15906300624662031,0.24964139275859284,0.5263157894736842,False
development,AMZN,2018-09,F1_infinity_refit,57,0.4716748768472906,-0.05817474046899912,0.2553051922206057,0.38596491228070173,False
development,AMZN,2018-09,F1_branch_recency,57,0.4150246305418719,-0.23300175831101852,0.25510821016396146,0.15789473684210525,False
development,AMZN,2018-09,F1_system_recency,57,0.44950738916256155,-0.15381610706424642,0.251188253975476,0.12280701754385964,False
development,AMZN,2018-09,F2_infinity_refit,57,0.41995073891625617,-0.16129479177027617,0.2759682940694396,0.43859649122807015,False
development,AMZN,2018-09,F2_branch_recency,57,0.43657635467980294,-0.1302608319197154,0.30844695370990005,0.38596491228070173,False
development,AMZN,2018-09,F2_system_recency,57,0.47105911330049266,-0.06063229170140654,0.3045269975214146,0.3508771929824561,False
development,AMZN,2018-10,R1_infinity_refit,69,0.5416666666666666,0.07856742013183861,0.2788264595358372,0.6086956521739131,False
development,AMZN,2018-10,R1_recency,69,0.5104166666666666,0.0205697379643648,0.24698854059764414,0.3188405797101449,False
development,AMZN,2018-10,F1_infinity_refit,69,0.65625,0.2890730751633232,0.24220680697950622,0.4492753623188406,False
development,AMZN,2018-10,F1_branch_recency,69,0.6205357142857143,0.2526124011407279,0.2349201764451289,0.2608695652173913,False
development,AMZN,2018-10,F1_system_recency,69,0.5535714285714286,0.15398682993655985,0.23056712681500943,0.11594202898550725,False
development,AMZN,2018-10,F2_infinity_refit,69,0.5446428571428572,0.08625819491779428,0.3155653486629534,0.6521739130434783,False
development,AMZN,2018-10,F2_branch_recency,69,0.5491071428571429,0.090851537908473,0.31477804217931615,0.5507246376811594,False
development,AMZN,2018-10,F2_system_recency,69,0.48214285714285715,-0.033465806118987015,0.3104249925491967,0.4057971014492754,False
later,AAPL,2018-11,R1_infinity_refit,60,0.5261401557285873,0.05797747850973157,0.25403661854843856,0.7166666666666667,False
later,AAPL,2018-11,R1_recency,60,0.5383759733036708,0.08041319055977775,0.2529527199818577,0.35,False
later,AAPL,2018-11,F1_infinity_refit,60,0.5066740823136818,0.01667593364912675,0.25553551225888277,0.8,False
later,AAPL,2018-11,F1_branch_recency,60,0.5133481646273638,0.02723168561657922,0.2484728673467887,0.6,False
