symbol,first_date,last_date,trading_rows,rows_2018_2023,missing_ohlcv_rows,missing_ohlcv_rate,duplicate_dates,non_monotonic_dates,invalid_ohlc_rows,adjusted_close_available_fraction,price_eligible_2018_2023
ETON,2001-07-06,2023-12-28,4336,1289,0,0.0,0,0,0,1.0,1
CRSP,2016-10-19,2023-12-28,1810,1508,0,0.0,0,0,0,1.0,1
MGIC,1991-08-30,2020-04-01,7201,566,0,0.0,0,0,0,1.0,0
EMAG,2020-07-02,2020-07-02,1,1,0,0.0,0,0,1,1.0,0
CW,1980-03-17,2023-12-28,11040,1508,0,0.0,0,0,1894,1.0,0
AGQ,2008-12-04,2023-12-28,3792,1508,0,0.0,0,0,0,1.0,1
DIET,2019-11-14,2020-05-21,130,130,0,0.0,0,0,0,1.0,0
VGK,2005-03-10,2023-12-28,4734,1508,0,0.0,0,0,0,1.0,1
E,1995-11-28,2023-12-28,7070,1508,0,0.0,0,0,0,1.0,1
VET,2010-09-14,2023-12-28,3346,1508,0,0.0,0,0,0,1.0,1
CUTR,2004-03-31,2023-12-28,4971,1508,0,0.0,0,0,0,1.0,1
VGLT,2010-01-04,2023-12-28,3521,1508,0,0.0,0,0,0,1.0,1
SSPY,2019-01-04,2020-07-02,353,353,0,0.0,0,0,0,1.0,0
CYBE,1987-12-17,2020-07-02,8201,630,0,0.0,0,0,766,1.0,0
qure,2014-02-05,2023-12-28,2492,1508,0,0.0,0,0,0,1.0,1
MPB,1997-12-04,2023-12-28,6559,1508,0,0.0,0,0,0,1.0,1
rkda,2015-05-15,2023-12-28,2171,1508,0,0.0,0,0,0,1.0,1
TANH,2015-03-24,2023-12-28,2208,1508,0,0.0,0,0,0,1.0,1
CERN,1986-12-05,2020-07-02,8462,630,0,0.0,0,0,792,1.0,0
ACSI,2016-11-07,2023-12-28,1797,1508,0,0.0,0,0,0,1.0,1
ZEN,2015-01-02,2020-07-02,1385,630,0,0.0,0,0,0,1.0,0
MFO,2012-04-17,2020-07-02,2067,630,0,0.0,0,0,0,1.0,0
ASC,2013-08-01,2023-12-28,2621,1508,0,0.0,0,0,0,1.0,1
MET,2000-04-05,2020-07-02,5093,630,0,0.0,0,0,0,1.0,0
dbaw,2014-01-27,2023-12-28,2499,1508,0,0.0,0,0,0,1.0,1
FUE,2008-02-15,2020-07-02,3087,600,0,0.0,0,0,0,1.0,0
MREO,2019-04-24,2023-12-28,1180,1180,0,0.0,0,0,0,1.0,0
LQDA,2018-07-26,2023-12-28,1366,1366,0,0.0,0,0,0,1.0,0
HYI,2010-10-27,2020-07-02,2437,630,0,0.0,0,0,0,1.0,0
OTEL,2004-12-16,2020-07-02,3860,621,0,0.0,0,0,0,1.0,0
FTA,2007-05-24,2023-12-28,4179,1508,0,0.0,0,0,0,1.0,1
MGK,2015-01-02,2020-07-02,1385,630,0,0.0,0,0,0,1.0,0
CIX,1998-03-06,2023-12-28,6498,1508,1,0.0001538935056940597,0,0,1,0.9998461064943059,0
MDP,1980-03-17,2020-07-02,10162,630,0,0.0,0,0,1281,1.0,0
MEC,2015-01-05,2020-07-02,754,331,0,0.0,0,0,0,1.0,0
APO,2011-03-30,2023-12-28,3209,1508,0,0.0,0,0,0,1.0,1
