block,symbol,seed,method,calibration_fold,features,numeric_features,negation_features,coefficient_norm,max_iterations
573_AAPL_4,AAPL,573,FREQUENCY,2,5000,0,0,13.659920488786172,41
573_AAPL_4,AAPL,573,NEGATION,0,5000,0,3,13.762512710617397,38
573_AAPL_4,AAPL,573,NEGATION,1,5000,0,3,13.675857690622154,40
573_AAPL_4,AAPL,573,NEGATION,2,5000,0,3,13.770910974648478,40
573_AAPL_4,AAPL,573,NUMERIC,0,5000,1278,0,13.762795740183051,40
573_AAPL_4,AAPL,573,NUMERIC,1,5000,1280,0,13.715658586164151,40
573_AAPL_4,AAPL,573,NUMERIC,2,5000,1289,0,13.76356420568296,42
573_AAPL_4,AAPL,573,NO_STEM,0,5000,0,0,13.766378676894654,38
573_AAPL_4,AAPL,573,NO_STEM,1,5000,0,0,13.67388716900401,41
573_AAPL_4,AAPL,573,NO_STEM,2,5000,0,0,13.757959501740029,40
573_AAPL_5,AAPL,573,CONTROL,0,5000,0,0,13.668098544663328,40
573_AAPL_5,AAPL,573,CONTROL,1,5000,0,0,13.759422036657467,38
573_AAPL_5,AAPL,573,CONTROL,2,5000,0,0,13.734203703065642,40
573_AAPL_5,AAPL,573,FREQUENCY,0,5000,0,0,13.629461865266752,44
573_AAPL_5,AAPL,573,FREQUENCY,1,5000,0,0,13.631456943693106,40
573_AAPL_5,AAPL,573,FREQUENCY,2,5000,0,0,13.609570884175355,43
573_AAPL_5,AAPL,573,NEGATION,0,5000,0,3,13.666852220028375,40
573_AAPL_5,AAPL,573,NEGATION,1,5000,0,3,13.758286964179579,38
573_AAPL_5,AAPL,573,NEGATION,2,5000,0,3,13.733586296738187,40
573_AAPL_5,AAPL,573,NUMERIC,0,5000,1273,0,13.680061349727925,41
573_AAPL_5,AAPL,573,NUMERIC,1,5000,1291,0,13.790058059614703,39
573_AAPL_5,AAPL,573,NUMERIC,2,5000,1286,0,13.787475247621702,40
573_AAPL_5,AAPL,573,NO_STEM,0,5000,0,0,13.676330360462883,40
573_AAPL_5,AAPL,573,NO_STEM,1,5000,0,0,13.737986991059667,38
573_AAPL_5,AAPL,573,NO_STEM,2,5000,0,0,13.730198406284321,41
573_AAPL_6,AAPL,573,CONTROL,0,5000,0,0,13.834866601340153,41
573_AAPL_6,AAPL,573,CONTROL,1,5000,0,0,13.711847022519612,41
573_AAPL_6,AAPL,573,CONTROL,2,5000,0,0,13.72829229280372,39
573_AAPL_6,AAPL,573,FREQUENCY,0,5000,0,0,13.782578307118957,41
573_AAPL_6,AAPL,573,FREQUENCY,1,5000,0,0,13.563775551734333,42
573_AAPL_6,AAPL,573,FREQUENCY,2,5000,0,0,13.666223342125106,40
573_AAPL_6,AAPL,573,NEGATION,0,5000,0,3,13.836655362702636,40
573_AAPL_6,AAPL,573,NEGATION,1,5000,0,3,13.711419840631171,40
573_AAPL_6,AAPL,573,NEGATION,2,5000,0,3,13.728587807026708,39
573_AAPL_6,AAPL,573,NUMERIC,0,5000,1286,0,13.865474016762398,41
573_AAPL_6,AAPL,573,NUMERIC,1,5000,1293,0,13.670225894783451,41
573_AAPL_6,AAPL,573,NUMERIC,2,5000,1265,0,13.801919543956867,39
573_AAPL_6,AAPL,573,NO_STEM,0,5000,0,0,13.753704838734922,40
573_AAPL_6,AAPL,573,NO_STEM,1,5000,0,0,13.735117487107413,40
573_AAPL_6,AAPL,573,NO_STEM,2,5000,0,0,13.748360110999137,40
573_AAPL_7,AAPL,573,CONTROL,0,5000,0,0,13.687336269698795,40
573_AAPL_7,AAPL,573,CONTROL,1,5000,0,0,13.710832907985186,40
573_AAPL_7,AAPL,573,CONTROL,2,5000,0,0,13.578436435747008,41
573_AAPL_7,AAPL,573,FREQUENCY,0,5000,0,0,13.6360312783529,40
573_AAPL_7,AAPL,573,FREQUENCY,1,5000,0,0,13.646264685998005,41
573_AAPL_7,AAPL,573,FREQUENCY,2,5000,0,0,13.49510781389564,43
573_AAPL_7,AAPL,573,NEGATION,0,5000,0,3,13.68062078303865,40
573_AAPL_7,AAPL,573,NEGATION,1,5000,0,3,13.714519111982804,40
573_AAPL_7,AAPL,573,NEGATION,2,5000,0,3,13.579045410238168,41
573_AAPL_7,AAPL,573,NUMERIC,0,5000,1284,0,13.735382459981903,40
573_AAPL_7,AAPL,573,NUMERIC,1,5000,1278,0,13.715516652224883,41
573_AAPL_7,AAPL,573,NUMERIC,2,5000,1290,0,13.609307436364277,42
573_AAPL_7,AAPL,573,NO_STEM,0,5000,0,0,13.679402088528946,40
573_AAPL_7,AAPL,573,NO_STEM,1,5000,0,0,13.729264279429918,40
573_AAPL_7,AAPL,573,NO_STEM,2,5000,0,0,13.60292179605055,41
573_AAPL_8,AAPL,573,CONTROL,0,5000,0,0,13.797024821171258,39
573_AAPL_8,AAPL,573,CONTROL,1,5000,0,0,13.71624869599143,40
573_AAPL_8,AAPL,573,CONTROL,2,5000,0,0,13.736726767671012,41
573_AAPL_8,AAPL,573,FREQUENCY,0,5000,0,0,13.734659271005894,42
573_AAPL_8,AAPL,573,FREQUENCY,1,5000,0,0,13.669083363471076,42
573_AAPL_8,AAPL,573,FREQUENCY,2,5000,0,0,13.602200642458483,43
573_AAPL_8,AAPL,573,NEGATION,0,5000,0,3,13.79728636446132,39
573_AAPL_8,AAPL,573,NEGATION,1,5000,0,3,13.720044470963263,40
573_AAPL_8,AAPL,573,NEGATION,2,5000,0,3,13.732865814001523,41
573_AAPL_8,AAPL,573,NUMERIC,0,5000,1308,0,13.825129646423896,40
573_AAPL_8,AAPL,573,NUMERIC,1,5000,1284,0,13.703866678620095,40
573_AAPL_8,AAPL,573,NUMERIC,2,5000,1265,0,13.716482880849819,41
573_AAPL_8,AAPL,573,NO_STEM,0,5000,0,0,13.798849210890824,40
573_AAPL_8,AAPL,573,NO_STEM,1,5000,0,0,13.672173942080159,40
573_AAPL_8,AAPL,573,NO_STEM,2,5000,0,0,13.730896278143478,41
573_AAPL_9,AAPL,573,CONTROL,0,5000,0,0,13.866430755215033,38
573_AAPL_9,AAPL,573,CONTROL,1,5000,0,0,13.620555442486484,41
573_AAPL_9,AAPL,573,CONTROL,2,5000,0,0,13.840695969007454,39
573_AAPL_9,AAPL,573,FREQUENCY,0,5000,0,0,13.823900170952712,40
573_AAPL_9,AAPL,573,FREQUENCY,1,5000,0,0,13.606797745966839,42
573_AAPL_9,AAPL,573,FREQUENCY,2,5000,0,0,13.704524762887633,40
573_AAPL_9,AAPL,573,NEGATION,0,5000,0,3,13.862873145722924,38
573_AAPL_9,AAPL,573,NEGATION,1,5000,0,3,13.623622831859894,41
573_AAPL_9,AAPL,573,NEGATION,2,5000,0,3,13.844028540568651,39
573_AAPL_9,AAPL,573,NUMERIC,0,5000,1266,0,13.940926126148838,40
573_AAPL_9,AAPL,573,NUMERIC,1,5000,1272,0,13.615233135290422,40
573_AAPL_9,AAPL,573,NUMERIC,2,5000,1269,0,13.92260577443642,41
573_AAPL_9,AAPL,573,NO_STEM,0,5000,0,0,13.832450212097038,38
573_AAPL_9,AAPL,573,NO_STEM,1,5000,0,0,13.64749835970371,40
573_AAPL_9,AAPL,573,NO_STEM,2,5000,0,0,13.819951882128949,40
573_AMZN_0,AMZN,573,CONTROL,0,3879,0,0,2.397067205542573,11
573_AMZN_0,AMZN,573,CONTROL,1,4750,0,0,2.550938887510437,11
573_AMZN_0,AMZN,573,CONTROL,2,4263,0,0,2.6097998436828904,11
573_AMZN_0,AMZN,573,FREQUENCY,0,3879,0,0,2.3176155245018677,11
573_AMZN_0,AMZN,573,FREQUENCY,1,4750,0,0,2.4775034057909324,11
573_AMZN_0,AMZN,573,FREQUENCY,2,4263,0,0,2.557425924559929,11
573_AMZN_0,AMZN,573,NEGATION,0,3882,0,3,2.395997993853402,11
573_AMZN_0,AMZN,573,NEGATION,1,4753,0,3,2.5500809279851584,11
573_AMZN_0,AMZN,573,NEGATION,2,4266,0,3,2.608746982782402,11
573_AMZN_0,AMZN,573,NUMERIC,0,4901,1022,0,2.4343346905890257,11
573_AMZN_0,AMZN,573,NUMERIC,1,5000,747,0,2.577661403950845,11
573_AMZN_0,AMZN,573,NUMERIC,2,5000,1022,0,2.6162747158277257,11
573_AMZN_0,AMZN,573,NO_STEM,0,5000,0,0,2.4148909707351436,11
573_AMZN_0,AMZN,573,NO_STEM,1,5000,0,0,2.5708388818606585,11
573_AMZN_0,AMZN,573,NO_STEM,2,5000,0,0,2.631702859236998,11
573_AMZN_1,AMZN,573,CONTROL,0,4743,0,0,0.3579244849414618,7
573_AMZN_1,AMZN,573,CONTROL,1,4024,0,0,0.3373363346903808,6
573_AMZN_1,AMZN,573,CONTROL,2,4268,0,0,0.32589583580834086,7
573_AMZN_1,AMZN,573,FREQUENCY,0,4743,0,0,2.5300886301423566,11
573_AMZN_1,AMZN,573,FREQUENCY,1,4024,0,0,2.4253014340913293,11
573_AMZN_1,AMZN,573,FREQUENCY,2,4268,0,0,2.4259799762313614,11
573_AMZN_1,AMZN,573,NEGATION,0,4746,0,3,0.3576894001472398,7
573_AMZN_1,AMZN,573,NEGATION,1,4027,0,3,0.3371667528063761,6
573_AMZN_1,AMZN,573,NEGATION,2,4271,0,3,0.32576973327606856,7
573_AMZN_1,AMZN,573,NUMERIC,0,5000,844,0,2.61291477147043,11
573_AMZN_1,AMZN,573,NUMERIC,1,5000,1044,0,2.536915626399869,11
573_AMZN_1,AMZN,573,NUMERIC,2,5000,1043,0,2.51494179299438,11
573_AMZN_1,AMZN,573,NO_STEM,0,5000,0,0,2.613770823609697,11
573_AMZN_1,AMZN,573,NO_STEM,1,5000,0,0,2.5283901096174946,11
573_AMZN_1,AMZN,573,NO_STEM,2,5000,0,0,2.519428438388523,11
573_AMZN_2,AMZN,573,CONTROL,0,3944,0,0,8.926345820686258,43
573_AMZN_2,AMZN,573,CONTROL,1,4778,0,0,9.347781335031584,43
573_AMZN_2,AMZN,573,CONTROL,2,4051,0,0,9.171918471658534,42
573_AMZN_2,AMZN,573,FREQUENCY,0,3944,0,0,8.943088008386773,45
573_AMZN_2,AMZN,573,FREQUENCY,1,4778,0,0,9.404333986247806,43
573_AMZN_2,AMZN,573,FREQUENCY,2,4051,0,0,9.2030161166356,43
573_AMZN_2,AMZN,573,NEGATION,0,3947,0,3,8.92800852595493,43
573_AMZN_2,AMZN,573,NEGATION,1,4781,0,3,9.349856101796254,43
573_AMZN_2,AMZN,573,NEGATION,2,4054,0,3,9.17408709272116,42
573_AMZN_2,AMZN,573,NUMERIC,0,5000,1061,0,8.91372918720411,42
573_AMZN_2,AMZN,573,NUMERIC,1,5000,993,0,9.372420202399654,41
573_AMZN_2,AMZN,573,NUMERIC,2,5000,952,0,9.172045666080898,42
573_AMZN_2,AMZN,573,NO_STEM,0,5000,0,0,2.419436483332904,11
573_AMZN_2,AMZN,573,NO_STEM,1,5000,0,0,2.531953655805333,11
573_AMZN_2,AMZN,573,NO_STEM,2,5000,0,0,2.53655081716497,11
573_AMZN_3,AMZN,573,CONTROL,0,4637,0,0,9.237261499849811,43
573_AMZN_3,AMZN,573,CONTROL,1,4029,0,0,8.844415164729398,41
573_AMZN_3,AMZN,573,CONTROL,2,4278,0,0,9.080053404729862,41
573_AMZN_3,AMZN,573,FREQUENCY,0,4637,0,0,9.275986167008401,43
573_AMZN_3,AMZN,573,FREQUENCY,1,4029,0,0,8.907623317368541,41
573_AMZN_3,AMZN,573,FREQUENCY,2,4278,0,0,9.127825190198726,42
573_AMZN_3,AMZN,573,NEGATION,0,4640,0,3,9.239795434456402,43
573_AMZN_3,AMZN,573,NEGATION,1,4032,0,3,8.845784451751467,41
573_AMZN_3,AMZN,573,NEGATION,2,4281,0,3,9.082736236666648,41
573_AMZN_3,AMZN,573,NUMERIC,0,5000,804,0,9.232918086189631,43
573_AMZN_3,AMZN,573,NUMERIC,1,5000,1151,0,8.84963457604283,41
573_AMZN_3,AMZN,573,NUMERIC,2,5000,1062,0,9.134305919158123,41
573_AMZN_3,AMZN,573,NO_STEM,0,5000,0,0,2.4887617162324123,11
573_AMZN_3,AMZN,573,NO_STEM,1,5000,0,0,2.544846217933404,11
573_AMZN_3,AMZN,573,NO_STEM,2,5000,0,0,2.416478578282588,11
573_AMZN_4,AMZN,573,CONTROL,0,4008,0,0,8.909552357082422,43
573_AMZN_4,AMZN,573,CONTROL,1,4188,0,0,9.158517442988911,42
573_AMZN_4,AMZN,573,CONTROL,2,3965,0,0,9.066770937055518,43
573_AMZN_4,AMZN,573,FREQUENCY,0,4008,0,0,2.4230165186953436,11
573_AMZN_4,AMZN,573,FREQUENCY,1,4188,0,0,2.4312936367966227,11
573_AMZN_4,AMZN,573,FREQUENCY,2,3965,0,0,2.42467819314635,12
573_AMZN_4,AMZN,573,NEGATION,0,4011,0,3,2.495484985592692,11
