stage,method,symbol,BA_mean,BA_std,MCC_mean,MCC_std,Brier_mean,Brier_std,predicted_up_mean,predicted_up_std
aggregation,CONTROL,AAPL,0.6954678910544727,0.01916174043393093,0.39519491449122685,0.038478852570867576,0.20538158600539305,0.001344034959715487,0.5840597758405978,0.005428267675642205
aggregation,CONTROL,AMZN,0.6113740748083532,0.0049035855869439425,0.22354603350727054,0.009178466811750398,0.23450484401530092,0.00323603332297184,0.5439469320066336,0.016886742831190963
aggregation,FULL,AAPL,0.6756819506913209,0.01207215252857032,0.3547965671232678,0.0244078076451776,0.22281157682941186,0.0036266639188109397,0.5807388958073889,0.0007189916179198518
aggregation,FULL,AMZN,0.6027871398361089,0.008088528865591976,0.20618294791053127,0.016083652707475325,0.2524091344612758,0.002205627114619037,0.5402155887230514,0.016185092285193336
aggregation,MAP_THEN_MEAN,AAPL,0.6521624604364484,0.004016301182428544,0.315315120009062,0.006760708547017669,0.22081896545608862,0.0009747589387806453,0.6367787463677875,0.009673042920490751
aggregation,MAP_THEN_MEAN,AMZN,0.5927132897171558,0.009491518156227266,0.185710594216929,0.018904347456619678,0.24048592306532357,0.0034401237719291,0.5315091210613598,0.01195152181210576
aggregation,MEAN_LINEAR,AAPL,0.6542197651174413,0.0058857545858562775,0.31623162533131477,0.01263872616195723,0.21954923933975193,0.0015100507539454703,0.6172685761726858,0.008291815838704128
aggregation,MEAN_LINEAR,AMZN,0.5941093378271214,0.005010806607132973,0.18915722223335588,0.009438010191115266,0.2389886705296099,0.002920954789559422,0.5509950248756219,0.018406279337000887
aggregation,MEAN_THEN_MAP,AAPL,0.6508735215725471,0.004210406774217097,0.3127336200585724,0.006732889326912911,0.22084806026131445,0.0009841180656142438,0.6371938563719386,0.011571075022637102
aggregation,MEAN_THEN_MAP,AMZN,0.5906233478720592,0.007073950228942151,0.1815229316230809,0.014014228111027474,0.2408061128127752,0.0034058976583823666,0.5319237147595356,0.009976127210212238
aggregation,PRICE,AAPL,0.5583510328169249,0.007102982510691966,0.12163142398074718,0.01582112421820045,0.24678611911509274,0.0009488351371772951,0.6438356164383562,0.024051317454331207
aggregation,PRICE,AMZN,0.5267603423209093,0.01062662109190119,0.054586223944075835,0.021560060009405368,0.2562713732356464,0.0025011185114110876,0.6015754560530681,0.007996393665831604
aggregation,SET_BASE,AAPL,0.6498625687156422,0.005885754585856383,0.31200054115777703,0.01294483875370683,0.22117592628664937,0.0007597222316284629,0.6442507264425072,0.00829181583870407
aggregation,SET_BASE,AMZN,0.5950593113930743,0.013310303543267397,0.19050675369798767,0.02626012903328878,0.23942875515107354,0.0028200769002927352,0.5356550580431177,0.015199256036337812
grouped,FULL,AAPL,0.5239421955688822,0.008594784098084568,0.048115364238376,0.017188741951558242,0.2709395845108536,0.0031002659474906684,0.5657949356579494,0.011836095831783513
grouped,FULL,AMZN,0.5173969072164949,0.016882094666704598,0.034809801897485164,0.033772241295015264,0.26503988862126815,0.010509024347242235,0.5248756218905473,0.015080044344505125
grouped,GROUP_SVM,AAPL,0.49230384807596206,0.003814283438803928,-0.05053506183191763,0.023309066877771564,0.2506703127046816,0.0005806997438002504,0.9771689497716896,0.0025923611450387653
grouped,GROUP_SVM,AMZN,0.5116681535818134,0.018539460906610575,0.024685345453782283,0.0390107538755306,0.2523370354961894,0.0018256348511859414,0.6177446102819237,0.04889394025806158
grouped,PRICE,AAPL,0.5584207896051974,0.01672238187898646,0.12158235636146993,0.03508069160305784,0.24809120251813999,0.0022375085663594195,0.643005396430054,0.00471474333399774
grouped,PRICE,AMZN,0.5145056833201164,0.005148594044879542,0.029682181932174017,0.010498467582354648,0.25866368598907896,0.0023130298763341453,0.6077943615257048,0.004708879225373397
preprocess,CONTROL,AAPL,0.6954678910544727,0.01916174043393093,0.39519491449122685,0.038478852570867576,0.20538158600539305,0.001344034959715487,0.5840597758405978,0.005428267675642205
preprocess,CONTROL,AMZN,0.6113740748083532,0.0049035855869439425,0.22354603350727054,0.009178466811750398,0.23450484401530092,0.00323603332297184,0.5439469320066336,0.016886742831190963
preprocess,FREQUENCY,AAPL,0.7012514576045311,0.003977237629648353,0.4057979405760637,0.009595552804911206,0.20700182608462722,0.0009390024582849694,0.5749273557492736,0.012781074568983525
preprocess,FREQUENCY,AMZN,0.6060500925191646,0.005417504555650138,0.21281113860954345,0.010082381892964783,0.23582152299416545,0.0026345463733541473,0.5418739635157546,0.02022180497223418
preprocess,FULL,AAPL,0.6756819506913209,0.01207215252857032,0.3547965671232678,0.0244078076451776,0.22281157682941186,0.0036266639188109397,0.5807388958073889,0.0007189916179198518
preprocess,FULL,AMZN,0.6027871398361089,0.008088528865591976,0.20618294791053127,0.016083652707475325,0.2524091344612758,0.002205627114619037,0.5402155887230514,0.016185092285193336
preprocess,NEGATION,AAPL,0.6959207896051973,0.02034549076896398,0.3960577896953075,0.04062352213067289,0.20537104180159527,0.001341857513007945,0.5836446658364466,0.00829181583870415
preprocess,NEGATION,AMZN,0.6135507533703409,0.0045927355275108194,0.22785083290095257,0.008527774917858787,0.234818758139867,0.0027816087317772613,0.5410447761194029,0.020923636618483506
preprocess,NO_STEM,AAPL,0.6908701899050476,0.012152915440639386,0.3853280849714306,0.02544158303471888,0.2081610504724725,0.0011773455796682316,0.5790784557907845,0.00757504673760678
preprocess,NO_STEM,AMZN,0.6035305974094635,0.0028456165275939998,0.2079491347060711,0.004550211891079384,0.23508169471630566,0.0017577116304291448,0.5427031509121062,0.030978223620601368
preprocess,NUMERIC,AAPL,0.6868982175578876,0.005848759183352708,0.3782551430888006,0.012821485240912898,0.20605923034903736,0.0012063870205884792,0.5865504358655044,0.00757504673760678
preprocess,NUMERIC,AMZN,0.6158967750462595,0.005467072405620653,0.2327235095281417,0.009976340211545223,0.23321574867919204,0.0029938253169295476,0.5451907131011609,0.02162653624501656
preprocess,PRICE,AAPL,0.5583510328169249,0.007102982510691966,0.12163142398074718,0.01582112421820045,0.24678611911509274,0.0009488351371772951,0.6438356164383562,0.024051317454331207
preprocess,PRICE,AMZN,0.5267603423209093,0.01062662109190119,0.054586223944075835,0.021560060009405368,0.2562713732356464,0.0025011185114110876,0.6015754560530681,0.007996393665831604
