symbol,month,method,C,n,BA,accuracy,MCC,Brier,AUC,pred_up,constant,k,alpha
AAPL,2018-03,L1_FILTERED_FINBERT,0.01,62,0.4927083333333333,0.5,-0.01633660098032678,0.2586168900643384,0.5041666666666667,0.7258064516129032,False,,
AAPL,2018-03,L1_FILTERED_FINBERT,0.1,62,0.5239583333333333,0.532258064516129,0.055914913407526246,0.29491524465050606,0.5114583333333333,0.7580645161290323,False,,
AAPL,2018-03,L1_FILTERED_FINBERT,1.0,62,0.5260416666666666,0.532258064516129,0.05645772312274024,0.32786854452046504,0.496875,0.6935483870967742,False,,
AAPL,2018-03,L2_FACT_CHANGE,0.01,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False,,
AAPL,2018-03,L2_FACT_CHANGE,0.1,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False,,
AAPL,2018-03,L2_FACT_CHANGE,1.0,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False,,
AAPL,2018-03,L3_CASE_VOTE,,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False,3.0,0.0
AAPL,2018-03,L3_CASE_VOTE,,62,0.534375,0.532258064516129,0.06929348671835832,0.3028474231499506,0.46458333333333335,0.43548387096774194,False,3.0,0.25
AAPL,2018-03,L3_CASE_VOTE,,62,0.484375,0.4838709677419355,-0.03125,0.2959143302724315,0.478125,0.4838709677419355,False,3.0,0.5
AAPL,2018-03,L3_CASE_VOTE,,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False,5.0,0.0
AAPL,2018-03,L3_CASE_VOTE,,62,0.5177083333333333,0.5161290322580645,0.03556516487211823,0.3043433786066313,0.46458333333333335,0.45161290322580644,False,5.0,0.25
AAPL,2018-03,L3_CASE_VOTE,,62,0.5,0.5,0.0,0.29870299223174557,0.4791666666666667,0.5,False,5.0,0.5
AAPL,2018-03,L3_CASE_VOTE,,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False,10.0,0.0
AAPL,2018-03,L3_CASE_VOTE,,62,0.48541666666666666,0.4838709677419355,-0.029288959306450306,0.3079806678503944,0.4447916666666667,0.45161290322580644,False,10.0,0.25
AAPL,2018-03,L3_CASE_VOTE,,62,0.49895833333333334,0.5,-0.0020865961909838932,0.30543598689733625,0.4604166666666667,0.532258064516129,False,10.0,0.5
AAPL,2018-03,L4_LLM_ANALOGY,,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3870967741935484,False,,0.0
AAPL,2018-03,L4_LLM_ANALOGY,,62,0.5322916666666666,0.532258064516129,0.06454972243679027,0.30586582616978275,0.4510416666666666,0.5,False,,0.25
AAPL,2018-03,L4_LLM_ANALOGY,,62,0.48333333333333334,0.4838709677419355,-0.03333333333333333,0.3020663483380462,0.46875,0.5161290322580645,False,,0.5
AAPL,2018-04,L1_FILTERED_FINBERT,0.01,63,0.5907258064516129,0.5873015873015873,0.2008048322256247,0.23952329673651432,0.6824596774193548,0.7142857142857143,False,,
AAPL,2018-04,L1_FILTERED_FINBERT,0.1,63,0.6370967741935484,0.6349206349206349,0.2847207731332163,0.2412663977537267,0.65625,0.6349206349206349,False,,
AAPL,2018-04,L1_FILTERED_FINBERT,1.0,63,0.5408266129032258,0.5396825396825397,0.08248900219951122,0.2963794867136709,0.5544354838709677,0.5714285714285714,False,,
AAPL,2018-04,L2_FACT_CHANGE,0.01,63,0.5871975806451613,0.5873015873015873,0.1743951612903226,0.2337125199385774,0.6411290322580645,0.49206349206349204,False,,
AAPL,2018-04,L2_FACT_CHANGE,0.1,63,0.6360887096774194,0.6349206349206349,0.2749633406650374,0.22718990125490765,0.6532258064516129,0.5714285714285714,False,,
AAPL,2018-04,L2_FACT_CHANGE,1.0,63,0.6507056451612903,0.6507936507936508,0.3014112903225806,0.22368066791966007,0.685483870967742,0.49206349206349204,False,,
AAPL,2018-04,L3_CASE_VOTE,,63,0.5564516129032258,0.5555555555555556,0.11359236684941297,0.2427480052414925,0.592741935483871,0.5555555555555556,False,3.0,0.0
AAPL,2018-04,L3_CASE_VOTE,,63,0.5569556451612903,0.5555555555555556,0.11567381826169085,0.242959002557907,0.5836693548387096,0.5873015873015873,False,3.0,0.25
AAPL,2018-04,L3_CASE_VOTE,,63,0.5257056451612903,0.5238095238095238,0.052926894897338775,0.24638873829635044,0.5866935483870968,0.6190476190476191,False,3.0,0.5
AAPL,2018-04,L3_CASE_VOTE,,63,0.5564516129032258,0.5555555555555556,0.11359236684941297,0.2427480052414925,0.592741935483871,0.5555555555555556,False,5.0,0.0
