symbol,phase,n,P3_agrees_nearest_case,P3_agrees_last_case,P3_agrees_vote,directions_changed_vs_P2,mean_abs_probability_change
AAPL,development,21,0.9047619047619048,0.8571428571428571,0.9047619047619048,1,0.0776868455252329
AAPL,later,19,0.7894736842105263,0.5789473684210527,0.631578947368421,4,0.12192892946312281
AAPL,train_oof,121,0.8099173553719008,0.6115702479338843,0.8016528925619835,49,0.17038266409704825
AMZN,development,2,1.0,1.0,1.0,1,0.1327290817828407
AMZN,later,2,1.0,1.0,1.0,0,0.10536836077144493
AMZN,train_oof,32,0.75,0.46875,0.625,9,0.18904765486510747
