symbol,phase,modifiable_windows,P0_BA,oracle_BA,deployable
AAPL,development,21,0.5428498985801217,0.6128296146044625,False
AAPL,later,19,0.5120626499936844,0.5745231779714538,False
AAPL,train_oof,121,0.5264359393495293,0.6815427540724874,False
AMZN,development,2,0.5640074211502784,0.5742115027829313,False
AMZN,later,2,0.5614518147684606,0.572090112640801,False
AMZN,train_oof,32,0.5382530203373972,0.576189558851859,False
