symbol,month,method,C,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
AAPL,2018-03,PRICE_R1,0.01,62,0.471875,0.46774193548387094,-0.058191817512585564,0.26874469323891487,0.4625,0.34375,0.6,0.3709677419354839,False
AAPL,2018-03,PRICE_R1,0.1,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3125,0.5333333333333333,0.3870967741935484,False
AAPL,2018-03,PRICE_R1,1.0,62,0.421875,0.41935483870967744,-0.1582405261068229,0.32905712222021355,0.47812499999999997,0.34375,0.5,0.41935483870967744,False
AAPL,2018-03,AUG_FULL_LR,0.01,62,0.440625,0.43548387096774194,-0.125391373370258,0.26038837542790544,0.4302083333333333,0.28125,0.6,0.3387096774193548,False
AAPL,2018-03,AUG_FULL_LR,0.1,62,0.46458333333333335,0.46774193548387094,-0.07216098119626152,0.2783315117801866,0.4854166666666667,0.5625,0.36666666666666664,0.5967741935483871,False
AAPL,2018-03,AUG_FULL_LR,1.0,62,0.5125,0.5161290322580645,0.025649458802128853,0.35417046960790993,0.5208333333333334,0.625,0.4,0.6129032258064516,False
AAPL,2018-03,AUG_TFIDF_SVM,0.01,62,0.5010416666666667,0.5161290322580645,0.005892556509887896,0.2830609066498356,0.5968749999999999,0.96875,0.03333333333333333,0.967741935483871,False
AAPL,2018-03,AUG_TFIDF_SVM,0.1,62,0.5177083333333333,0.532258064516129,0.08248152221310745,0.30292313462176523,0.534375,0.96875,0.06666666666666667,0.9516129032258065,False
AAPL,2018-03,AUG_TFIDF_SVM,1.0,62,0.47291666666666665,0.4838709677419355,-0.07359800721939873,0.2830856687128983,0.440625,0.8125,0.13333333333333333,0.8387096774193549,False
AAPL,2018-03,AUG_FINBERT_LR,0.01,62,0.45729166666666665,0.46774193548387094,-0.11173694811198698,0.26098830712104043,0.4552083333333333,0.78125,0.13333333333333333,0.8225806451612904,False
AAPL,2018-03,AUG_FINBERT_LR,0.1,62,0.4625,0.46774193548387094,-0.0791945516022682,0.3101672295382546,0.43125,0.625,0.3,0.6612903225806451,False
AAPL,2018-03,AUG_FINBERT_LR,1.0,62,0.38541666666666663,0.3870967741935484,-0.23012753740782382,0.40908312830115007,0.37395833333333334,0.4375,0.3333333333333333,0.5483870967741935,False
AAPL,2018-03,AUG_FINMODERN_LR,0.01,62,0.478125,0.4838709677419355,-0.046770717334674264,0.26058231028339557,0.465625,0.65625,0.3,0.6774193548387096,False
AAPL,2018-03,AUG_FINMODERN_LR,0.1,62,0.4625,0.46774193548387094,-0.0791945516022682,0.30546003517982295,0.46249999999999997,0.625,0.3,0.6612903225806451,False
AAPL,2018-03,AUG_FINMODERN_LR,1.0,62,0.403125,0.4032258064516129,-0.19364916731037085,0.39165226250932883,0.41145833333333337,0.40625,0.4,0.5,False
AAPL,2018-03,AUG_EVENT_META,0.01,62,0.490625,0.5,-0.02301797809412463,0.2616015935363113,0.46458333333333335,0.78125,0.2,0.7903225806451613,False
AAPL,2018-03,AUG_EVENT_META,0.1,62,0.46354166666666663,0.46774193548387094,-0.07543383751631462,0.3072475521321892,0.43854166666666666,0.59375,0.3333333333333333,0.6290322580645161,False
AAPL,2018-03,AUG_EVENT_META,1.0,62,0.421875,0.41935483870967744,-0.1582405261068229,0.42281026653622633,0.34270833333333334,0.34375,0.5,0.41935483870967744,False
AAPL,2018-04,PRICE_R1,0.01,63,0.5564516129032258,0.5555555555555556,0.11359236684941297,0.2427480052414925,0.592741935483871,0.6129032258064516,0.5,0.5555555555555556,False
