phase,symbol,flag,value,method,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AMZN,has_original_news,0,PRICE_R1,53,0.49193548387096775,0.49056603773584906,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,PRICE_R1,73,0.5334138486312399,0.4794520547945205,0.07031061003186734,0.2776554103630293,0.5652173913043478,0.7407407407407407,0.32608695652173914,0.6986301369863014,False
development,AMZN,has_aug_news,0,PRICE_R1,12,0.6142857142857143,0.5833333333333334,0.23904572186687872,0.2676050843989804,0.6285714285714286,0.8,0.42857142857142855,0.6666666666666666,False
development,AMZN,has_aug_news,1,PRICE_R1,114,0.4996753246753247,0.47368421052631576,-0.0006493506493506494,0.2723385887479628,0.5512987012987013,0.6136363636363636,0.38571428571428573,0.6140350877192983,False
development,AMZN,has_original_news,0,AUG_FULL_LR,53,0.5828445747800586,0.5660377358490566,0.1656891495601173,0.24657455714396226,0.6041055718475073,0.6818181818181818,0.4838709677419355,0.5849056603773585,False
development,AMZN,has_original_news,1,AUG_FULL_LR,73,0.5559581320450886,0.5753424657534246,0.10981436312113849,0.23220850367215784,0.605475040257649,0.48148148148148145,0.6304347826086957,0.410958904109589,False
development,AMZN,has_aug_news,0,AUG_FULL_LR,12,0.5,0.4166666666666667,0.0,0.27649636438219977,0.5142857142857142,1.0,0.0,1.0,True
development,AMZN,has_aug_news,1,AUG_FULL_LR,114,0.5756493506493506,0.5877192982456141,0.14878386630052584,0.23422557828167656,0.6175324675324675,0.5227272727272727,0.6285714285714286,0.4298245614035088,False
development,AMZN,has_original_news,0,AUG_TFIDF_SVM,53,0.46920821114369504,0.4716981132075472,-0.0606999798637141,0.2568800761869239,0.49266862170087977,0.45454545454545453,0.4838709677419355,0.49056603773584906,False
development,AMZN,has_original_news,1,AUG_TFIDF_SVM,73,0.6090982286634461,0.6712328767123288,0.2492240899093898,0.23705911191965393,0.6288244766505636,0.37037037037037035,0.8478260869565217,0.2328767123287671,False
development,AMZN,has_aug_news,0,AUG_TFIDF_SVM,12,0.6142857142857143,0.5833333333333334,0.23904572186687872,0.2676050843989804,0.6285714285714286,0.8,0.42857142857142855,0.6666666666666666,False
development,AMZN,has_aug_news,1,AUG_TFIDF_SVM,114,0.5461038961038961,0.5877192982456141,0.09731850169870025,0.24305875609871874,0.5532467532467532,0.36363636363636365,0.7285714285714285,0.30701754385964913,False
development,AMZN,has_original_news,0,AUG_FINBERT_LR,53,0.5989736070381231,0.5849056603773585,0.1967963484266113,0.2513035645511879,0.6539589442815249,0.6818181818181818,0.5161290322580645,0.5660377358490566,False
development,AMZN,has_original_news,1,AUG_FINBERT_LR,73,0.5712560386473431,0.5753424657534246,0.13792427393407183,0.23801820312842134,0.6006441223832528,0.5555555555555556,0.5869565217391305,0.4657534246575342,False
development,AMZN,has_aug_news,0,AUG_FINBERT_LR,12,0.5,0.4166666666666667,0.0,0.3303506991038437,0.5142857142857142,1.0,0.0,1.0,True
development,AMZN,has_aug_news,1,AUG_FINBERT_LR,114,0.5912337662337663,0.5964912280701754,0.17834602770352967,0.2344755207047508,0.6577922077922077,0.5681818181818182,0.6142857142857143,0.45614035087719296,False
development,AMZN,has_original_news,0,AUG_FINMODERN_LR,53,0.6803519061583577,0.6415094339622641,0.38715249856499917,0.2684720447373345,0.6510263929618767,0.9090909090909091,0.45161290322580644,0.6981132075471698,False
development,AMZN,has_original_news,1,AUG_FINMODERN_LR,73,0.5680354267310789,0.5616438356164384,0.13139347366307716,0.28123033625254096,0.5491143317230274,0.5925925925925926,0.5434782608695652,0.5068493150684932,False
development,AMZN,has_aug_news,0,AUG_FINMODERN_LR,12,0.5,0.4166666666666667,0.0,0.4023685532171026,0.45714285714285713,1.0,0.0,1.0,True
development,AMZN,has_aug_news,1,AUG_FINMODERN_LR,114,0.6308441558441559,0.6140350877192983,0.25577739916200165,0.26254745858692097,0.6081168831168832,0.7045454545454546,0.5571428571428572,0.543859649122807,False
development,AMZN,has_original_news,0,AUG_EVENT_META,53,0.624633431085044,0.6226415094339622,0.24569039468646184,0.2653753320145043,0.6099706744868035,0.6363636363636364,0.6129032258064516,0.49056603773584906,False
development,AMZN,has_original_news,1,AUG_EVENT_META,73,0.5157004830917875,0.5342465753424658,0.03066890830098722,0.271008718487011,0.5491143317230274,0.4444444444444444,0.5869565217391305,0.4246575342465753,False
development,AMZN,has_aug_news,0,AUG_EVENT_META,12,0.4,0.3333333333333333,-0.3567530340063379,0.3879130459978554,0.48571428571428577,0.8,0.0,0.9166666666666666,False
development,AMZN,has_aug_news,1,AUG_EVENT_META,114,0.5785714285714285,0.5964912280701754,0.1559324961919478,0.25608396924865146,0.5889610389610389,0.5,0.6571428571428571,0.40350877192982454,False
development,AMZN,has_original_news,0,ORIG_PRICE_R1,53,0.49193548387096775,0.49056603773584906,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,ORIG_PRICE_R1,73,0.5334138486312399,0.4794520547945205,0.07031061003186734,0.2776554103630293,0.5652173913043478,0.7407407407407407,0.32608695652173914,0.6986301369863014,False
development,AMZN,has_aug_news,0,ORIG_PRICE_R1,12,0.6142857142857143,0.5833333333333334,0.23904572186687872,0.2676050843989804,0.6285714285714286,0.8,0.42857142857142855,0.6666666666666666,False
development,AMZN,has_aug_news,1,ORIG_PRICE_R1,114,0.4996753246753247,0.47368421052631576,-0.0006493506493506494,0.2723385887479628,0.5512987012987013,0.6136363636363636,0.38571428571428573,0.6140350877192983,False
development,AMZN,has_original_news,0,ORIG_FULL_LR,53,0.49193548387096775,0.49056603773584906,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
