phase,symbol,month,method,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,2018-09,PRICE_R1,57,0.6188423645320198,0.6140350877192983,0.2831921951995806,0.23687878867299852,0.6748768472906405,0.8928571428571429,0.3448275862068966,0.7719298245614035,False
development,AAPL,2018-10,PRICE_R1,69,0.5153846153846154,0.4782608695652174,0.03698001308168194,0.25008536424052286,0.6205128205128204,0.8,0.23076923076923078,0.782608695652174,False
development,AAPL,2018-09,AUG_FULL_LR,57,0.4963054187192118,0.49122807017543857,-0.009061004703659371,0.2937886523481642,0.5307881773399015,0.7857142857142857,0.20689655172413793,0.7894736842105263,False
development,AAPL,2018-10,AUG_FULL_LR,69,0.5051282051282051,0.4492753623188406,0.019611613513818404,0.30409345493315465,0.6,0.9333333333333333,0.07692307692307693,0.927536231884058,False
development,AAPL,2018-09,AUG_TFIDF_SVM,57,0.5,0.49122807017543857,0.0,0.2622792019222657,0.45935960591133007,1.0,0.0,1.0,True
development,AAPL,2018-10,AUG_TFIDF_SVM,69,0.5,0.43478260869565216,0.0,0.27329530455968576,0.39230769230769236,1.0,0.0,1.0,True
development,AAPL,2018-09,AUG_FINBERT_LR,57,0.5855911330049262,0.5789473684210527,0.2607370595357348,0.24719073140874356,0.6108374384236452,0.9642857142857143,0.20689655172413793,0.8771929824561403,False
development,AAPL,2018-10,AUG_FINBERT_LR,69,0.5692307692307692,0.5217391304347826,0.1949826990620121,0.2499899592604057,0.6820512820512821,0.9333333333333333,0.20512820512820512,0.855072463768116,False
development,AAPL,2018-09,AUG_FINMODERN_LR,57,0.49753694581280783,0.49122807017543857,-0.007089880956935217,0.2534793265276179,0.5837438423645319,0.8571428571428571,0.13793103448275862,0.8596491228070176,False
development,AAPL,2018-10,AUG_FINMODERN_LR,69,0.5576923076923077,0.5217391304347826,0.13553233216620045,0.25185903731338727,0.6282051282051282,0.8333333333333334,0.28205128205128205,0.7681159420289855,False
development,AAPL,2018-09,AUG_EVENT_META,57,0.5677339901477833,0.5614035087719298,0.19497172631571846,0.24790380395935502,0.603448275862069,0.9285714285714286,0.20689655172413793,0.8596491228070176,False
development,AAPL,2018-10,AUG_EVENT_META,69,0.5692307692307692,0.5217391304347826,0.1949826990620121,0.2528851609846491,0.6829059829059828,0.9333333333333333,0.20512820512820512,0.855072463768116,False
development,AAPL,2018-09,ORIG_PRICE_R1,57,0.6188423645320198,0.6140350877192983,0.2831921951995806,0.23687878867299852,0.6748768472906405,0.8928571428571429,0.3448275862068966,0.7719298245614035,False
development,AAPL,2018-10,ORIG_PRICE_R1,69,0.5153846153846154,0.4782608695652174,0.03698001308168194,0.25008536424052286,0.6205128205128204,0.8,0.23076923076923078,0.782608695652174,False
development,AAPL,2018-09,ORIG_FULL_LR,57,0.6016009852216749,0.5964912280701754,0.24917762935063273,0.2461162990471983,0.583743842364532,0.8928571428571429,0.3103448275862069,0.7894736842105263,False
development,AAPL,2018-10,ORIG_FULL_LR,69,0.5615384615384615,0.5217391304347826,0.15171348989784333,0.253162180420804,0.5632478632478632,0.8666666666666667,0.2564102564102564,0.7971014492753623,False
development,AAPL,2018-09,ORIG_TFIDF_SVM,57,0.5,0.49122807017543857,0.0,0.2675605610065271,0.43103448275862066,1.0,0.0,1.0,True
development,AAPL,2018-10,ORIG_TFIDF_SVM,69,0.4666666666666667,0.4057971014492754,-0.19699230987339006,0.28189360466665137,0.40170940170940167,0.9333333333333333,0.0,0.9710144927536232,False
development,AAPL,2018-09,ORIG_FINBERT_LR,57,0.5843596059113301,0.5789473684210527,0.21373088995176615,0.24342446352926747,0.6933497536945814,0.8928571428571429,0.27586206896551724,0.8070175438596491,False
development,AAPL,2018-10,ORIG_FINBERT_LR,69,0.5064102564102564,0.463768115942029,0.01676757576219862,0.31075413680192726,0.594017094017094,0.8333333333333334,0.1794871794871795,0.8260869565217391,False
