branch,symbol,month,kind,slope,intercept,temperature,n,last_fit_month
F2,AAPL,2018-07,identity,1.0,0.0,1.0,251,2018-06
F2,AAPL,2018-07,temperature,0.010051835744633586,0.0,99.48431564193376,251,2018-06
F2,AAPL,2018-07,platt_shrunk,0.19195303296295782,0.14240222741462832,5.209607707490484,251,2018-06
F2,AMZN,2018-07,identity,1.0,0.0,1.0,142,2018-06
F2,AMZN,2018-07,temperature,0.010051835744633586,0.0,99.48431564193376,142,2018-06
F2,AMZN,2018-07,platt_shrunk,0.010051835744633586,0.021772281561146453,99.48431564193376,142,2018-06
F2,AAPL,2018-08,identity,1.0,0.0,1.0,311,2018-07
F2,AAPL,2018-08,temperature,0.010051835744633586,0.0,99.48431564193376,311,2018-07
F2,AAPL,2018-08,platt_shrunk,0.11925734201509773,0.22332047601764457,8.385227970898447,311,2018-07
F2,AMZN,2018-08,identity,1.0,0.0,1.0,167,2018-07
F2,AMZN,2018-08,temperature,0.010051835744633586,0.0,99.48431564193376,167,2018-07
F2,AMZN,2018-08,platt_shrunk,0.010051835744633586,-0.048823943612718745,99.48431564193376,167,2018-07
F2,AAPL,final,identity,1.0,0.0,1.0,379,2018-08
F2,AAPL,final,temperature,0.2311033172109277,0.0,4.327069001295647,379,2018-08
F2,AAPL,final,platt_shrunk,0.3667349289061125,0.3333478200799151,2.726765086114852,379,2018-08
F2,AMZN,final,identity,1.0,0.0,1.0,198,2018-08
F2,AMZN,final,temperature,0.010051835744633586,0.0,99.48431564193376,198,2018-08
F2,AMZN,final,platt_shrunk,0.010051835744633586,-0.06807874979539065,99.48431564193376,198,2018-08
