phase,symbol,method,baseline,block_days,BA_low,BA_high,Brier_low,Brier_high
later,AMZN,N1M,N0M,5,-0.0023890088356572667,0.061374146017997955,-0.028511442372027483,-0.0035693648769483423
later,AMZN,F1_calibrated,F1,5,-0.04654617326330668,0.006736022609270267,-0.021235214686049372,0.0021996079797223967
later,AMZN,F2_calibrated,F2,5,-0.08462009803921569,0.03526996909066892,-0.03622009367223433,0.005742378661454884
later,AMZN,F1_temperature,F1,5,0.0,0.0,-0.02636119243469934,0.003787929974167501
later,AMZN,F2_temperature,F2,5,0.0,0.0,-0.037184731567005476,0.004571802446538836
train_forward_oof,AAPL,J1,J0,1,-0.008204981764589801,0.07373135480183404,0.004911908694361128,0.03117387826147024
train_forward_oof,AAPL,J3,J2,1,-0.013454181312092025,0.07810827538541351,0.00047725186607987084,0.02502480049895168
train_forward_oof,AAPL,N1,N0,1,-0.017356159199696776,0.027626216701063015,-0.005875430809211429,0.007706228665176959
train_forward_oof,AAPL,N1M,N0M,1,-0.02956987852468254,0.02784381154427062,-0.03589708985295626,-0.007816780783565883
train_forward_oof,AAPL,F1_calibrated,F1,1,0.0,0.0,-0.01210830107629754,0.005429396740294257
train_forward_oof,AAPL,F2_calibrated,F2,1,0.0,0.0,-0.009226050662824933,0.014688391840870521
train_forward_oof,AAPL,F1_temperature,F1,1,0.0,0.0,-0.015691049027709975,0.005195099955891015
train_forward_oof,AAPL,F2_temperature,F2,1,0.0,0.0,-0.012175947330345913,0.01406255567588064
train_forward_oof,AAPL,J1,J0,5,-0.011608182437781129,0.0758342292310129,0.0046159729472471265,0.03272265573558815
train_forward_oof,AAPL,J3,J2,5,-0.010319940476190469,0.08114106288448389,-0.0002299849968361534,0.02532779927598617
train_forward_oof,AAPL,N1,N0,5,-0.024995611156685794,0.03440149876320091,-0.002009176136613549,0.00476862189323048
train_forward_oof,AAPL,N1M,N0M,5,-0.03626157899418538,0.03000128009688991,-0.03656260641047175,-0.005975897404690194
train_forward_oof,AAPL,F1_calibrated,F1,5,0.0,0.0,-0.012018704084123547,0.004459782141797671
train_forward_oof,AAPL,F2_calibrated,F2,5,0.0,0.0,-0.006454081272255262,0.013024428941525596
train_forward_oof,AAPL,F1_temperature,F1,5,0.0,0.0,-0.014778570409081912,0.005493261734350731
train_forward_oof,AAPL,F2_temperature,F2,5,0.0,0.0,-0.00954302872835628,0.012748800217088373
train_forward_oof,AMZN,J1,J0,1,-0.04129767125107966,-0.004829526365110841,-0.005259245786943685,0.0031593822053647288
train_forward_oof,AMZN,J3,J2,1,-0.018182420029490543,0.025131888724992796,0.00877000181769537,0.041116744545778225
train_forward_oof,AMZN,N1,N0,1,-0.014969594594594595,0.013562106845088111,-0.009154515867787424,0.0008409065168249287
train_forward_oof,AMZN,N1M,N0M,1,-0.023117206468341284,0.018548141753152638,-0.010060985375361304,0.003370443189006065
train_forward_oof,AMZN,F1_calibrated,F1,1,0.0,0.0,-0.010710915270458714,0.0005495151532414187
train_forward_oof,AMZN,F2_calibrated,F2,1,0.0,0.0,-0.010464109698933782,0.00559585149739699
train_forward_oof,AMZN,F1_temperature,F1,1,0.0,0.0,-0.010710915270458714,0.0005495151532414177
train_forward_oof,AMZN,F2_temperature,F2,1,0.0,0.0,-0.0222153206888181,-0.0018091607101386425
train_forward_oof,AMZN,J1,J0,5,-0.04396212848653855,-0.002886289589981733,-0.0056128417196428,0.003170855684406524
train_forward_oof,AMZN,J3,J2,5,-0.015916729308973643,0.027021103896103852,0.005712574315077567,0.0460461788494099
train_forward_oof,AMZN,N1,N0,5,-0.017641680963016052,0.018572527211302002,-0.012213040424144788,0.0022411454315664015
train_forward_oof,AMZN,N1M,N0M,5,-0.021529174200982652,0.019793415171891666,-0.01185836655727326,0.00519383446370053
train_forward_oof,AMZN,F1_calibrated,F1,5,0.0,0.0,-0.010537694474936276,0.0006887314216414449
train_forward_oof,AMZN,F2_calibrated,F2,5,0.0,0.0,-0.008506162362329645,0.0037061827694683685
train_forward_oof,AMZN,F1_temperature,F1,5,0.0,0.0,-0.010537694474936276,0.000688731421641446
train_forward_oof,AMZN,F2_temperature,F2,5,0.0,0.0,-0.022731720911295255,-0.0020999811879546027
