phase,symbol,flag,value,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,has_usable_text,1,F1_calibrated,124,0.5,0.0,0.2639382443312489,0.5782563025210085,1.0,0.0,1.0,True
development,AAPL,has_qualified_event,0,F1_calibrated,40,0.4722222222222222,-0.17702833484793146,0.26574466932895,0.5606060606060607,0.9444444444444444,0.0,0.975,False
development,AAPL,has_qualified_event,1,F1_calibrated,86,0.5,0.0,0.26206654505573324,0.5597826086956521,1.0,0.0,1.0,True
development,AAPL,has_original_news,0,F2_temperature,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,F2_temperature,124,0.5477941176470589,0.12452068109744242,0.2477921887474799,0.631827731092437,0.875,0.22058823529411764,0.8225806451612904,False
development,AAPL,has_usable_text,0,F2_temperature,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,F2_temperature,124,0.5477941176470589,0.12452068109744242,0.2477921887474799,0.631827731092437,0.875,0.22058823529411764,0.8225806451612904,False
development,AAPL,has_qualified_event,0,F2_temperature,40,0.6035353535353535,0.24669716448921308,0.2518948988227526,0.5732323232323232,0.8888888888888888,0.3181818181818182,0.775,False
development,AAPL,has_qualified_event,1,F2_temperature,86,0.5119565217391304,0.03230825477230273,0.24522793956573954,0.6364130434782609,0.85,0.17391304347826086,0.8372093023255814,False
development,AAPL,has_original_news,0,F2_platt_shrunk,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,F2_platt_shrunk,124,0.5057773109243697,0.03742405942825598,0.2748667713273523,0.631827731092437,0.9821428571428571,0.029411764705882353,0.9758064516129032,False
development,AAPL,has_usable_text,0,F2_platt_shrunk,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,F2_platt_shrunk,124,0.5057773109243697,0.03742405942825598,0.2748667713273523,0.631827731092437,0.9821428571428571,0.029411764705882353,0.9758064516129032,False
development,AAPL,has_qualified_event,0,F2_platt_shrunk,40,0.4898989898989899,-0.0335012605086404,0.2841100035313858,0.5404040404040403,0.8888888888888888,0.09090909090909091,0.9,False
development,AAPL,has_qualified_event,1,F2_platt_shrunk,86,0.5,0.0,0.26928194016526114,0.6364130434782609,1.0,0.0,1.0,True
development,AAPL,has_original_news,0,F2_calibrated,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,F2_calibrated,124,0.5057773109243697,0.03742405942825598,0.2748667713273523,0.631827731092437,0.9821428571428571,0.029411764705882353,0.9758064516129032,False
development,AAPL,has_usable_text,0,F2_calibrated,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,F2_calibrated,124,0.5057773109243697,0.03742405942825598,0.2748667713273523,0.631827731092437,0.9821428571428571,0.029411764705882353,0.9758064516129032,False
development,AAPL,has_qualified_event,0,F2_calibrated,40,0.4898989898989899,-0.0335012605086404,0.2841100035313858,0.5404040404040403,0.8888888888888888,0.09090909090909091,0.9,False
development,AAPL,has_qualified_event,1,F2_calibrated,86,0.5,0.0,0.26928194016526114,0.6364130434782609,1.0,0.0,1.0,True
development,AAPL,has_original_news,0,J0,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,J0,124,0.5861344537815126,0.21368191536505515,0.25046493664394825,0.5782563025210085,0.8928571428571429,0.27941176470588236,0.7983870967741935,False
development,AAPL,has_usable_text,0,J0,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,J0,124,0.5861344537815126,0.21368191536505515,0.25046493664394825,0.5782563025210085,0.8928571428571429,0.27941176470588236,0.7983870967741935,False
development,AAPL,has_qualified_event,0,J0,40,0.5757575757575758,0.17407765595569785,0.24736104540343035,0.6060606060606061,0.8333333333333334,0.3181818181818182,0.75,False
development,AAPL,has_qualified_event,1,J0,86,0.5804347826086956,0.20619293865288055,0.25119043812312286,0.5597826086956521,0.9,0.2608695652173913,0.813953488372093,False
development,AAPL,has_original_news,0,J1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,J1,124,0.5525210084033614,0.10774998786398486,0.25889859737131454,0.5877100840336135,0.6785714285714286,0.4264705882352941,0.6209677419354839,False
development,AAPL,has_usable_text,0,J1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,J1,124,0.5525210084033614,0.10774998786398486,0.25889859737131454,0.5877100840336135,0.6785714285714286,0.4264705882352941,0.6209677419354839,False
development,AAPL,has_qualified_event,0,J1,40,0.5606060606060606,0.12309149097933272,0.24857498277816462,0.595959595959596,0.6666666666666666,0.45454545454545453,0.6,False
development,AAPL,has_qualified_event,1,J1,86,0.5440217391304348,0.09085194597231543,0.26278597806735593,0.5826086956521739,0.675,0.41304347826086957,0.627906976744186,False
development,AAPL,has_original_news,0,J2,2,,0.0,0.219583675438098,,0.5,,0.5,False
