method,AAPL_delta_BA,AMZN_delta_BA,AAPL_delta_Brier,AMZN_delta_Brier,positive_macro_months,passes
D,0.03551776836090562,-0.025847492920206605,-0.0034217515489295045,0.00111305314091729,2,False
U,-0.0433844477962125,0.0,0.0025843374467636924,0.0001190428908695677,1,False
A,0.019095102428435744,0.0,0.006113065064700607,0.007455480963423966,2,False
AL,0.011158594491927798,-0.004166666666666689,0.0040287841610032364,0.004794332767473227,1,False
DUA,0.005113441387951205,-0.05439155422288855,0.028923595590861523,0.017390096820140383,1,False
DUAL,0.01829007956458935,-0.056082375478927214,0.012631583684904376,0.00953695904216468,1,False
DUAL_PARTIAL,-0.029796819012505287,-0.04300766283524904,0.030178847818545972,0.0026066567789525077,1,False
