variant,method,choice,base_JunAug_mean_BA,method_JunAug_mean_BA,delta_BA,AAPL_delta_BA,AMZN_delta_BA,base_mean_Brier,method_mean_Brier,delta_Brier,passes_engineering_gate
price,C1,1.0,0.5764218843487137,0.5454765424277619,-0.030945341920951663,-0.023088023088023157,-0.03880266075388017,0.2402708603956213,0.24930345467675535,0.009032594281134065,False
price,C2,0.0,0.5764218843487137,0.5771609826487876,0.0007390983000739593,0.007575757575757569,-0.0060975609756096505,0.2402708603956213,0.24108325807498748,0.0008123976793662085,False
price_F1,C1,0.01,0.578350578960335,0.5216863759546686,-0.05666420300566638,-0.06565656565656564,-0.047671840354767125,0.2435569330147465,0.25340415855455506,0.009847225539808532,False
price_F1,C2,0.5,0.578350578960335,0.5749604054482103,-0.003390173512124728,0.008297258297258248,-0.015077605321507703,0.2435569330147465,0.24552789925857302,0.0019709662438264913,False
