symbol,seed,method,month,n,BA,Brier,MCC,accuracy,predicted_up,constant,log_loss,TPR,TNR
AAPL,573,PAPER,2018-01,59,0.6770833333333333,0.2502373911465829,0.35334967211447943,0.6779661016949152,0.5254237288135594,False,0.8124825938488417,0.6875,0.6666666666666666
AAPL,573,PAPER,2018-02,57,0.670625,0.211533551963296,0.3510401211637591,0.6842105263157895,0.631578947368421,False,0.6540324103752488,0.78125,0.56
AAPL,573,PAPER,2018-03,62,0.7572916666666667,0.2097639749201156,0.5153892591730216,0.7580645161290323,0.532258064516129,False,0.7388501553763098,0.78125,0.7333333333333333
AAPL,573,PAPER,2018-04,63,0.6537298387096775,0.2432798038578568,0.3302134644559894,0.6507936507936508,0.6825396825396826,False,0.7412165484949603,0.8387096774193549,0.46875
AAPL,573,PAPER,2018-05,66,0.7884436160298229,0.1627647731121119,0.5736882024146817,0.7878787878787878,0.5303030303030303,False,0.5974352225697579,0.7837837837837838,0.7931034482758621
AAPL,573,PAPER,2018-06,63,0.7083333333333333,0.19554769936724292,0.4166666666666667,0.7142857142857143,0.5714285714285714,False,0.6819373012602258,0.75,0.6666666666666666
AAPL,573,PAPER,2018-07,60,0.575091575091575,0.22770365879192542,0.15896608261102183,0.6333333333333333,0.7166666666666667,False,0.6549141213280731,0.7692307692307693,0.38095238095238093
AAPL,573,PAPER,2018-08,69,0.5326797385620915,0.21433929285019362,0.0757184750707091,0.6811594202898551,0.8260869565217391,False,0.6616189732621875,0.8431372549019608,0.2222222222222222
AAPL,573,PAPER,2018-09,57,0.6502463054187192,0.29303317550612407,0.3027379168611337,0.6491228070175439,0.5614035087719298,False,0.9014461811908275,0.7142857142857143,0.5862068965517241
AAPL,573,PAPER,2018-10,69,0.582051282051282,0.27076069193759594,0.16271770757789486,0.5797101449275363,0.5072463768115942,False,0.8580797007369682,0.6,0.5641025641025641
AAPL,573,PAPER,2018-11,60,0.6351501668520578,0.27550400578371076,0.27151109153844005,0.6333333333333333,0.45,False,0.8684791411566339,0.5806451612903226,0.6896551724137931
AAPL,573,PAPER,2018-12,53,0.6455108359133126,0.2311353870068979,0.2946940148465151,0.6792452830188679,0.33962264150943394,False,0.8068541365819791,0.5263157894736842,0.7647058823529411
AAPL,573,PAPER,2019-01,63,0.5935550935550935,0.22654853347024778,0.186145197762485,0.6031746031746031,0.5714285714285714,False,0.6536362989056068,0.6486486486486487,0.5384615384615384
AAPL,573,PAPER,2019-02,2,,0.16556178439247532,,1.0,0.0,True,0.5165017223615194,,1.0
AAPL,573,PRICE,2018-01,59,0.5758101851851851,0.23993344410616538,0.16678819876485512,0.5932203389830508,0.711864406779661,False,0.6717292860866735,0.78125,0.37037037037037035
AAPL,573,PRICE,2018-02,57,0.639375,0.22258893191251505,0.2819398686139768,0.6491228070175439,0.5964912280701754,False,0.6331010084550254,0.71875,0.56
AAPL,573,PRICE,2018-03,62,0.3520833333333333,0.2786768258762606,-0.2996020627622514,0.3548387096774194,0.5806451612903226,False,0.7536495665010157,0.4375,0.26666666666666666
AAPL,573,PRICE,2018-04,63,0.6068548387096775,0.2589289178483806,0.24070030928767125,0.6031746031746031,0.7301587301587301,False,0.713688742157831,0.8387096774193549,0.375
AAPL,573,PRICE,2018-05,66,0.5200372786579683,0.24517553314536944,0.04392814509203082,0.5454545454545454,0.7121212121212122,False,0.6837109847307408,0.7297297297297297,0.3103448275862069
AAPL,573,PRICE,2018-06,63,0.5925925925925926,0.249364608406962,0.186145197762485,0.6031746031746031,0.5873015873015873,False,0.6937055237804931,0.6666666666666666,0.5185185185185185
AAPL,573,PRICE,2018-07,60,0.5494505494505495,0.2348562848397802,0.10140849540810587,0.6,0.6833333333333333,False,0.6617277161359296,0.717948717948718,0.38095238095238093
AAPL,573,PRICE,2018-08,69,0.5964052287581699,0.22291891584596277,0.1964833676897975,0.6956521739130435,0.7536231884057971,False,0.6384897625515704,0.803921568627451,0.3888888888888889
AAPL,573,PRICE,2018-09,57,0.5997536945812808,0.2369895645704382,0.21456972463472546,0.5964912280701754,0.6842105263157895,False,0.665968189851318,0.7857142857142857,0.41379310344827586
AAPL,573,PRICE,2018-10,69,0.5217948717948717,0.24363247532984625,0.04427623847752457,0.5072463768115942,0.6086956521739131,False,0.679833087514752,0.6333333333333333,0.41025641025641024
AAPL,573,PRICE,2018-11,60,0.5628476084538376,0.26346122628836544,0.12919146336922627,0.5666666666666667,0.6166666666666667,False,0.7363319864356541,0.6774193548387096,0.4482758620689655
AAPL,573,PRICE,2018-12,53,0.5719814241486068,0.25688231562169656,0.13929712218403822,0.5849056603773585,0.4339622641509434,False,0.7127095203719482,0.5263157894736842,0.6176470588235294
AAPL,573,PRICE,2019-01,63,0.41632016632016633,0.26576196380293454,-0.1658155677094358,0.42857142857142855,0.5555555555555556,False,0.7264586459272026,0.4864864864864865,0.34615384615384615
