symbol,seed,reference,method,delta_BA,delta_accuracy,delta_MCC,delta_Brier,delta_log_loss
AAPL,573,FULL,A1,-0.05769927536231878,-0.04732254047322537,-0.09684848660801271,0.009405783883334518,-0.03354035839782554
AAPL,573,FULL,A2,-0.08445464767616184,-0.07222914072229136,-0.15055952278823337,0.014295023681415164,-0.02357132292395847
AAPL,573,FULL,A3,-0.03240254872563719,-0.0273972602739726,-0.057241430010515626,0.002434675677904008,-0.04829644553886836
AAPL,573,FULL,B1,0.005434782608695787,0.00498132004981322,0.010365120238970793,-0.0010574101740231656,-0.012663394731714517
AAPL,573,FULL,B2,-0.023094702648675636,-0.023661270236612686,-0.04751658860035496,0.007829335878519667,0.01787190779361736
AAPL,573,FULL,FULL_SHRINK,0.0,0.0,0.0,-0.00858050951059769,-0.07102813510089745
AAPL,573,FULL,TFIDF_SVM_PRICE_FALLBACK,0.02581209395302353,0.026151930261519296,0.053029930746573806,-0.014609923104584976,-0.0837189624630238
AAPL,573,TFIDF_SVM,A1,-0.08330209895052476,-0.07347447073474467,-0.14983881771278035,0.02374696184654515,0.049612407636922096
AAPL,573,TFIDF_SVM,A2,-0.11005747126436782,-0.09838107098381066,-0.203549853893001,0.028636201644625797,0.05958144311078917
AAPL,573,TFIDF_SVM,A3,-0.05800537231384317,-0.0535491905354919,-0.11023176111528327,0.01677585364111464,0.03485632049587928
AAPL,573,TFIDF_SVM,B1,-0.020168040979510193,-0.021170610211706076,-0.04262521086579685,0.013283767789187467,0.07048937130303312
AAPL,573,TFIDF_SVM,B2,-0.048697526236881616,-0.04981320049813198,-0.1005069197051226,0.0221705138417303,0.101024673828365
AAPL,573,TFIDF_SVM,FULL_SHRINK,-0.02560282358820598,-0.026151930261519296,-0.05299033110476764,0.005760668452612944,0.012124630933850189
AAPL,573,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,0.00020927036481754868,0.0,3.959964180616504e-05,-0.0002687451413743436,-0.0005661964282761556
AAPL,573,TFIDF_SVM_PRICE_FALLBACK,A1,-0.08351136931534231,-0.07347447073474467,-0.1498784173545865,0.024015706987919494,0.05017860406519825
AAPL,573,TFIDF_SVM_PRICE_FALLBACK,A2,-0.11026674162918537,-0.09838107098381066,-0.20358945353480717,0.02890494678600014,0.06014763953906532
AAPL,573,TFIDF_SVM_PRICE_FALLBACK,A3,-0.05821464267866072,-0.0535491905354919,-0.11027136075708943,0.017044598782488984,0.035422516924155434
AAPL,573,TFIDF_SVM_PRICE_FALLBACK,B1,-0.020377311344327742,-0.021170610211706076,-0.04266481050760301,0.01355251293056181,0.07105556773130928
AAPL,573,TFIDF_SVM_PRICE_FALLBACK,B2,-0.048906796601699165,-0.04981320049813198,-0.10054651934692876,0.022439258983104643,0.10159087025664115
AAPL,573,TFIDF_SVM_PRICE_FALLBACK,FULL_SHRINK,-0.02581209395302353,-0.026151930261519296,-0.053029930746573806,0.006029413593987287,0.012690827362126345
AAPL,573,TFIDF_SVM_PRICE_FALLBACK,TFIDF_SVM_PRICE_FALLBACK,0.0,0.0,0.0,0.0,0.0
AAPL,574,FULL,A1,-0.04776986506746628,-0.03860523038605235,-0.08182571373423056,0.005713788154197763,-0.060990841821379926
AAPL,574,FULL,A2,-0.08915854572713644,-0.07596513075965128,-0.16344323123065618,0.011697885689312959,-0.04883377734023031
AAPL,574,FULL,A3,-0.03773113443278375,-0.03362391033623913,-0.07113604874955803,-0.001503282467257172,-0.07672661780427703
AAPL,574,FULL,B1,0.0017772363818090442,0.001245330012453305,0.0029381100778464453,0.002129671242571962,0.014460258657897684
AAPL,574,FULL,B2,-0.0069996251874062665,-0.008717310087173136,-0.01601332321906168,0.0037543260005051815,-0.005987741550988246
AAPL,574,FULL,FULL_SHRINK,0.0,0.0,0.0,-0.010893103598999587,-0.09562108215419862
AAPL,574,FULL,TFIDF_SVM_PRICE_FALLBACK,0.011912793603198302,0.012453300124533051,0.02496370167353784,-0.01846480736374792,-0.11245939626109569
AAPL,574,TFIDF_SVM,A1,-0.06083208395802098,-0.05230386052303859,-0.10927750483665863,0.024077315016077905,0.051234185373714713
AAPL,574,TFIDF_SVM,A2,-0.10222076461769114,-0.08966376089663752,-0.19089502233308425,0.0300614125511931,0.06339124985486433
AAPL,574,TFIDF_SVM,A3,-0.05079335332333845,-0.04732254047322537,-0.0985878398519861,0.01686024439462297,0.03549840939081761
AAPL,574,TFIDF_SVM,B1,-0.011284982508745656,-0.01245330012453294,-0.024513681024581624,0.020493198104452104,0.12668528585299232
AAPL,574,TFIDF_SVM,B2,-0.020061844077960966,-0.02241594022415938,-0.04346511432148975,0.022117852862385323,0.1062372856441064
AAPL,574,TFIDF_SVM,FULL_SHRINK,-0.0130622188905547,-0.013698630136986245,-0.02745179110242807,0.0074704232628805545,0.016603945040896018
AAPL,574,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,-0.0011494252873563982,-0.001245330012453194,-0.0024880894288902278,-0.0001012805018677787,-0.00023436906600105
AAPL,574,TFIDF_SVM_PRICE_FALLBACK,A1,-0.05968265867066458,-0.0510585305105854,-0.1067894154077684,0.024178595517945684,0.051468554439715763
AAPL,574,TFIDF_SVM_PRICE_FALLBACK,A2,-0.10107133933033474,-0.08841843088418433,-0.18840693290419402,0.03016269305306088,0.06362561892086538
AAPL,574,TFIDF_SVM_PRICE_FALLBACK,A3,-0.049643928035982055,-0.04607721046077218,-0.09609975042309588,0.01696152489649075,0.03573277845681866
AAPL,574,TFIDF_SVM_PRICE_FALLBACK,B1,-0.010135557221389258,-0.011207970112079746,-0.022025591595691396,0.020594478606319883,0.12691965491899337
AAPL,574,TFIDF_SVM_PRICE_FALLBACK,B2,-0.018912418790604568,-0.021170610211706187,-0.04097702489259952,0.022219133364253102,0.10647165471010744
AAPL,574,TFIDF_SVM_PRICE_FALLBACK,FULL_SHRINK,-0.011912793603198302,-0.012453300124533051,-0.02496370167353784,0.007571703764748333,0.016838314106897068
AAPL,574,TFIDF_SVM_PRICE_FALLBACK,TFIDF_SVM_PRICE_FALLBACK,0.0,0.0,0.0,0.0,0.0
AAPL,575,FULL,A1,-0.07013368315842072,-0.06102117061021173,-0.12785805875666592,0.003900254480704385,-0.06267629667582153
