seed,symbol,fold,method,calibration_model,terms,bigrams,numeric_terms,negation_terms,C,rho,semantic_dimensions
575,AMZN,5,B2,-1,500.0,0,0,0,0.1,1.0,768
575,AMZN,5,B1,-1,,0,0,0,0.01,0.0,0
575,AMZN,6,A1,0,5000.0,0,552,3,1.0,0.0,0
575,AMZN,6,A2,0,5000.0,2461,388,24,1.0,0.0,0
575,AMZN,6,A3,0,5000.0,2473,368,26,1.0,0.0,0
575,AMZN,6,A3,1,5000.0,2457,380,24,1.0,0.0,0
575,AMZN,6,A3,2,5000.0,2493,406,23,1.0,0.0,0
575,AMZN,6,B1,-1,500.0,0,0,0,1.0,1.0,16
575,AMZN,6,B2,-1,500.0,0,0,0,0.1,1.0,768
575,AMZN,7,A1,0,5000.0,0,639,2,1.0,0.0,0
575,AMZN,7,A2,0,5000.0,2437,412,23,1.0,0.0,0
575,AMZN,7,A3,0,5000.0,2494,420,25,1.0,0.0,0
575,AMZN,7,A3,1,5000.0,2426,367,25,1.0,0.0,0
575,AMZN,7,A3,2,5000.0,2453,468,24,1.0,0.0,0
575,AMZN,7,B2,-1,500.0,0,0,0,1.0,1.0,768
575,AMZN,7,B1,-1,,0,0,0,1.0,0.0,0
575,AMZN,8,A1,0,5000.0,0,555,2,0.1,0.0,0
575,AMZN,8,A2,0,5000.0,2454,377,24,0.1,0.0,0
575,AMZN,8,A3,0,5000.0,2458,387,26,1.0,0.0,0
575,AMZN,8,A3,1,5000.0,2434,340,24,1.0,0.0,0
575,AMZN,8,A3,2,5000.0,2504,398,23,1.0,0.0,0
575,AMZN,8,B1,-1,500.0,0,0,0,1.0,0.1,16
575,AMZN,8,B2,-1,500.0,0,0,0,1.0,1.0,768
575,AMZN,9,A1,0,5000.0,0,567,3,1.0,0.0,0
575,AMZN,9,A2,0,5000.0,2471,391,24,1.0,0.0,0
575,AMZN,9,A3,0,5000.0,2486,382,24,1.0,0.0,0
575,AMZN,9,A3,1,5000.0,2473,375,24,1.0,0.0,0
575,AMZN,9,A3,2,5000.0,2498,405,24,1.0,0.0,0
575,AMZN,9,B1,-1,500.0,0,0,0,1.0,1.0,16
575,AMZN,9,B2,-1,500.0,0,0,0,1.0,1.0,768
