seed,symbol,fold,method,calibration_model,terms,bigrams,numeric_terms,negation_terms,C,rho,semantic_dimensions
573,AMZN,2,B2,-1,500.0,0,0,0,1.0,1.0,768
573,AMZN,2,B1,-1,,0,0,0,1.0,0.0,0
573,AMZN,3,A1,0,5000.0,0,655,2,0.1,0.0,0
573,AMZN,3,A2,0,5000.0,2444,413,23,0.1,0.0,0
573,AMZN,3,A3,0,5000.0,2448,487,22,0.1,0.0,0
573,AMZN,3,A3,1,5000.0,2500,395,24,0.1,0.0,0
573,AMZN,3,A3,2,5000.0,2490,384,24,0.1,0.0,0
573,AMZN,3,B1,-1,,0,0,0,1.0,0.0,0
573,AMZN,3,B2,-1,,0,0,0,1.0,0.0,0
573,AMZN,4,A1,0,5000.0,0,552,3,1.0,0.0,0
573,AMZN,4,A2,0,5000.0,2452,370,23,1.0,0.0,0
573,AMZN,4,A3,0,5000.0,2507,399,24,0.1,0.0,0
573,AMZN,4,A3,1,5000.0,2439,384,23,0.1,0.0,0
573,AMZN,4,A3,2,5000.0,2482,376,26,0.1,0.0,0
573,AMZN,4,B2,-1,500.0,0,0,0,1.0,1.0,768
573,AMZN,4,B1,-1,,0,0,0,1.0,0.0,0
573,AMZN,5,A1,0,5000.0,0,663,3,0.1,0.0,0
573,AMZN,5,A2,0,5000.0,2420,413,24,1.0,0.0,0
573,AMZN,5,A3,0,5000.0,2452,504,21,1.0,0.0,0
573,AMZN,5,A3,1,5000.0,2435,355,27,1.0,0.0,0
573,AMZN,5,A3,2,5000.0,2495,384,26,1.0,0.0,0
573,AMZN,5,B1,-1,500.0,0,0,0,1.0,1.0,16
573,AMZN,5,B2,-1,500.0,0,0,0,0.1,1.0,768
573,AMZN,6,A1,0,5000.0,0,630,2,1.0,0.0,0
573,AMZN,6,A2,0,5000.0,2439,399,24,1.0,0.0,0
573,AMZN,6,A3,0,5000.0,2445,402,24,1.0,0.0,0
573,AMZN,6,A3,1,5000.0,2481,392,25,1.0,0.0,0
573,AMZN,6,A3,2,5000.0,2452,344,25,1.0,0.0,0
573,AMZN,6,B2,-1,500.0,0,0,0,1.0,1.0,768
573,AMZN,6,B1,-1,,0,0,0,1.0,0.0,0
573,AMZN,7,A1,0,5000.0,0,550,2,1.0,0.0,0
573,AMZN,7,A2,0,5000.0,2453,394,24,1.0,0.0,0
573,AMZN,7,A3,0,5000.0,2467,419,23,1.0,0.0,0
573,AMZN,7,A3,1,5000.0,2489,369,22,1.0,0.0,0
573,AMZN,7,A3,2,5000.0,2487,394,19,1.0,0.0,0
573,AMZN,7,B1,-1,500.0,0,0,0,0.1,1.0,16
573,AMZN,7,B2,-1,500.0,0,0,0,0.1,1.0,768
573,AMZN,8,A1,0,5000.0,0,548,2,1.0,0.0,0
573,AMZN,8,A2,0,5000.0,2457,385,24,0.1,0.0,0
573,AMZN,8,A3,0,5000.0,2453,426,25,1.0,0.0,0
573,AMZN,8,A3,1,5000.0,2473,380,23,1.0,0.0,0
573,AMZN,8,A3,2,5000.0,2548,355,23,1.0,0.0,0
573,AMZN,8,B1,-1,500.0,0,0,0,1.0,0.1,16
573,AMZN,8,B2,-1,500.0,0,0,0,1.0,0.1,768
573,AMZN,9,A1,0,5000.0,0,625,3,1.0,0.0,0
573,AMZN,9,A2,0,5000.0,2442,402,24,1.0,0.0,0
573,AMZN,9,A3,0,5000.0,2459,374,24,1.0,0.0,0
573,AMZN,9,A3,1,5000.0,2444,446,23,1.0,0.0,0
573,AMZN,9,A3,2,5000.0,2471,376,26,1.0,0.0,0
573,AMZN,9,B1,-1,500.0,0,0,0,1.0,1.0,16
