symbol,seed,method,n,BA,Brier,MCC,accuracy,predicted_up,constant,log_loss,TPR,TNR
AAPL,573,PAPER,803,0.6673569465267366,0.2309296378962702,0.3373992397252048,0.6724782067247821,0.5753424657534246,False,0.7381507389582882,0.728735632183908,0.6059782608695652
AAPL,573,PRICE,803,0.5504091704147926,0.2478817037373582,0.10458042496729086,0.5616438356164384,0.638854296388543,False,0.6905573684980307,0.6850574712643678,0.4157608695652174
AAPL,573,FULL,803,0.684495252373813,0.21863635061314832,0.3725424956922409,0.6899128268991283,0.5803237858032378,False,0.6818298332917395,0.7494252873563219,0.6195652173913043
AAPL,573,TFIDF_LR,803,0.6611819090454774,0.22002030050347993,0.3399925041046849,0.6737235367372354,0.663760896637609,False,0.6318997967079112,0.8114942528735632,0.5108695652173914
AAPL,573,TFIDF_SVM,803,0.710098075962019,0.20429517264993768,0.42553282679700855,0.7160647571606475,0.589041095890411,False,0.5986770672569919,0.7816091954022989,0.6385869565217391
AAPL,573,TFIDF_RF,803,0.5961706646676661,0.23324792415380813,0.22159884740846514,0.6164383561643836,0.75093399750934,False,0.6591776704545547,0.8390804597701149,0.3532608695652174
AAPL,573,TFIDF_LR_PRICE_FALLBACK,803,0.6613911794102949,0.21995647881892338,0.33981818523378504,0.6737235367372354,0.6612702366127023,False,0.6317690151923622,0.8091954022988506,0.5135869565217391
AAPL,573,TFIDF_SVM_PRICE_FALLBACK,803,0.7103073463268366,0.20402642750856334,0.4255724264388147,0.7160647571606475,0.5865504358655044,False,0.5981108708287157,0.7793103448275862,0.6413043478260869
AAPL,573,TFIDF_RF_PRICE_FALLBACK,803,0.5963799350324838,0.2331951477670632,0.22134628736690098,0.6164383561643836,0.7484433374844334,False,0.6590705601285944,0.8367816091954023,0.35597826086956524
AAPL,573,A1,803,0.6267959770114943,0.22804213449648283,0.2756940090842282,0.6425902864259029,0.6998754669987547,False,0.648289474893914,0.8160919540229885,0.4375
AAPL,573,A2,803,0.6000406046976512,0.23293137429456348,0.22198297290400754,0.6176836861768369,0.7198007471980075,False,0.658258510367781,0.8114942528735632,0.38858695652173914
AAPL,573,A3,803,0.6520927036481758,0.22107102629105232,0.3153010656817253,0.6625155666251556,0.6376089663760897,False,0.6335333877528712,0.7770114942528735,0.5271739130434783
AAPL,573,B1,803,0.6899300349825088,0.21757894043912515,0.3829076159312117,0.6948941469489415,0.5753424657534246,False,0.669166438560025,0.7494252873563219,0.6304347826086957
AAPL,573,B2,803,0.6614005497251374,0.22646568649166798,0.32502590709188595,0.6662515566625156,0.5716064757160647,False,0.6997017410853569,0.7195402298850575,0.6032608695652174
AAPL,573,FULL_SHRINK,803,0.684495252373813,0.21005584110255063,0.3725424956922409,0.6899128268991283,0.5803237858032378,False,0.6108016981908421,0.7494252873563219,0.6195652173913043
AAPL,573,TITLE_FINBERT_FUSION,803,0.6859570214892554,0.2144601156251277,0.3771670649435296,0.6924034869240349,0.5927770859277709,False,0.6561803200513248,0.7632183908045977,0.6086956521739131
AAPL,573,TITLE_MODERN_FUSION,803,0.684495252373813,0.21448499061409174,0.3725424956922409,0.6899128268991283,0.5803237858032378,False,0.6542484630252593,0.7494252873563219,0.6195652173913043
AAPL,573,PARAGRAPH_FINBERT_FUSION,803,0.6749843828085957,0.2160093028603217,0.3544135219750065,0.6811955168119551,0.589041095890411,False,0.655338429370671,0.7494252873563219,0.6005434782608695
AAPL,573,PARAGRAPH_MODERN_FUSION,803,0.6838674412793604,0.21269123247084587,0.372235997443037,0.6899128268991283,0.5877957658779577,False,0.6386182898182275,0.7563218390804598,0.6114130434782609
AAPL,574,PAPER,803,0.6660013743128436,0.22619413103197022,0.3322976462568404,0.6687422166874222,0.5466998754669987,False,0.6993795957086643,0.6988505747126437,0.6331521739130435
