source,record,variant,symbol,period,method,slope,intercept,train_n,monotone_non_decreasing
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,69,P2,AMZN,frozen,platt,-0.07233964118936573,0.24316962340488965,499,False
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,84,P3,AAPL,2018-03,platt,0.16500953083763445,0.1324853335418949,116,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,85,P3,AAPL,2018-04,platt,0.113789957535828,0.10017334176083785,178,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,86,P3,AAPL,2018-05,platt,0.17088479546203855,0.03274993864202405,241,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,87,P3,AAPL,2018-06,platt,0.14349296873412642,0.05717772604756495,307,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,88,P3,AAPL,2018-07,platt,0.07172826254185727,0.11576796804285658,370,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,89,P3,AAPL,2018-08,platt,0.08146198908336529,0.16261948379697244,430,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,90,P3,AAPL,frozen,platt,0.09459391321431822,0.24668687192948174,499,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,91,P3,AMZN,2018-03,platt,-0.13768542611796475,0.5014933913417853,117,False
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,92,P3,AMZN,2018-04,platt,-0.18863106224367818,0.2992861717526846,179,False
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,93,P3,AMZN,2018-05,platt,-0.08338468813081872,0.12319372256894945,242,False
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,94,P3,AMZN,2018-06,platt,-0.1260218440925304,0.2216758980499372,307,False
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,95,P3,AMZN,2018-07,platt,-0.09124035414466501,0.2698485633247102,370,False
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,96,P3,AMZN,2018-08,platt,-0.08322655513685974,0.2375210499228481,430,False
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,97,P3,AMZN,frozen,platt,-0.08127809492330541,0.25020433247047535,499,False
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,119,P0,AMZN,2018-03,platt,-0.0037415005394292582,0.5017593334338275,,False
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,120,P0,AMZN,2018-04,platt,0.10198017549239564,0.352089597072455,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,121,P0,AMZN,2018-05,platt,0.21672538388040616,0.19698756321093847,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,122,P0,AMZN,2018-06,platt,0.2254870303219874,0.2837859217560783,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,123,P0,AMZN,2018-07,platt,0.30206861957759146,0.303861251487374,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,124,P0,AMZN,2018-08,platt,0.3021608591518826,0.3217637752432024,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,125,P0,AMZN,frozen,platt,0.3170546829543621,0.38628637560858636,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,133,P1,AMZN,2018-03,platt,-0.0037415005394292582,0.5017593334338275,,False
