symbol,month,method,C,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
AAPL,2018-03,PRICE_R1,0.01,62,0.471875,0.46774193548387094,-0.058191817512585564,0.26874469323891487,0.4625,0.34375,0.6,0.3709677419354839,False
AAPL,2018-03,PRICE_R1,0.1,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3125,0.5333333333333333,0.3870967741935484,False
AAPL,2018-03,PRICE_R1,1.0,62,0.421875,0.41935483870967744,-0.1582405261068229,0.32905712222021355,0.47812499999999997,0.34375,0.5,0.41935483870967744,False
AAPL,2018-03,TFIDF_SVM,0.01,62,0.5166666666666667,0.532258064516129,0.13223592098145726,0.2481705261365442,0.6088541666666666,1.0,0.03333333333333333,0.9838709677419355,False
AAPL,2018-03,TFIDF_SVM,0.1,62,0.5166666666666667,0.532258064516129,0.13223592098145726,0.24989005930974204,0.5432291666666667,1.0,0.03333333333333333,0.9838709677419355,False
AAPL,2018-03,TFIDF_SVM,1.0,62,0.5,0.5161290322580645,0.0,0.24891563060663174,0.5578125,1.0,0.0,1.0,True
AAPL,2018-03,FINMODERN_LR,0.01,62,0.46458333333333335,0.46774193548387094,-0.07216098119626152,0.2666355996794168,0.403125,0.5625,0.36666666666666664,0.5967741935483871,False
AAPL,2018-03,FINMODERN_LR,0.1,62,0.4822916666666667,0.4838709677419355,-0.03556516487211823,0.33020289120332236,0.3802083333333333,0.53125,0.43333333333333335,0.5483870967741935,False
AAPL,2018-03,FINMODERN_LR,1.0,62,0.46770833333333334,0.46774193548387094,-0.06454972243679027,0.42055893452335824,0.3614583333333333,0.46875,0.4666666666666667,0.5,False
AAPL,2018-04,PRICE_R1,0.01,63,0.5564516129032258,0.5555555555555556,0.11359236684941297,0.2427480052414925,0.592741935483871,0.6129032258064516,0.5,0.5555555555555556,False
AAPL,2018-04,PRICE_R1,0.1,63,0.5090725806451613,0.5079365079365079,0.01833088937766916,0.2550999862452743,0.5766129032258065,0.5806451612903226,0.4375,0.5714285714285714,False
AAPL,2018-04,PRICE_R1,1.0,63,0.46169354838709675,0.4603174603174603,-0.07779832024680092,0.2983687779228576,0.5262096774193549,0.5483870967741935,0.375,0.5873015873015873,False
AAPL,2018-04,TFIDF_SVM,0.01,63,0.47681451612903225,0.47619047619047616,-0.0465118418925368,0.25727620716929567,0.4778225806451613,0.5161290322580645,0.4375,0.5396825396825397,False
AAPL,2018-04,TFIDF_SVM,0.1,63,0.4949596774193548,0.49206349206349204,-0.010826670965770146,0.2525446583111421,0.4959677419354839,0.6774193548387096,0.3125,0.6825396825396826,False
AAPL,2018-04,TFIDF_SVM,1.0,63,0.5619959677419355,0.5555555555555556,0.21117194612902185,0.24736628464220833,0.622983870967742,0.967741935483871,0.15625,0.9047619047619048,False
AAPL,2018-04,FINMODERN_LR,0.01,63,0.4954637096774194,0.49206349206349204,-0.010040241611281236,0.2594964483079445,0.45564516129032256,0.7096774193548387,0.28125,0.7142857142857143,False
AAPL,2018-04,FINMODERN_LR,0.1,63,0.4632056451612903,0.4603174603174603,-0.07903469805012206,0.3068244691421157,0.4324596774193548,0.6451612903225806,0.28125,0.6825396825396826,False
AAPL,2018-04,FINMODERN_LR,1.0,63,0.4470766129032258,0.4444444444444444,-0.11225331376673431,0.359760348496143,0.4042338709677419,0.6129032258064516,0.28125,0.6666666666666666,False
AAPL,2018-05,PRICE_R1,0.01,66,0.5671015843429636,0.5606060606060606,0.13376754398878044,0.24930082061036912,0.5582479030754892,0.5135135135135135,0.6206896551724138,0.45454545454545453,False
