phase,symbol,method,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,PRICE_R1,126,0.5621196754563895,0.5396825396825397,0.14894830773554277,0.24411096100759513,0.6435091277890466,0.8448275862068966,0.27941176470588236,0.7777777777777778,False
development,AAPL,FULL_LR,126,0.5793610547667343,0.5555555555555556,0.19548759607310848,0.249974757894649,0.5755578093306288,0.8793103448275862,0.27941176470588236,0.7936507936507936,False
development,AAPL,TFIDF_SVM,126,0.4827586206896552,0.4444444444444444,-0.1375132716822827,0.27540960872516657,0.4181034482758621,0.9655172413793104,0.0,0.9841269841269841,False
development,AAPL,FINBERT_LR,126,0.5413286004056794,0.5158730158730159,0.10665141370746663,0.2802954750833431,0.6196754563894524,0.8620689655172413,0.22058823529411764,0.8174603174603174,False
development,AAPL,FINMODERN_LR,126,0.4538539553752535,0.4365079365079365,-0.10270183709554172,0.28068156679930933,0.5157200811359027,0.6724137931034483,0.23529411764705882,0.7222222222222222,False
development,AAPL,EVENT_META,126,0.5180020283975659,0.49206349206349204,0.047270683418866276,0.293689584571096,0.5922920892494928,0.8448275862068966,0.19117647058823528,0.8253968253968254,False
development,AMZN,PRICE_R1,126,0.5111317254174397,0.48412698412698413,0.02234950781338371,0.2718877788099645,0.5552610654651471,0.6326530612244898,0.38961038961038963,0.6190476190476191,False
development,AMZN,FULL_LR,126,0.5565862708719851,0.5714285714285714,0.11175966918302659,0.24813226696952742,0.5804399681950703,0.4897959183673469,0.6233766233766234,0.42063492063492064,False
development,AMZN,TFIDF_SVM,126,0.47031539888682744,0.42063492063492064,-0.06520355030771403,0.2654208027134596,0.48303737079247283,0.6938775510204082,0.24675324675324675,0.7301587301587301,False
development,AMZN,FINBERT_LR,126,0.46289424860853434,0.4523809523809524,-0.0728067416339465,0.29765239539445904,0.5030479724357275,0.5102040816326531,0.4155844155844156,0.5555555555555556,False
development,AMZN,FINMODERN_LR,126,0.564935064935065,0.5317460317460317,0.13150091299522249,0.24694365930962903,0.6156904320169627,0.7142857142857143,0.4155844155844156,0.6349206349206349,False
development,AMZN,EVENT_META,126,0.5046382189239331,0.5079365079365079,0.009049051209213435,0.2623377479305073,0.53829843625762,0.4897959183673469,0.5194805194805194,0.48412698412698413,False
later,AAPL,PRICE_R1,178,0.5386510041682455,0.5337078651685393,0.08597676748504192,0.25577476582147957,0.5301250473664266,0.7586206896551724,0.31868131868131866,0.7191011235955056,False
later,AAPL,FULL_LR,178,0.5174308450170519,0.5112359550561798,0.041750263492643866,0.2587278548675218,0.5385878489326765,0.7931034482758621,0.24175824175824176,0.7752808988764045,False
later,AAPL,TFIDF_SVM,178,0.5,0.4887640449438202,0.0,0.2688476975415471,0.47517999242137166,1.0,0.0,1.0,True
later,AAPL,FINBERT_LR,178,0.5671340154098775,0.5617977528089888,0.15225387872362858,0.2855781078563171,0.5495768599216875,0.8045977011494253,0.32967032967032966,0.7359550561797753,False
later,AAPL,FINMODERN_LR,178,0.5451559934318555,0.5393258426966292,0.10546894633210954,0.2611943019499009,0.5764809902740938,0.8045977011494253,0.2857142857142857,0.7584269662921348,False
later,AAPL,EVENT_META,178,0.5616395099153719,0.5561797752808989,0.14076789415735066,0.2940225986473647,0.541871921182266,0.8045977011494253,0.31868131868131866,0.7415730337078652,False
later,AMZN,PRICE_R1,179,0.5085106382978724,0.5139664804469274,0.017418199070209483,0.27222912692367146,0.5200250312891115,0.6170212765957447,0.4,0.6089385474860335,False
later,AMZN,FULL_LR,179,0.5435544430538173,0.5418994413407822,0.08716344852207177,0.25830623677748765,0.5408010012515645,0.5106382978723404,0.5764705882352941,0.4692737430167598,False
later,AMZN,TFIDF_SVM,179,0.5283479349186483,0.5418994413407822,0.06737415646523374,0.245289011149623,0.5509386733416771,0.7978723404255319,0.25882352941176473,0.770949720670391,False
later,AMZN,FINBERT_LR,179,0.5426783479349186,0.547486033519553,0.08692663097278021,0.2616905748058095,0.5685857321652065,0.6382978723404256,0.4470588235294118,0.5977653631284916,False
later,AMZN,FINMODERN_LR,179,0.5311639549436795,0.5418994413407822,0.06895501864394216,0.24918878485761375,0.5292866082603254,0.7446808510638298,0.3176470588235294,0.7150837988826816,False
later,AMZN,EVENT_META,179,0.5732165206508135,0.5754189944134078,0.1469118828605659,0.2483161021159368,0.5690863579474343,0.6170212765957447,0.5294117647058824,0.547486033519553,False
train_forward_oof,AAPL,PRICE_R1,383,0.5268023223042669,0.5195822454308094,0.052859072097666916,0.25766056155301725,0.5412039907558762,0.48672566371681414,0.5668789808917197,0.46475195822454307,False
train_forward_oof,AAPL,FULL_LR,383,0.503029705202638,0.5248041775456919,0.006144151764253761,0.2592606648817109,0.5141198354095035,0.6238938053097345,0.3821656050955414,0.6214099216710183,False
train_forward_oof,AAPL,TFIDF_SVM,383,0.5409362493658757,0.6005221932114883,0.10931851662626041,0.24152222851228225,0.5650047911617158,0.8716814159292036,0.21019108280254778,0.8381201044386423,False
train_forward_oof,AAPL,FINBERT_LR,383,0.5001831914773689,0.5065274151436031,0.0003612870332648107,0.26018906778411555,0.5182064145200383,0.5353982300884956,0.46496815286624205,0.5352480417754569,False
train_forward_oof,AAPL,FINMODERN_LR,383,0.46347443774308095,0.4804177545691906,-0.0729812250175316,0.282772162418972,0.4442816075756722,0.5575221238938053,0.36942675159235666,0.587467362924282,False
train_forward_oof,AAPL,EVENT_META,383,0.4928414407305112,0.5013054830287206,-0.014142034725421035,0.26618603929695966,0.4967307367115721,0.5398230088495575,0.445859872611465,0.5456919060052219,False
train_forward_oof,AMZN,PRICE_R1,382,0.5217959655447615,0.5314136125654451,0.04574289772518907,0.25617620131172997,0.5157828109089909,0.6748768472906403,0.3687150837988827,0.6544502617801047,False
train_forward_oof,AMZN,FULL_LR,382,0.5326939483171423,0.5314136125654451,0.06530258832057416,0.26055740634768043,0.5216996449899551,0.5123152709359606,0.553072625698324,0.4816753926701571,False
train_forward_oof,AMZN,TFIDF_SVM,382,0.4978534276357432,0.5,-0.004294622341303223,0.25213375338478233,0.5239150177505023,0.5320197044334976,0.46368715083798884,0.5340314136125655,False
train_forward_oof,AMZN,FINBERT_LR,382,0.4813963728431076,0.4895287958115183,-0.038419557993187976,0.2748535385545033,0.4638522717890855,0.6108374384236454,0.35195530726256985,0.6282722513089005,False
train_forward_oof,AMZN,FINMODERN_LR,382,0.48632248121749183,0.49476439790575916,-0.02832958085995791,0.26938231520961126,0.4407628587940667,0.6206896551724138,0.35195530726256985,0.6335078534031413,False
train_forward_oof,AMZN,EVENT_META,382,0.4840383080606544,0.4895287958115183,-0.03234676863104415,0.27201811486972627,0.47631890359688467,0.5714285714285714,0.39664804469273746,0.5863874345549738,False
