symbol,month,method,C,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
AAPL,2018-03,A0,0.01,62,0.471875,-0.058191817512585564,0.26874469323891487,0.4625,0.34375,0.6,0.3709677419354839,False
AAPL,2018-03,A0,0.1,62,0.42291666666666666,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3125,0.5333333333333333,0.3870967741935484,False
AAPL,2018-03,A0,1.0,62,0.421875,-0.1582405261068229,0.32905712222021355,0.47812499999999997,0.34375,0.5,0.41935483870967744,False
AAPL,2018-04,A0,0.01,63,0.5564516129032258,0.11359236684941297,0.2427480052414925,0.592741935483871,0.6129032258064516,0.5,0.5555555555555556,False
AAPL,2018-04,A0,0.1,63,0.5090725806451613,0.01833088937766916,0.2550999862452743,0.5766129032258065,0.5806451612903226,0.4375,0.5714285714285714,False
AAPL,2018-04,A0,1.0,63,0.46169354838709675,-0.07779832024680092,0.2983687779228576,0.5262096774193549,0.5483870967741935,0.375,0.5873015873015873,False
AAPL,2018-05,A0,0.01,66,0.5671015843429636,0.13376754398878044,0.24930082061036912,0.5582479030754892,0.5135135135135135,0.6206896551724138,0.45454545454545453,False
AAPL,2018-05,A0,0.1,66,0.5671015843429636,0.13376754398878044,0.265525187100567,0.5228331780055918,0.5135135135135135,0.6206896551724138,0.45454545454545453,False
AAPL,2018-05,A0,1.0,66,0.5535880708294502,0.10717614165890028,0.28220642845277827,0.5041938490214353,0.4864864864864865,0.6206896551724138,0.4393939393939394,False
AAPL,2018-06,A0,0.01,63,0.4907407407407407,-0.018731716231633878,0.2663216143320161,0.4403292181069959,0.3888888888888889,0.5925925925925926,0.3968253968253968,False
AAPL,2018-06,A0,0.1,63,0.4537037037037037,-0.09259259259259259,0.27822867749208713,0.4526748971193416,0.3888888888888889,0.5185185185185185,0.42857142857142855,False
AAPL,2018-06,A0,1.0,63,0.44907407407407407,-0.10112618056102679,0.2836019065934284,0.4516460905349794,0.4166666666666667,0.48148148148148145,0.4603174603174603,False
AAPL,2018-07,A0,0.01,60,0.586080586080586,0.17216117216117216,0.24446613983237067,0.645909645909646,0.41025641025641024,0.7619047619047619,0.35,False
AAPL,2018-07,A0,0.1,60,0.641025641025641,0.26920937709142984,0.2402622751771922,0.6263736263736264,0.6153846153846154,0.6666666666666666,0.5166666666666667,False
