symbol,month,phase,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant,changed_direction_count,repaired_A0_errors,introduced_errors
AAPL,2018-03,train_forward_oof,A0,62,0.42291666666666666,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3125,0.5333333333333333,0.3870967741935484,False,0,0,0
AAPL,2018-03,train_forward_oof,A1,62,0.43854166666666666,-0.12522052619351262,0.314204666094857,0.42708333333333337,0.34375,0.5333333333333333,0.4032258064516129,False,1,1,0
AAPL,2018-03,train_forward_oof,A1_matchedC,62,0.43854166666666666,-0.12522052619351262,0.314204666094857,0.42708333333333337,0.34375,0.5333333333333333,0.4032258064516129,False,1,1,0
AAPL,2018-04,train_forward_oof,A0,63,0.5564516129032258,0.11359236684941297,0.2427480052414925,0.592741935483871,0.6129032258064516,0.5,0.5555555555555556,False,0,0,0
AAPL,2018-04,train_forward_oof,A1,63,0.5564516129032258,0.11359236684941297,0.24268947876851102,0.595766129032258,0.6129032258064516,0.5,0.5555555555555556,False,0,0,0
AAPL,2018-04,train_forward_oof,A1_matchedC,63,0.5564516129032258,0.11359236684941297,0.24268947876851102,0.595766129032258,0.6129032258064516,0.5,0.5555555555555556,False,0,0,0
AAPL,2018-05,train_forward_oof,A0,66,0.5671015843429636,0.13376754398878044,0.24930082061036912,0.5582479030754892,0.5135135135135135,0.6206896551724138,0.45454545454545453,False,0,0,0
AAPL,2018-05,train_forward_oof,A1,66,0.597856477166822,0.1950776683169715,0.2509974526539205,0.5563839701770736,0.5405405405405406,0.6551724137931034,0.45454545454545453,False,2,2,0
AAPL,2018-05,train_forward_oof,A1_matchedC,66,0.597856477166822,0.1950776683169715,0.2509974526539205,0.5563839701770736,0.5405405405405406,0.6551724137931034,0.45454545454545453,False,2,2,0
AAPL,2018-06,train_forward_oof,A0,63,0.4907407407407407,-0.018731716231633878,0.2663216143320161,0.4403292181069959,0.3888888888888889,0.5925925925925926,0.3968253968253968,False,0,0,0
AAPL,2018-06,train_forward_oof,A1,63,0.47685185185185186,-0.047178209756024825,0.26547675287088573,0.43724279835390945,0.3611111111111111,0.5925925925925926,0.38095238095238093,False,1,0,1
AAPL,2018-06,train_forward_oof,A1_matchedC,63,0.47685185185185186,-0.047178209756024825,0.26547675287088573,0.43724279835390945,0.3611111111111111,0.5925925925925926,0.38095238095238093,False,1,0,1
AAPL,2018-07,train_forward_oof,A0,60,0.586080586080586,0.17216117216117216,0.24446613983237067,0.645909645909646,0.41025641025641024,0.7619047619047619,0.35,False,0,0,0
AAPL,2018-07,train_forward_oof,A1,60,0.5989010989010989,0.1957807216292501,0.2451993917471168,0.6288156288156288,0.4358974358974359,0.7619047619047619,0.36666666666666664,False,1,1,0
AAPL,2018-07,train_forward_oof,A1_matchedC,60,0.5989010989010989,0.1957807216292501,0.2451993917471168,0.6288156288156288,0.4358974358974359,0.7619047619047619,0.36666666666666664,False,1,1,0
AAPL,2018-08,train_forward_oof,A0,69,0.5081699346405228,0.014806384278366074,0.2338478164075101,0.5773420479302832,0.6274509803921569,0.3888888888888889,0.6231884057971014,False,0,0,0
AAPL,2018-08,train_forward_oof,A1,69,0.5163398692810457,0.029071732876935347,0.2368708672229211,0.5664488017429194,0.5882352941176471,0.4444444444444444,0.5797101449275363,False,3,1,2
AAPL,2018-08,train_forward_oof,A1_matchedC,69,0.5163398692810457,0.029071732876935347,0.2368708672229211,0.5664488017429194,0.5882352941176471,0.4444444444444444,0.5797101449275363,False,3,1,2
AAPL,2018-09,development,A0,57,0.6188423645320198,0.2831921951995806,0.23687878867299852,0.6748768472906405,0.8928571428571429,0.3448275862068966,0.7719298245614035,False,0,0,0
AAPL,2018-09,development,A1,57,0.6360837438423645,0.3160938261667561,0.23638069680693227,0.6773399014778325,0.8928571428571429,0.3793103448275862,0.7543859649122807,False,1,1,0
AAPL,2018-09,development,A1_matchedC,57,0.6360837438423645,0.3160938261667561,0.23638069680693227,0.6773399014778325,0.8928571428571429,0.3793103448275862,0.7543859649122807,False,1,1,0
AAPL,2018-10,development,A0,69,0.5153846153846154,0.03698001308168194,0.25008536424052286,0.6205128205128204,0.8,0.23076923076923078,0.782608695652174,False,0,0,0
AAPL,2018-10,development,A1,69,0.5153846153846154,0.03698001308168194,0.24988545369411477,0.6205128205128204,0.8,0.23076923076923078,0.782608695652174,False,0,0,0
AAPL,2018-10,development,A1_matchedC,69,0.5153846153846154,0.03698001308168194,0.24988545369411477,0.6205128205128204,0.8,0.23076923076923078,0.782608695652174,False,0,0,0
AAPL,2018-11,later,A0,60,0.5261401557285873,0.05797747850973157,0.25403661854843856,0.5305895439377085,0.7419354838709677,0.3103448275862069,0.7166666666666667,False,0,0,0
AAPL,2018-11,later,A1,60,0.5433815350389322,0.09461366352432367,0.2539181694939699,0.5228031145717463,0.7419354838709677,0.3448275862068966,0.7,False,1,1,0
AAPL,2018-11,later,A1_matchedC,60,0.5433815350389322,0.09461366352432367,0.2539181694939699,0.5228031145717463,0.7419354838709677,0.3448275862068966,0.7,False,1,1,0
AAPL,2018-12,later,A0,53,0.6385448916408669,0.2949846002743204,0.25395936945559855,0.6114551083591332,0.8947368421052632,0.38235294117647056,0.7169811320754716,False,0,0,0
AAPL,2018-12,later,A1,53,0.6385448916408669,0.2949846002743204,0.25296703155267714,0.6176470588235293,0.8947368421052632,0.38235294117647056,0.7169811320754716,False,0,0,0
AAPL,2018-12,later,A1_matchedC,53,0.6385448916408669,0.2949846002743204,0.25296703155267714,0.6176470588235293,0.8947368421052632,0.38235294117647056,0.7169811320754716,False,0,0,0
AAPL,2019-01,later,A0,63,0.485966735966736,-0.030586777135731963,0.25486671639997927,0.46569646569646567,0.7027027027027027,0.2692307692307692,0.7142857142857143,False,0,0,0
AAPL,2019-01,later,A1,63,0.485966735966736,-0.030586777135731963,0.2552652451419299,0.46257796257796263,0.7027027027027027,0.2692307692307692,0.7142857142857143,False,0,0,0
AAPL,2019-01,later,A1_matchedC,63,0.485966735966736,-0.030586777135731963,0.2552652451419299,0.46257796257796263,0.7027027027027027,0.2692307692307692,0.7142857142857143,False,0,0,0
AAPL,2019-02,later,A0,2,0.0,0.0,0.3846307444858184,,,0.0,1.0,True,0,0,0
AAPL,2019-02,later,A1,2,0.0,0.0,0.3843061514884043,,,0.0,1.0,True,0,0,0
AAPL,2019-02,later,A1_matchedC,2,0.0,0.0,0.3843061514884043,,,0.0,1.0,True,0,0,0
AMZN,2018-03,train_forward_oof,A0,62,0.419047619047619,-0.18744806778279025,0.311749771518395,0.37142857142857144,0.6666666666666666,0.17142857142857143,0.7580645161290323,False,0,0,0
AMZN,2018-03,train_forward_oof,A1,62,0.3878306878306878,-0.2324762655524517,0.3026290690194918,0.3671957671957672,0.5185185185185185,0.2571428571428571,0.6451612903225806,False,9,4,5
AMZN,2018-03,train_forward_oof,A1_matchedC,62,0.3878306878306878,-0.2324762655524517,0.3026290690194918,0.3671957671957672,0.5185185185185185,0.2571428571428571,0.6451612903225806,False,9,4,5
AMZN,2018-04,train_forward_oof,A0,63,0.425,-0.15348515337873012,0.2608866613632526,0.4653061224489796,0.5357142857142857,0.3142857142857143,0.6190476190476191,False,0,0,0
AMZN,2018-04,train_forward_oof,A1,63,0.49642857142857144,-0.007121091148698563,0.2599540987376133,0.49387755102040815,0.5357142857142857,0.45714285714285713,0.5396825396825397,False,5,5,0
AMZN,2018-04,train_forward_oof,A1_matchedC,63,0.49642857142857144,-0.007121091148698563,0.2599540987376133,0.49387755102040815,0.5357142857142857,0.45714285714285713,0.5396825396825397,False,5,5,0
AMZN,2018-05,train_forward_oof,A0,65,0.49610136452241715,-0.007693004760192652,0.25749776964600923,0.4415204678362573,0.47368421052631576,0.5185185185185185,0.47692307692307695,False,0,0,0
AMZN,2018-05,train_forward_oof,A1,65,0.4439571150097466,-0.13109723387754746,0.25512429245712986,0.4785575048732943,0.18421052631578946,0.7037037037037037,0.23076923076923078,False,20,7,13
AMZN,2018-05,train_forward_oof,A1_matchedC,65,0.43567251461988304,-0.13137196671500342,0.2739854904050079,0.3976608187134503,0.3157894736842105,0.5555555555555556,0.36923076923076925,False,13,4,9
AMZN,2018-06,train_forward_oof,A0,63,0.6048913043478261,0.22006970263318495,0.23611675461342904,0.6065217391304348,0.775,0.43478260869565216,0.6984126984126984,False,0,0,0
AMZN,2018-06,train_forward_oof,A1,63,0.5266304347826087,0.051604684654214,0.24843187404035094,0.532608695652174,0.575,0.4782608695652174,0.5555555555555556,False,15,4,11
AMZN,2018-06,train_forward_oof,A1_matchedC,63,0.6358695652173914,0.27443710301809837,0.23878785327323268,0.6010869565217392,0.75,0.5217391304347826,0.6507936507936508,False,9,5,4
AMZN,2018-07,train_forward_oof,A0,60,0.5833333333333334,0.19245008972987526,0.24284511675294512,0.6111111111111112,0.8333333333333334,0.3333333333333333,0.75,False,0,0,0
AMZN,2018-07,train_forward_oof,A1,60,0.55,0.11547005383792515,0.24334596864308303,0.5866666666666667,0.8,0.3,0.75,False,2,0,2
AMZN,2018-07,train_forward_oof,A1_matchedC,60,0.55,0.11547005383792515,0.24334596864308303,0.5866666666666667,0.8,0.3,0.75,False,2,0,2
