stock,horizon,method,month,params,train_n,train_end,evaluation_cutoff,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AAPL,4h,PAPER_1G_L1LR,2018-08,"{""C"": 0.1}",430,2018-07-31 19:30:00+00:00,2018-08-01 13:25:00+00:00,69,0.4927536231884058,0.4411764705882353,-0.10465823835696725,0.7,0.5490196078431373,0.6153846153846154,0.5490196078431373,0.3333333333333333,0.5797101449275363,0.7391304347826086,False,0.4831154684095861,0.24516536808467418
AAPL,4h,PAPER_1G_L1LR,2018-08,"{""C"": 1.0}",430,2018-07-31 19:30:00+00:00,2018-08-01 13:25:00+00:00,69,0.5507246376811594,0.39052287581699346,-0.2330945972372501,0.6851851851851852,0.7254901960784313,0.7047619047619048,0.7254901960784313,0.05555555555555555,0.782608695652174,0.7391304347826086,False,0.32244008714596956,0.3009833787022725
AAPL,4h,PAPER_1G_L1LR,2018-09,"{""C"": 0.01}",499,2018-08-31 19:30:00+00:00,2018-09-04 13:25:00+00:00,57,0.49122807017543857,0.5,0.0,0.49122807017543857,1.0,0.6588235294117647,1.0,0.0,1.0,0.49122807017543857,True,0.5178571428571429,0.24869166663672243
AAPL,4h,PAPER_1G_L1LR,2018-09,"{""C"": 0.1}",499,2018-08-31 19:30:00+00:00,2018-09-04 13:25:00+00:00,57,0.5263157894736842,0.5314039408866995,0.07701853998110467,0.5111111111111111,0.8214285714285714,0.6301369863013698,0.8214285714285714,0.2413793103448276,0.7894736842105263,0.49122807017543857,False,0.49630541871921185,0.2583971881853244
AAPL,4h,PAPER_1G_L1LR,2018-09,"{""C"": 1.0}",499,2018-08-31 19:30:00+00:00,2018-09-04 13:25:00+00:00,57,0.543859649122807,0.5461822660098522,0.09572433346766025,0.5277777777777778,0.6785714285714286,0.59375,0.6785714285714286,0.41379310344827586,0.631578947368421,0.49122807017543857,False,0.6071428571428571,0.2824951726302778
AAPL,4h,PAPER_1G_L1LR,2018-10,"{""C"": 0.01}",556,2018-09-28 19:30:00+00:00,2018-10-01 13:25:00+00:00,69,0.43478260869565216,0.5,0.0,0.43478260869565216,1.0,0.6060606060606061,1.0,0.0,1.0,0.43478260869565216,True,0.5166666666666667,0.2490323662246306
AAPL,4h,PAPER_1G_L1LR,2018-10,"{""C"": 0.1}",556,2018-09-28 19:30:00+00:00,2018-10-01 13:25:00+00:00,69,0.4492753623188406,0.4935897435897436,-0.01736152974872372,0.43103448275862066,0.8333333333333334,0.5681818181818182,0.8333333333333334,0.15384615384615385,0.8405797101449275,0.43478260869565216,False,0.5598290598290598,0.2645942180359344
AAPL,4h,PAPER_1G_L1LR,2018-10,"{""C"": 1.0}",556,2018-09-28 19:30:00+00:00,2018-10-01 13:25:00+00:00,69,0.5507246376811594,0.5756410256410257,0.1609237210033075,0.48936170212765956,0.7666666666666667,0.5974025974025974,0.7666666666666667,0.38461538461538464,0.6811594202898551,0.43478260869565216,False,0.5277777777777778,0.30521146381365616
AAPL,4h,PAPER_1G_L1LR,2018-11,"{""C"": 0.01}",625,2018-10-31 19:30:00+00:00,2018-11-01 13:25:00+00:00,60,0.5166666666666667,0.5,0.0,0.5166666666666667,1.0,0.6813186813186813,1.0,0.0,1.0,0.5166666666666667,True,0.5,0.25
AAPL,4h,PAPER_1G_L1LR,2018-11,"{""C"": 0.1}",625,2018-10-31 19:30:00+00:00,2018-11-01 13:25:00+00:00,60,0.5666666666666667,0.5639599555061179,0.12966237373119519,0.5714285714285714,0.6451612903225806,0.6060606060606061,0.6451612903225806,0.4827586206896552,0.5833333333333334,0.5166666666666667,False,0.5422691879866518,0.24919981724670778
AAPL,4h,PAPER_1G_L1LR,2018-11,"{""C"": 1.0}",625,2018-10-31 19:30:00+00:00,2018-11-01 13:25:00+00:00,60,0.5,0.49721913236929927,-0.005637494510051965,0.5142857142857142,0.5806451612903226,0.5454545454545454,0.5806451612903226,0.41379310344827586,0.5833333333333334,0.5166666666666667,False,0.6156840934371525,0.28392759579143034
