stock,horizon,method,month,phase,params,issued,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2019-02,later,"{""C"": 1.0}",True,1,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True,,0.07985316041025661
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,oof,"{""C"": 0.1}",True,21,0.42857142857142855,0.5,0.0,0.42857142857142855,1.0,0.6,1.0,0.0,1.0,0.42857142857142855,True,0.5555555555555556,0.24932944606413993
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-04,oof,"{""C"": 1.0}",True,21,0.38095238095238093,0.38636363636363635,-0.2337367475021143,0.375,0.2727272727272727,0.3157894736842105,0.2727272727272727,0.5,0.38095238095238093,0.5238095238095238,False,0.37727272727272726,0.321776884300954
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-05,oof,"{""C"": 1.0}",True,22,0.45454545454545453,0.4666666666666667,-0.06900655593423542,0.5,0.3333333333333333,0.4,0.3333333333333333,0.6,0.36363636363636365,0.5454545454545454,False,0.43749999999999994,0.37591302685834616
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-06,oof,"{""C"": 1.0}",True,21,0.6190476190476191,0.5972222222222222,0.2041241452319315,0.6428571428571429,0.75,0.6923076923076923,0.75,0.4444444444444444,0.6666666666666666,0.5714285714285714,False,0.6157407407407407,0.2627331700475756
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-07,oof,"{""C"": 1.0}",True,21,0.42857142857142855,0.4409090909090909,-0.13858046563114676,0.4375,0.7,0.5384615384615384,0.7,0.18181818181818182,0.7619047619047619,0.47619047619047616,False,0.37272727272727274,0.3729791902477703
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-08,oof,"{""C"": 1.0}",True,23,0.391304347826087,0.3412698412698413,-0.3367175148507369,0.5,0.5714285714285714,0.5333333333333333,0.5714285714285714,0.1111111111111111,0.6956521739130435,0.6086956521739131,False,0.17460317460317465,0.3757257669821275
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-09,development,"{""C"": 0.01}",True,19,0.47368421052631576,0.5,0.0,0.47368421052631576,1.0,0.6428571428571429,1.0,0.0,1.0,0.47368421052631576,True,0.5,0.25
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-10,development,"{""C"": 0.01}",True,23,0.391304347826087,0.5,0.0,0.391304347826087,1.0,0.5625,1.0,0.0,1.0,0.391304347826087,True,0.39285714285714285,0.2525423662799076
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-11,later,"{""C"": 0.01}",True,21,0.5238095238095238,0.5,0.0,0.5238095238095238,1.0,0.6875,1.0,0.0,1.0,0.5238095238095238,True,0.4,0.2504645651266445
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-12,later,"{""C"": 0.01}",True,19,0.3684210526315789,0.5,0.0,0.3684210526315789,1.0,0.5384615384615384,1.0,0.0,1.0,0.3684210526315789,True,0.5297619047619047,0.25000459628762955
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2019-01,later,"{""C"": 0.01}",True,21,0.5714285714285714,0.5545454545454546,0.1556997888323046,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.9090909090909091,0.2,0.8571428571428571,0.5238095238095238,False,0.5545454545454545,0.24980878728647912
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2019-02,later,"{""C"": 0.01}",True,1,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,,0.25
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-03,oof,"{""C"": 0.1}",True,21,0.42857142857142855,0.5,0.0,0.42857142857142855,1.0,0.6,1.0,0.0,1.0,0.42857142857142855,True,0.5,0.25
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-04,oof,"{""C"": 1.0}",True,21,0.6190476190476191,0.6272727272727273,0.26967994498529685,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.45454545454545453,0.8,0.3333333333333333,0.5238095238095238,False,0.6318181818181818,0.24677584275762635
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-05,oof,"{""C"": 1.0}",True,22,0.7272727272727273,0.725,0.45,0.75,0.75,0.75,0.75,0.7,0.5454545454545454,0.5454545454545454,False,0.7416666666666667,0.1961197057741436
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-06,oof,"{""C"": 1.0}",True,21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.587962962962963,0.3050815056297663
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-07,oof,"{""C"": 1.0}",True,21,0.6190476190476191,0.6227272727272727,0.24771684715343112,0.5833333333333334,0.7,0.6363636363636364,0.7,0.5454545454545454,0.5714285714285714,0.47619047619047616,False,0.6318181818181818,0.2571789738368674
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-08,oof,"{""C"": 1.0}",True,23,0.43478260869565216,0.3968253968253968,-0.21144501580551553,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5714285714285714,0.2222222222222222,0.6521739130434783,0.6086956521739131,False,0.38095238095238093,0.3539863472826963
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-09,development,"{""C"": 1.0}",True,19,0.631578947368421,0.6333333333333333,0.26666666666666666,0.6,0.6666666666666666,0.631578947368421,0.6666666666666666,0.6,0.5263157894736842,0.47368421052631576,False,0.5666666666666667,0.26841212572142853
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-10,development,"{""C"": 1.0}",True,23,0.43478260869565216,0.41666666666666663,-0.1640825308284734,0.3,0.3333333333333333,0.3157894736842105,0.3333333333333333,0.5,0.43478260869565216,0.391304347826087,False,0.3571428571428571,0.32101813481659586
