stock,horizon,method,month,params,train_n,train_end,evaluation_cutoff,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,"{""C"": 0.01}",35,2018-02-28 21:00:00+00:00,2018-03-01 14:25:00+00:00,21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,"{""C"": 0.1}",35,2018-02-28 21:00:00+00:00,2018-03-01 14:25:00+00:00,21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,"{""C"": 1.0}",35,2018-02-28 21:00:00+00:00,2018-03-01 14:25:00+00:00,21,0.6190476190476191,0.5480769230769231,0.11891287353862351,0.5,0.25,0.3333333333333333,0.25,0.8461538461538461,0.19047619047619047,0.38095238095238093,False,0.5,0.2717115969894042
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-04,"{""C"": 0.01}",56,2018-03-29 20:00:00+00:00,2018-04-02 13:25:00+00:00,21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-04,"{""C"": 0.1}",56,2018-03-29 20:00:00+00:00,2018-04-02 13:25:00+00:00,21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-04,"{""C"": 1.0}",56,2018-03-29 20:00:00+00:00,2018-04-02 13:25:00+00:00,21,0.23809523809523808,0.25,-0.5095246653650681,0.25,0.16666666666666666,0.2,0.16666666666666666,0.3333333333333333,0.38095238095238093,0.5714285714285714,False,0.19444444444444445,0.3907137485704255
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-05,"{""C"": 0.01}",77,2018-04-30 20:00:00+00:00,2018-05-01 13:25:00+00:00,22,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-05,"{""C"": 0.1}",77,2018-04-30 20:00:00+00:00,2018-05-01 13:25:00+00:00,22,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-05,"{""C"": 1.0}",77,2018-04-30 20:00:00+00:00,2018-05-01 13:25:00+00:00,22,0.5454545454545454,0.5454545454545454,0.13245323570650439,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.18181818181818182,0.9090909090909091,0.13636363636363635,0.5,False,0.487603305785124,0.3482336919343114
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-06,"{""C"": 0.01}",99,2018-05-31 20:00:00+00:00,2018-06-01 13:25:00+00:00,21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25
