stock,horizon,method,month,phase,params,issued,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AAPL,4h,PAPER_1G_L1LR,2018-03,oof,"{""C"": 0.1}",True,62,0.5161290322580645,0.5,0.0,0.5161290322580645,1.0,0.6808510638297872,1.0,0.0,1.0,0.5161290322580645,True,0.5,0.25003835659827045
AAPL,4h,PAPER_1G_L1LR,2018-04,oof,"{""C"": 0.01}",True,63,0.49206349206349204,0.5,0.0,0.49206349206349204,1.0,0.6595744680851063,1.0,0.0,1.0,0.49206349206349204,True,0.453125,0.2519463030762109
AAPL,4h,PAPER_1G_L1LR,2018-05,oof,"{""C"": 0.1}",True,66,0.48484848484848486,0.44734389561975774,-0.1314222721929291,0.5283018867924528,0.7567567567567568,0.6222222222222222,0.7567567567567568,0.13793103448275862,0.803030303030303,0.5606060606060606,False,0.47250698974836913,0.25334300857835107
AAPL,4h,PAPER_1G_L1LR,2018-06,oof,"{""C"": 0.01}",True,63,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25
AAPL,4h,PAPER_1G_L1LR,2018-07,oof,"{""C"": 0.1}",True,60,0.6333333333333333,0.5970695970695971,0.19413919413919414,0.717948717948718,0.717948717948718,0.717948717948718,0.717948717948718,0.47619047619047616,0.65,0.65,False,0.5317460317460317,0.2443310314596484
AAPL,4h,PAPER_1G_L1LR,2018-08,oof,"{""C"": 0.1}",True,69,0.4927536231884058,0.4411764705882353,-0.10465823835696725,0.7,0.5490196078431373,0.6153846153846154,0.5490196078431373,0.3333333333333333,0.5797101449275363,0.7391304347826086,False,0.4831154684095861,0.24516536808467418
AAPL,4h,PAPER_1G_L1LR,2018-09,development,"{""C"": 0.1}",True,57,0.5263157894736842,0.5314039408866995,0.07701853998110467,0.5111111111111111,0.8214285714285714,0.6301369863013698,0.8214285714285714,0.2413793103448276,0.7894736842105263,0.49122807017543857,False,0.49630541871921185,0.2583971881853244
AAPL,4h,PAPER_1G_L1LR,2018-10,development,"{""C"": 0.1}",True,69,0.4492753623188406,0.4935897435897436,-0.01736152974872372,0.43103448275862066,0.8333333333333334,0.5681818181818182,0.8333333333333334,0.15384615384615385,0.8405797101449275,0.43478260869565216,False,0.5598290598290598,0.2645942180359344
AAPL,4h,PAPER_1G_L1LR,2018-11,later,"{""C"": 0.1}",True,60,0.5666666666666667,0.5639599555061179,0.12966237373119519,0.5714285714285714,0.6451612903225806,0.6060606060606061,0.6451612903225806,0.4827586206896552,0.5833333333333334,0.5166666666666667,False,0.5422691879866518,0.24919981724670778
AAPL,4h,PAPER_1G_L1LR,2018-12,later,"{""C"": 0.1}",True,53,0.49056603773584906,0.5797213622291022,0.1885384697800485,0.40476190476190477,0.8947368421052632,0.5573770491803278,0.8947368421052632,0.2647058823529412,0.7924528301886793,0.3584905660377358,False,0.6842105263157894,0.2504189380058834
AAPL,4h,PAPER_1G_L1LR,2019-01,later,"{""C"": 0.1}",True,63,0.47619047619047616,0.48544698544698545,-0.02883749003642362,0.5714285714285714,0.43243243243243246,0.49230769230769234,0.43243243243243246,0.5384615384615384,0.4444444444444444,0.5873015873015873,False,0.5197505197505198,0.2585073236508968
AAPL,4h,PAPER_1G_L1LR,2019-02,later,"{""C"": 0.1}",True,2,0.5,,,0.0,0.0,0.0,0.0,0.5,0.5,0.0,False,,0.2337340936377961
AMZN,4h,PAPER_1G_L1LR,2018-03,oof,"{""C"": 0.1}",True,62,0.43548387096774194,0.5,0.0,0.43548387096774194,1.0,0.6067415730337079,1.0,0.0,1.0,0.43548387096774194,True,0.5862433862433863,0.25549475797608395
AMZN,4h,PAPER_1G_L1LR,2018-04,oof,"{""C"": 1.0}",True,63,0.42857142857142855,0.4357142857142857,-0.12909944487358058,0.3888888888888889,0.5,0.4375,0.5,0.37142857142857144,0.5714285714285714,0.4444444444444444,False,0.388265306122449,0.3572034570023924
AMZN,4h,PAPER_1G_L1LR,2018-05,oof,"{""C"": 0.01}",True,65,0.5846153846153846,0.5,0.0,0.5846153846153846,1.0,0.7378640776699029,1.0,0.0,1.0,0.5846153846153846,True,0.5755360623781677,0.2478164585226945
AMZN,4h,PAPER_1G_L1LR,2018-06,oof,"{""C"": 0.01}",True,63,0.6349206349206349,0.5,0.0,0.6349206349206349,1.0,0.7766990291262136,1.0,0.0,1.0,0.6349206349206349,True,0.47663043478260875,0.2470328934482401
AMZN,4h,PAPER_1G_L1LR,2018-07,oof,"{""C"": 0.01}",True,60,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.6166666666666667,0.2457048940832725
AMZN,4h,PAPER_1G_L1LR,2018-08,oof,"{""C"": 0.01}",True,69,0.5797101449275363,0.5,0.0,0.5797101449275363,1.0,0.7339449541284404,1.0,0.0,1.0,0.5797101449275363,True,0.618103448275862,0.2424716062736615
AMZN,4h,PAPER_1G_L1LR,2018-09,development,"{""C"": 1.0}",True,57,0.3508771929824561,0.35344827586206895,-0.3070316047858459,0.3783783783783784,0.5,0.4307692307692308,0.5,0.20689655172413793,0.6491228070175439,0.49122807017543857,False,0.28201970443349755,0.35492575859480846
AMZN,4h,PAPER_1G_L1LR,2018-10,development,"{""C"": 1.0}",True,69,0.36231884057971014,0.5148809523809523,0.04277411942682218,0.3114754098360656,0.9047619047619048,0.4634146341463415,0.9047619047619048,0.125,0.8840579710144928,0.30434782608695654,False,0.45932539682539675,0.2986132055202964
AMZN,4h,PAPER_1G_L1LR,2018-11,later,"{""C"": 1.0}",True,60,0.5333333333333333,0.4791666666666667,-0.04826170890658402,0.5869565217391305,0.75,0.6585365853658537,0.75,0.20833333333333334,0.7666666666666667,0.6,False,0.5028935185185185,0.3022614783033871
AMZN,4h,PAPER_1G_L1LR,2018-12,later,"{""C"": 1.0}",True,54,0.48148148148148145,0.5278195488721804,0.055639097744360905,0.37142857142857144,0.6842105263157895,0.48148148148148145,0.6842105263157895,0.37142857142857144,0.6481481481481481,0.35185185185185186,False,0.6067669172932332,0.2274541739997078
AMZN,4h,PAPER_1G_L1LR,2019-01,later,"{""C"": 1.0}",True,63,0.5555555555555556,0.47421052631578947,-0.08029550685469662,0.5892857142857143,0.868421052631579,0.7021276595744681,0.868421052631579,0.08,0.8888888888888888,0.6031746031746031,False,0.43894736842105264,0.2871185304914433
AMZN,4h,PAPER_1G_L1LR,2019-02,later,"{""C"": 1.0}",True,2,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25030472447310653
AAPL,4h,PAPER_1G_LINSVM,2018-03,oof,"{""C"": 0.1}",True,62,0.46774193548387094,0.46354166666666663,-0.07543383751631462,0.48717948717948717,0.59375,0.5352112676056338,0.59375,0.3333333333333333,0.6290322580645161,0.5161290322580645,False,0.5390625,
AAPL,4h,PAPER_1G_LINSVM,2018-04,oof,"{""C"": 1.0}",True,63,0.4444444444444444,0.44405241935483875,-0.11200812967981165,0.43333333333333335,0.41935483870967744,0.4262295081967213,0.41935483870967744,0.46875,0.47619047619047616,0.49206349206349204,False,0.4334677419354839,
AAPL,4h,PAPER_1G_LINSVM,2018-05,oof,"{""C"": 0.01}",True,66,0.5454545454545454,0.5349487418452936,0.07055815512267397,0.5897435897435898,0.6216216216216216,0.6052631578947368,0.6216216216216216,0.4482758620689655,0.5909090909090909,0.5606060606060606,False,0.5619757688723206,
AAPL,4h,PAPER_1G_LINSVM,2018-06,oof,"{""C"": 1.0}",True,63,0.42857142857142855,0.4212962962962963,-0.15628591541249595,0.5,0.4722222222222222,0.4857142857142857,0.4722222222222222,0.37037037037037035,0.5396825396825397,0.5714285714285714,False,0.42592592592592593,
AAPL,4h,PAPER_1G_LINSVM,2018-07,oof,"{""C"": 1.0}",True,60,0.36666666666666664,0.40293040293040294,-0.19413919413919414,0.5238095238095238,0.28205128205128205,0.36666666666666664,0.28205128205128205,0.5238095238095238,0.35,0.65,False,0.44932844932844934,
AAPL,4h,PAPER_1G_LINSVM,2018-08,oof,"{""C"": 0.01}",True,69,0.5507246376811594,0.39052287581699346,-0.2330945972372501,0.6851851851851852,0.7254901960784313,0.7047619047619048,0.7254901960784313,0.05555555555555555,0.782608695652174,0.7391304347826086,False,0.3088235294117648,
AAPL,4h,PAPER_1G_LINSVM,2018-09,development,"{""C"": 0.01}",True,57,0.5614035087719298,0.5652709359605912,0.14523655233310132,0.5365853658536586,0.7857142857142857,0.6376811594202898,0.7857142857142857,0.3448275862068966,0.7192982456140351,0.49122807017543857,False,0.5905172413793103,
AAPL,4h,PAPER_1G_LINSVM,2018-10,development,"{""C"": 0.01}",True,69,0.463768115942029,0.4987179487179487,-0.003011829603693343,0.4339622641509434,0.7666666666666667,0.5542168674698795,0.7666666666666667,0.23076923076923078,0.7681159420289855,0.43478260869565216,False,0.547008547008547,
AAPL,4h,PAPER_1G_LINSVM,2018-11,later,"{""C"": 0.01}",True,60,0.5666666666666667,0.5661846496106786,0.13236929922135707,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5517241379310345,0.5166666666666667,0.5166666666666667,False,0.5884315906562847,
