stock,horizon_window,method,month,phase,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AAPL,4h,PAPER_2G_L1LR,2018-09,development,57,0.5087719298245614,0.5166256157635468,0.07444375004781977,0.5,0.9642857142857143,0.6585365853658537,0.9642857142857143,0.06896551724137931,0.9473684210526315,0.49122807017543857,0.6280788177339901,0.24781724511224615,False
AAPL,4h,PAPER_2G_L1LR,2018-10,development,69,0.4057971014492754,0.43974358974358974,-0.14155599137358713,0.39622641509433965,0.7,0.5060240963855421,0.7,0.1794871794871795,0.7681159420289855,0.43478260869565216,0.4128205128205128,0.27499258771176227,False
AAPL,4h,PAPER_2G_L1LR,2018-11,later,60,0.5,0.492769744160178,-0.016036323843117244,0.5116279069767442,0.7096774193548387,0.5945945945945946,0.7096774193548387,0.27586206896551724,0.7166666666666667,0.5166666666666667,0.48275862068965514,0.2539068511147129,False
AAPL,4h,PAPER_2G_L1LR,2018-12,later,53,0.5471698113207547,0.5890092879256965,0.17612037990116486,0.42424242424242425,0.7368421052631579,0.5384615384615384,0.7368421052631579,0.4411764705882353,0.6226415094339622,0.3584905660377358,0.5758513931888545,0.2527098168348811,False
AAPL,4h,PAPER_2G_L1LR,2019-01,later,63,0.49206349206349204,0.49324324324324326,-0.013307607410637,0.5806451612903226,0.4864864864864865,0.5294117647058824,0.4864864864864865,0.5,0.49206349206349204,0.5873015873015873,0.4625779625779626,0.25797126951919813,False
AAPL,4h,PAPER_2G_L1LR,2019-02,later,2,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.31671876570020707,True
AAPL,4h,TFIDF_LR,2018-09,development,57,0.47368421052631576,0.47844827586206895,-0.05135609757505347,0.4772727272727273,0.75,0.5833333333333334,0.75,0.20689655172413793,0.7719298245614035,0.49122807017543857,0.5800492610837438,0.25133469896940575,False
AAPL,4h,TFIDF_LR,2018-10,development,69,0.5072463768115942,0.5487179487179488,0.12352254492186011,0.4642857142857143,0.8666666666666667,0.6046511627906976,0.8666666666666667,0.23076923076923078,0.8115942028985508,0.43478260869565216,0.6008547008547009,0.2594660907370359,False
AAPL,4h,TFIDF_LR,2018-11,later,60,0.5166666666666667,0.5100111234705228,0.021833922351767,0.5238095238095238,0.7096774193548387,0.6027397260273972,0.7096774193548387,0.3103448275862069,0.7,0.5166666666666667,0.5261401557285874,0.26435237368789627,False
AAPL,4h,TFIDF_LR,2018-12,later,53,0.5849056603773585,0.618421052631579,0.23050639810607113,0.45161290322580644,0.7368421052631579,0.56,0.7368421052631579,0.5,0.5849056603773585,0.3584905660377358,0.631578947368421,0.24742330988159905,False
AAPL,4h,TFIDF_LR,2019-01,later,63,0.42857142857142855,0.44490644490644493,-0.11088084491130999,0.52,0.35135135135135137,0.41935483870967744,0.35135135135135137,0.5384615384615384,0.3968253968253968,0.5873015873015873,0.4937629937629937,0.26100795921850445,False
AAPL,4h,TFIDF_LR,2019-02,later,2,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.3675842364490379,True
AAPL,4h,TFIDF_RF,2018-09,development,57,0.5087719298245614,0.5129310344827587,0.029361010975735177,0.5,0.75,0.6,0.75,0.27586206896551724,0.7368421052631579,0.49122807017543857,0.5843596059113301,0.2546072124756335,False
AAPL,4h,TFIDF_RF,2018-10,development,69,0.4782608695652174,0.5115384615384615,0.0265487880754859,0.4423076923076923,0.7666666666666667,0.5609756097560976,0.7666666666666667,0.2564102564102564,0.7536231884057971,0.43478260869565216,0.5790598290598291,0.26878067632850244,False
AAPL,4h,TFIDF_RF,2018-11,later,60,0.48333333333333334,0.482202447163515,-0.03565464589691842,0.5,0.5161290322580645,0.5079365079365079,0.5161290322580645,0.4482758620689655,0.5333333333333333,0.5166666666666667,0.4710789766407119,0.2636074074074074,False
