method,stock,month,n,BA,Brier,decision_only
TFIDF_ADABOOST,AAPL,2018-03,62,0.5916666666666667,0.24866676628871676,False
TFIDF_ADABOOST,AAPL,2018-04,63,0.39919354838709675,0.312664625009251,False
TFIDF_ADABOOST,AAPL,2018-05,66,0.4277726001863933,0.26302207064665667,False
TFIDF_ADABOOST,AAPL,2018-06,63,0.5925925925925926,0.2514096749673758,False
TFIDF_ADABOOST,AAPL,2018-07,60,0.6172161172161172,0.2309004061598637,False
TFIDF_ADABOOST,AAPL,2018-08,69,0.5163398692810457,0.213892380745279,False
TFIDF_ADABOOST,AMZN,2018-03,62,0.4031746031746032,0.3469371270039755,False
TFIDF_ADABOOST,AMZN,2018-04,63,0.42142857142857143,0.2903286544282778,False
TFIDF_ADABOOST,AMZN,2018-05,65,0.4922027290448343,0.25041735138039634,False
TFIDF_ADABOOST,AMZN,2018-06,63,0.43423913043478257,0.26506881016405726,False
TFIDF_ADABOOST,AMZN,2018-07,60,0.5333333333333333,0.27593270723447105,False
TFIDF_ADABOOST,AMZN,2018-08,69,0.5487068965517241,0.262151992722303,False
TFIDF_KNN,AAPL,2018-03,62,0.5979166666666667,0.32,False
TFIDF_KNN,AAPL,2018-04,63,0.4959677419354839,0.32822073576106287,False
TFIDF_KNN,AAPL,2018-05,66,0.5079217148182665,0.33390125785212277,False
TFIDF_KNN,AAPL,2018-06,63,0.3287037037037037,0.5071593863043672,False
TFIDF_KNN,AAPL,2018-07,60,0.5769230769230769,0.22265001734304543,False
TFIDF_KNN,AAPL,2018-08,69,0.38725490196078427,0.28440533203742463,False
TFIDF_KNN,AMZN,2018-03,62,0.5317460317460317,0.28952457706800133,False
TFIDF_KNN,AMZN,2018-04,63,0.43214285714285716,0.2751365323075916,False
TFIDF_KNN,AMZN,2018-05,65,0.6115984405458089,0.24267758075114237,False
TFIDF_KNN,AMZN,2018-06,63,0.4429347826086957,0.29998699218797864,False
TFIDF_KNN,AMZN,2018-07,60,0.6166666666666667,0.23482646883179834,False
TFIDF_KNN,AMZN,2018-08,69,0.5426724137931035,0.25004599285768475,False
