method,stock,month,n,BA,Brier,decision_only
TFIDF_ADABOOST,AMZN,2018-07,21,0.5272727272727272,0.257865307533621,False
TFIDF_ADABOOST,AMZN,2018-08,23,0.46825396825396826,0.2666123301354911,False
TFIDF_KNN,AAPL,2018-03,21,0.5,0.36571428571428577,False
TFIDF_KNN,AAPL,2018-04,21,0.4027777777777778,0.29250284921460784,False
TFIDF_KNN,AAPL,2018-05,22,0.40909090909090906,0.27930186358906445,False
TFIDF_KNN,AAPL,2018-06,21,0.6057692307692308,0.31428571428571433,False
TFIDF_KNN,AAPL,2018-07,21,0.3894230769230769,0.4666666666666666,False
TFIDF_KNN,AAPL,2018-08,23,0.4852941176470588,0.3182608695652175,False
TFIDF_KNN,AMZN,2018-03,21,0.5,0.2628571428571429,False
TFIDF_KNN,AMZN,2018-04,21,0.5909090909090909,0.2616274880697039,False
TFIDF_KNN,AMZN,2018-05,22,0.6166666666666667,0.26739197075525206,False
TFIDF_KNN,AMZN,2018-06,21,0.45833333333333337,0.2493210953674066,False
TFIDF_KNN,AMZN,2018-07,21,0.46818181818181814,0.27570990865996065,False
TFIDF_KNN,AMZN,2018-08,23,0.5476190476190476,0.27921124128368346,False
