method,stock,month,n,BA,Brier,decision_only
TFIDF_ADABOOST,AMZN,2018-07,21,0.3909090909090909,0.2683390319150417,False
TFIDF_ADABOOST,AMZN,2018-08,23,0.6349206349206349,0.24915713449453666,False
TFIDF_KNN,AAPL,2018-03,21,0.5,0.38095238095238093,False
TFIDF_KNN,AAPL,2018-04,21,0.5,0.30469253258014967,False
TFIDF_KNN,AAPL,2018-05,22,0.5,0.3331313131313132,False
TFIDF_KNN,AAPL,2018-06,21,0.4182692307692308,0.33777777777777773,False
TFIDF_KNN,AAPL,2018-07,21,0.5817307692307692,0.31575438190676897,False
TFIDF_KNN,AAPL,2018-08,23,0.48039215686274506,0.41543841972015155,False
TFIDF_KNN,AMZN,2018-03,21,0.5416666666666666,0.28932944606413996,False
TFIDF_KNN,AMZN,2018-04,21,0.4,0.320223338291213,False
TFIDF_KNN,AMZN,2018-05,22,0.425,0.391822015056962,False
TFIDF_KNN,AMZN,2018-06,21,0.5138888888888888,0.2866690959620253,False
TFIDF_KNN,AMZN,2018-07,21,0.4318181818181818,0.32421957671957674,False
TFIDF_KNN,AMZN,2018-08,23,0.6904761904761905,0.2655315151669276,False
