stock,phase,evaluation_label,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AAPL,OOF,OOF,129,0.4573643410852713,0.47210144927536235,-0.06153426728393826,0.4864864864864865,0.2608695652173913,0.33962264150943394,0.2608695652173913,0.6833333333333333,0.2868217054263566,0.5348837209302325,0.464975845410628,0.26478761820083996,False
AAPL,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.38095238095238093,0.3795454545454545,-0.2409090909090909,0.35,0.35,0.35,0.35,0.4090909090909091,0.47619047619047616,0.47619047619047616,0.3,0.25758996919842064,False
AAPL,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.5645161290322581,0.5702702702702702,0.1379548169928529,0.46875,0.6,0.5263157894736842,0.6,0.5405405405405406,0.5161290322580645,0.4032258064516129,0.5556756756756757,0.24835005088695697,False
AMZN,OOF,OOF,129,0.4496124031007752,0.44672131147540983,-0.10694481273667095,0.4788732394366197,0.5,0.4892086330935252,0.5,0.39344262295081966,0.5503875968992248,0.5271317829457365,0.4802314368370299,0.2537913543369876,False
AMZN,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.47619047619047616,0.5208333333333334,0.05251050315105037,0.4411764705882353,0.8333333333333334,0.5769230769230769,0.8333333333333334,0.20833333333333334,0.8095238095238095,0.42857142857142855,0.5694444444444444,0.2511634756907836,False
AMZN,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.43548387096774194,0.4362591431556949,-0.1272823676500175,0.40625,0.4482758620689655,0.4262295081967213,0.4482758620689655,0.42424242424242425,0.5161290322580645,0.46774193548387094,0.4357366771159875,0.2562609844478403,False
