horizon_window,method,stock,phase,DPRICE_BA,JOINT_BA,DELTA_BA_VS_DPRICE,DPRICE_Brier,JOINT_Brier,DELTA_BRIER_VS_DPRICE,NEWS_ONLY_BA,DELTA_BA_VS_NEWS_ONLY,comparison_scope
1d:DNEWS_24H,PAPER_2G_L1LR,AAPL,development,0.3795454545454545,0.5,0.12045454545454548,0.25758996919842064,0.25,-0.007589969198420643,0.5,0.0,SYSTEM_LEVEL
1d:DNEWS_24H,PAPER_2G_L1LR,AAPL,later,0.5702702702702702,0.5,-0.07027027027027022,0.24835005088695697,0.25,0.001649949113043031,0.5,0.0,SYSTEM_LEVEL
1d:DNEWS_24H,PAPER_2G_L1LR,AMZN,development,0.5208333333333334,0.47916666666666663,-0.04166666666666674,0.2511634756907836,0.3025964497670682,0.051432974076284554,0.4652777777777778,0.01388888888888884,SYSTEM_LEVEL
1d:DNEWS_24H,PAPER_2G_L1LR,AMZN,later,0.4362591431556949,0.4362591431556949,0.0,0.2562609844478403,0.3204489251037157,0.06418794065587541,0.4362591431556949,0.0,SYSTEM_LEVEL
1d:DNEWS_24H,TFIDF_ADABOOST,AAPL,development,0.3795454545454545,0.5272727272727272,0.1477272727272727,0.25758996919842064,0.263889289306453,0.006299320108032358,0.5272727272727272,0.0,SYSTEM_LEVEL
1d:DNEWS_24H,TFIDF_ADABOOST,AAPL,later,0.5702702702702702,0.3902702702702703,-0.17999999999999994,0.24835005088695697,0.3158100931170903,0.06746004223013333,0.3902702702702703,0.0,SYSTEM_LEVEL
1d:DNEWS_24H,TFIDF_ADABOOST,AMZN,development,0.5208333333333334,0.3888888888888889,-0.13194444444444448,0.2511634756907836,0.27964852758854425,0.028485051897760627,0.4027777777777778,-0.013888888888888895,SYSTEM_LEVEL
1d:DNEWS_24H,TFIDF_ADABOOST,AMZN,later,0.4362591431556949,0.48380355276907006,0.04754440961337514,0.2562609844478403,0.2535422375715302,-0.002718746876310074,0.49686520376175547,-0.013061650992685414,SYSTEM_LEVEL
1d:DNEWS_24H,TFIDF_KNN,AAPL,development,0.3795454545454545,0.5659090909090909,0.1863636363636364,0.25758996919842064,0.2923809523809524,0.034790983182531765,0.634090909090909,-0.06818181818181812,SYSTEM_LEVEL
1d:DNEWS_24H,TFIDF_KNN,AAPL,later,0.5702702702702702,0.4897297297297297,-0.0805405405405405,0.24835005088695697,0.3412903225806451,0.09294027169368815,0.47621621621621624,0.013513513513513487,SYSTEM_LEVEL
1d:DNEWS_24H,TFIDF_KNN,AMZN,development,0.5208333333333334,0.5763888888888888,0.05555555555555547,0.2511634756907836,0.28285714285714286,0.03169366716635924,0.3472222222222222,0.22916666666666663,SYSTEM_LEVEL
1d:DNEWS_24H,TFIDF_KNN,AMZN,later,0.4362591431556949,0.5031347962382445,0.06687565308254961,0.2562609844478403,0.33999999999999997,0.08373901555215968,0.48589341692789967,0.017241379310344862,SYSTEM_LEVEL
1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,AAPL,development,0.3795454545454545,0.4795454545454546,0.10000000000000009,0.25758996919842064,0.3839136641176991,0.12632369491927847,0.4795454545454546,0.0,SYSTEM_LEVEL
