stock,horizon,method,month,params,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier,error_n,error_accuracy,error_ba,error_mcc,error_precision,error_recall,error_f1,error_up_recall,error_down_recall,error_pred_up,error_true_up,error_constant,error_auc,error_brier
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-07,"{""C"":0.1}",21,0.38095238095238093,0.3557692307692308,-0.28306925853614895,0.5,0.46153846153846156,0.48,0.46153846153846156,0.25,0.5714285714285714,0.6190476190476191,False,0.3557692307692308,0.25438836248680896,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-07,"{""C"":1.0}",21,0.3333333333333333,0.3653846153846154,-0.2773500981126146,0.42857142857142855,0.23076923076923078,0.3,0.23076923076923078,0.5,0.3333333333333333,0.6190476190476191,False,0.2980769230769231,0.3779443731253315,0.0,0.0,0.0,0.0,5.551115123125783e-17,8.326672684688674e-17,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-08,"{""C"":0.01}",23,0.7391304347826086,0.5,0.0,0.7391304347826086,1.0,0.85,1.0,0.0,1.0,0.7391304347826086,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-08,"{""C"":0.1}",23,0.7391304347826086,0.5,0.0,0.7391304347826086,1.0,0.85,1.0,0.0,1.0,0.7391304347826086,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-08,"{""C"":1.0}",23,0.5652173913043478,0.5441176470588236,0.07815751585783592,0.7692307692307693,0.5882352941176471,0.6666666666666666,0.5882352941176471,0.5,0.5652173913043478,0.7391304347826086,False,0.6568627450980392,0.2887873439810048,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-03,"{""C"":0.01}",21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-03,"{""C"":0.1}",21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-03,"{""C"":1.0}",21,0.47619047619047616,0.38461538461538464,-0.3202563076101743,0.0,0.0,0.0,0.0,0.7692307692307693,0.14285714285714285,0.38095238095238093,False,0.25,0.3614793883870053,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-04,"{""C"":0.01}",21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-04,"{""C"":0.1}",21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-04,"{""C"":1.0}",21,0.5714285714285714,0.5555555555555556,0.11322770341445958,0.6153846153846154,0.6666666666666666,0.64,0.6666666666666666,0.4444444444444444,0.6190476190476191,0.5714285714285714,False,0.6018518518518519,0.25066891893858495,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-05,"{""C"":0.01}",22,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-05,"{""C"":0.1}",22,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-05,"{""C"":1.0}",22,0.5,0.5,0.0,0.5,0.2727272727272727,0.35294117647058826,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.5,False,0.33884297520661155,0.4003541755516738,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-06,"{""C"":0.01}",21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-06,"{""C"":0.1}",21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-06,"{""C"":1.0}",21,0.38095238095238093,0.40384615384615385,-0.19230769230769232,0.3076923076923077,0.5,0.38095238095238093,0.5,0.3076923076923077,0.6190476190476191,0.38095238095238093,False,0.34615384615384615,0.40173295619170624,0.0,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,5.551115123125783e-17
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-07,"{""C"":0.01}",21,0.6190476190476191,0.5,0.0,0.6190476190476191,1.0,0.7647058823529411,1.0,0.0,1.0,0.6190476190476191,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
