stock,horizon_window,method,phase,evaluation_label,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.47619047619047616,0.5,0.0,0.47619047619047616,1.0,0.6451612903225806,1.0,0.0,1.0,0.47619047619047616,0.5,0.25,True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.4032258064516129,0.5,0.0,0.4032258064516129,1.0,0.5747126436781609,1.0,0.0,1.0,0.4032258064516129,0.5,0.25,True
AAPL,1d:DNEWS_24H,TFIDF_ADABOOST,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.5238095238095238,0.5272727272727272,0.05504818825631803,0.5,0.6,0.5454545454545454,0.6,0.45454545454545453,0.5714285714285714,0.47619047619047616,0.5045454545454545,0.263889289306453,False
AAPL,1d:DNEWS_24H,TFIDF_ADABOOST,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.41935483870967744,0.3902702702702703,-0.22285837014596066,0.2608695652173913,0.24,0.25,0.24,0.5405405405405406,0.3709677419354839,0.4032258064516129,0.31351351351351353,0.3158100931170903,False
AAPL,1d:DNEWS_24H,TFIDF_KNN,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.5714285714285714,0.5659090909090909,0.13556731355122628,0.5625,0.45,0.5,0.45,0.6818181818181818,0.38095238095238093,0.47619047619047616,0.5193181818181818,0.2923809523809524,False
AAPL,1d:DNEWS_24H,TFIDF_KNN,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.4838709677419355,0.4897297297297297,-0.020194205234356322,0.3939393939393939,0.52,0.4482758620689655,0.52,0.4594594594594595,0.532258064516129,0.4032258064516129,0.46324324324324323,0.3412903225806451,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.47619047619047616,0.4795454545454546,-0.04128614119223852,0.4583333333333333,0.55,0.5,0.55,0.4090909090909091,0.5714285714285714,0.47619047619047616,0.42500000000000004,0.3839136641176991,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.4838709677419355,0.5027027027027027,0.005405405405405406,0.40540540540540543,0.6,0.4838709677419355,0.6,0.40540540540540543,0.5967741935483871,0.4032258064516129,0.5037837837837837,0.3511604439667694,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.5714285714285714,0.5840909090909091,0.19721066262893963,0.53125,0.85,0.6538461538461539,0.85,0.3181818181818182,0.7619047619047619,0.47619047619047616,0.5909090909090909,0.24778078553289462,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.4838709677419355,0.4702702702702703,-0.0588268940247865,0.37037037037037035,0.4,0.38461538461538464,0.4,0.5405405405405406,0.43548387096774194,0.4032258064516129,0.3962162162162162,0.2575877338395736,False
AAPL,1d:DNEWS_OVERNIGHT,TFIDF_LR,development,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,42,0.38095238095238093,0.3795454545454545,-0.2409090909090909,0.35,0.35,0.35,0.35,0.4090909090909091,0.47619047619047616,0.47619047619047616,0.3,0.2575841485210271,False
AAPL,1d:DNEWS_OVERNIGHT,TFIDF_LR,later,PREREGISTERED_NEW_HORIZON_HISTORICAL_EVALUATION,62,0.5645161290322581,0.5702702702702702,0.1379548169928529,0.46875,0.6,0.5263157894736842,0.6,0.5405405405405406,0.5161290322580645,0.4032258064516129,0.5535135135135134,0.24835059250078664,False
