stock,horizon_window,method,month,phase,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-09,development,19,0.47368421052631576,0.5,0.0,0.47368421052631576,1.0,0.6428571428571429,1.0,0.0,1.0,0.47368421052631576,0.5,0.25,True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-10,development,23,0.4782608695652174,0.5,0.0,0.4782608695652174,1.0,0.6470588235294118,1.0,0.0,1.0,0.4782608695652174,0.5,0.25,True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-11,later,21,0.3333333333333333,0.5,0.0,0.3333333333333333,1.0,0.5,1.0,0.0,1.0,0.3333333333333333,0.5,0.25,True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2018-12,later,19,0.3157894736842105,0.5,0.0,0.3157894736842105,1.0,0.48,1.0,0.0,1.0,0.3157894736842105,0.5,0.25,True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2019-01,later,21,0.5238095238095238,0.5,0.0,0.5238095238095238,1.0,0.6875,1.0,0.0,1.0,0.5238095238095238,0.5,0.25,True
AAPL,1d:DNEWS_24H,PAPER_2G_L1LR,2019-02,later,1,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.25,True
AAPL,1d:DNEWS_24H,TFIDF_ADABOOST,2018-09,development,19,0.42105263157894735,0.4444444444444444,-0.24845199749997662,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.8888888888888888,0.0,0.9473684210526315,0.47368421052631576,0.45,0.2809279127044064,False
AAPL,1d:DNEWS_24H,TFIDF_ADABOOST,2018-10,development,23,0.6086956521739131,0.5984848484848485,0.22407133233117496,0.6666666666666666,0.36363636363636365,0.47058823529411764,0.36363636363636365,0.8333333333333334,0.2608695652173913,0.4782608695652174,0.6325757575757576,0.24981390476031765,False
AAPL,1d:DNEWS_24H,TFIDF_ADABOOST,2018-11,later,21,0.47619047619047616,0.3928571428571429,-0.22360679774997896,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.6428571428571429,0.2857142857142857,0.3333333333333333,0.22448979591836732,0.34018751005134795,False
AAPL,1d:DNEWS_24H,TFIDF_ADABOOST,2018-12,later,19,0.5263157894736842,0.5192307692307692,0.03580574370197164,0.3333333333333333,0.5,0.4,0.5,0.5384615384615384,0.47368421052631576,0.3157894736842105,0.6025641025641026,0.2489831844912679,False
AAPL,1d:DNEWS_24H,TFIDF_ADABOOST,2019-01,later,21,0.23809523809523808,0.24545454545454548,-0.5393598899705937,0.14285714285714285,0.09090909090909091,0.1111111111111111,0.09090909090909091,0.4,0.3333333333333333,0.5238095238095238,0.17272727272727276,0.3558803770945453,False
AAPL,1d:DNEWS_24H,TFIDF_ADABOOST,2019-02,later,1,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.2321196378617493,True
AAPL,1d:DNEWS_24H,TFIDF_KNN,2018-09,development,19,0.5789473684210527,0.5777777777777777,0.15555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6,0.47368421052631576,0.47368421052631576,0.5555555555555556,0.2757894736842106,False
AAPL,1d:DNEWS_24H,TFIDF_KNN,2018-10,development,23,0.5652173913043478,0.5568181818181819,0.12336594280495668,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.36363636363636365,0.75,0.30434782608695654,0.4782608695652174,0.48863636363636365,0.30608695652173923,False
AAPL,1d:DNEWS_24H,TFIDF_KNN,2018-11,later,21,0.7619047619047619,0.7857142857142857,0.5393598899705937,0.6,0.8571428571428571,0.7058823529411765,0.8571428571428571,0.7142857142857143,0.47619047619047616,0.3333333333333333,0.7551020408163265,0.2285714285714286,False
AAPL,1d:DNEWS_24H,TFIDF_KNN,2018-12,later,19,0.3684210526315789,0.40384615384615385,-0.18531232916527532,0.25,0.5,0.3333333333333333,0.5,0.3076923076923077,0.631578947368421,0.3157894736842105,0.34615384615384615,0.448421052631579,False
AAPL,1d:DNEWS_24H,TFIDF_KNN,2019-01,later,21,0.3333333333333333,0.3318181818181818,-0.33636363636363636,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.3,0.5238095238095238,0.5238095238095238,0.33181818181818185,0.3561904761904763,False
AAPL,1d:DNEWS_24H,TFIDF_KNN,2019-02,later,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.36,True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-09,development,19,0.42105263157894735,0.4222222222222222,-0.15555555555555556,0.4,0.4444444444444444,0.42105263157894735,0.4444444444444444,0.4,0.5263157894736842,0.47368421052631576,0.36666666666666664,0.4336287371618697,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-10,development,23,0.5217391304347826,0.5265151515151515,0.054278245606577465,0.5,0.6363636363636364,0.56,0.6363636363636364,0.4166666666666667,0.6086956521739131,0.4782608695652174,0.5075757575757576,0.34284469073338447,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-11,later,21,0.38095238095238093,0.39285714285714285,-0.2041241452319315,0.25,0.42857142857142855,0.3157894736842105,0.42857142857142855,0.35714285714285715,0.5714285714285714,0.3333333333333333,0.3877551020408163,0.4381743441735067,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-12,later,19,0.5789473684210527,0.6923076923076923,0.40599897147057507,0.42857142857142855,1.0,0.6,1.0,0.38461538461538464,0.7368421052631579,0.3157894736842105,0.7307692307692307,0.2723320162514666,False
