stock,horizon,method,month,params,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier,error_n,error_accuracy,error_ba,error_mcc,error_precision,error_recall,error_f1,error_up_recall,error_down_recall,error_pred_up,error_true_up,error_constant,error_auc,error_brier
AAPL,4h,PAPER_1G_L1LR,2018-03,"{""C"":0.01}",62,0.5161290322580645,0.5,0.0,0.5161290322580645,1.0,0.6808510638297872,1.0,0.0,1.0,0.5161290322580645,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,4h,PAPER_1G_L1LR,2018-03,"{""C"":0.1}",62,0.5161290322580645,0.5,0.0,0.5161290322580645,1.0,0.6808510638297872,1.0,0.0,1.0,0.5161290322580645,True,0.5,0.25003835659827045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17
AAPL,4h,PAPER_1G_L1LR,2018-03,"{""C"":1.0}",62,0.3870967741935484,0.3833333333333333,-0.2393949488198693,0.42105263157894735,0.5,0.45714285714285713,0.5,0.26666666666666666,0.6129032258064516,0.5161290322580645,False,0.4234375,0.34906598535469086,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17
AAPL,4h,PAPER_1G_L1LR,2018-04,"{""C"":0.01}",63,0.49206349206349204,0.5,0.0,0.49206349206349204,1.0,0.6595744680851063,1.0,0.0,1.0,0.49206349206349204,True,0.453125,0.2519463030762109,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
AAPL,4h,PAPER_1G_L1LR,2018-04,"{""C"":0.1}",63,0.5079365079365079,0.5126008064516129,0.031133467586669867,0.5,0.8064516129032258,0.6172839506172839,0.8064516129032258,0.21875,0.7936507936507936,0.49206349206349204,False,0.4415322580645161,0.2587962167539307,0.0,0.0,0.0,6.591949208711867e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
AAPL,4h,PAPER_1G_L1LR,2018-04,"{""C"":1.0}",63,0.47619047619047616,0.4778225806451613,-0.04532471038866811,0.47368421052631576,0.5806451612903226,0.5217391304347826,0.5806451612903226,0.375,0.6031746031746031,0.49206349206349204,False,0.4904233870967742,0.32802675316787916,0.0,5.551115123125783e-17,0.0,6.938893903907228e-18,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17
AAPL,4h,PAPER_1G_L1LR,2018-05,"{""C"":0.01}",66,0.5606060606060606,0.5,0.0,0.5606060606060606,1.0,0.7184466019417476,1.0,0.0,1.0,0.5606060606060606,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,4h,PAPER_1G_L1LR,2018-05,"{""C"":0.1}",66,0.48484848484848486,0.44734389561975774,-0.1314222721929291,0.5283018867924528,0.7567567567567568,0.6222222222222222,0.7567567567567568,0.13793103448275862,0.803030303030303,0.5606060606060606,False,0.47250698974836913,0.25334300857835107,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17
AAPL,4h,PAPER_1G_L1LR,2018-05,"{""C"":1.0}",66,0.5303030303030303,0.5027958993476235,0.006231527532127217,0.5625,0.7297297297297297,0.6352941176470588,0.7297297297297297,0.27586206896551724,0.7272727272727273,0.5606060606060606,False,0.5135135135135136,0.31507143783286545,0.0,0.0,0.0,1.734723475976807e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17
AAPL,4h,PAPER_1G_L1LR,2018-06,"{""C"":0.01}",63,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,4h,PAPER_1G_L1LR,2018-06,"{""C"":0.1}",63,0.6031746031746031,0.5833333333333333,0.1730129508244783,0.6341463414634146,0.7222222222222222,0.6753246753246753,0.7222222222222222,0.4444444444444444,0.6507936507936508,0.5714285714285714,False,0.5627572016460906,0.2484186086550527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,4h,PAPER_1G_L1LR,2018-06,"{""C"":1.0}",63,0.38095238095238093,0.375,-0.24771684715343112,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.4166666666666667,0.3333333333333333,0.5238095238095238,0.5714285714285714,False,0.3981481481481482,0.42607073950631513,0.0,5.551115123125783e-17,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17
AAPL,4h,PAPER_1G_L1LR,2018-07,"{""C"":0.01}",60,0.65,0.5,0.0,0.65,1.0,0.7878787878787878,1.0,0.0,1.0,0.65,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
