symbol,month,delta_BA,delta_Brier,delta_AUC,AR1_n,AR0_n,coverage,horizon_complete,AR1_constant
AAPL,2018-06,-0.001226659397573937,0.00044629958530137404,-0.007984474519863505,1404,1404,1.0,True,False
AAPL,2018-07,0.00823955769155621,-0.0021113648712144384,0.006766987066776031,905,905,1.0,True,False
AAPL,2018-08,-0.020533225214911854,0.00037421989834057756,-0.03225267911088492,1259,1259,1.0,True,False
AMZN,2018-06,-0.003561655281903442,0.000988896417054158,-0.021798165904200917,440,440,1.0,True,False
AMZN,2018-07,0.016759776536312887,-0.00546887549064301,0.004351986172412725,360,360,1.0,True,False
AMZN,2018-08,0.009554140127388477,-0.0018764014213179525,0.006099951004409521,417,417,1.0,True,False
