symbol,month,delta_BA,delta_Brier,delta_AUC,AR1_n,AR0_n,coverage,horizon_complete,AR1_constant
AAPL,2018-06,-0.02029220779220775,0.0009768370717464225,-0.007831454260025739,1498,1498,1.0,True,False
AAPL,2018-07,0.010665580238442385,-0.0004309573502025432,0.008077450896303295,969,969,1.0,True,False
AAPL,2018-08,-0.02026531492666095,0.003733835854480505,-0.04085202761000861,1370,1370,1.0,True,False
AMZN,2018-06,-0.013272337060883321,0.012281210079079175,-0.07243307353439521,461,461,1.0,True,False
AMZN,2018-07,-0.01325590377400132,0.005621433999011327,-0.014869785919223166,381,381,1.0,True,False
AMZN,2018-08,0.002200686452654921,0.010485062326636319,-0.007874015748031427,449,449,1.0,True,False
