symbol,horizon_minutes,n,mean,median,std,p05,p95
AAPL,30,12177,3.5263279082852115e-05,0.0,0.0028183985984329626,-0.004451041887254631,0.004612107819663177
AAPL,60,11288,4.0128633881712696e-05,0.0,0.003989465154604285,-0.00606188867279502,0.006185941027125031
AAPL,120,9389,9.434275185341127e-05,0.00019983014504219442,0.005341980554600769,-0.008330226133942974,0.008148172416869682
AAPL,240,5490,0.0002718673633782517,0.0005705382964008293,0.007600883794881262,-0.012360640724999998,0.011343405212873022
AMZN,30,3343,-4.126509253377559e-05,4.097369898830931e-05,0.0038265939612854914,-0.005932082833741562,0.005132270552734824
AMZN,60,3137,-2.4470010142782892e-05,5.475131952032169e-05,0.005246597413995395,-0.008167572030106976,0.007370303847786286
AMZN,120,2635,0.00035564839817398436,0.0002980223122943638,0.006772300886915605,-0.009491510938476184,0.010505296022964775
AMZN,240,1410,0.0006483762092003517,0.0006355379161250762,0.009559573448090492,-0.01652468815751139,0.014832128703755557
