symbol,month,delta_BA,delta_Brier,delta_AUC,AR1_n,AR0_n,coverage,horizon_complete,AR1_constant
AAPL,2018-06,-0.0012412915638720934,2.6807771146664106e-05,0.0033863985476888514,731,731,1.0,True,False
AAPL,2018-07,0.007281553398058249,6.490822284233033e-05,-0.0026259625041847867,438,438,1.0,True,False
AAPL,2018-08,0.0040545937592249,-0.00046457743487679504,0.014099914914306566,566,566,1.0,True,False
AMZN,2018-06,0.00347222222222221,-0.0004440088765452488,0.036610623781676455,201,201,1.0,True,False
AMZN,2018-07,0.016129032258064446,0.0002097262720294757,-0.015180265654649028,164,164,1.0,True,False
AMZN,2018-08,0.0,0.00014910754568725482,-0.041407007339703594,170,170,1.0,True,True
