symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage,news_coverage,dates
AAPL,forward,all,selected_system,440,0.5028963284777238,0.005720740813435487,0.2683534385237217,0.509090909090909,0.5387596899224806,0.46703296703296704,0.5363636363636364,1.0,0.990909090909091,147
AAPL,forward,all,constant,440,0.5,0.0,0.25,0.5863636363636363,1.0,0.0,1.0,1.0,0.990909090909091,147
AAPL,forward,all,prior,440,0.5,0.0,0.24396592073743617,0.5863636363636363,1.0,0.0,1.0,1.0,0.990909090909091,147
AAPL,forward,2018-02,title,57,0.52125,0.04234151591787102,0.2900280661375724,0.5263157894736842,0.5625,0.48,0.543859649122807,1.0,1.0,19
AAPL,forward,2018-02,price,57,0.52125,0.04234151591787102,0.2917345215204291,0.5263157894736842,0.5625,0.48,0.543859649122807,1.0,1.0,19
AAPL,forward,2018-02,body,57,0.52125,0.04234151591787102,0.2917345215204291,0.5263157894736842,0.5625,0.48,0.543859649122807,1.0,1.0,19
AAPL,forward,2018-02,semantic,57,0.52125,0.04234151591787102,0.2917345215204291,0.5263157894736842,0.5625,0.48,0.543859649122807,1.0,1.0,19
AAPL,forward,2018-02,joint_body,57,0.52125,0.04234151591787102,0.2917345215204291,0.5263157894736842,0.5625,0.48,0.543859649122807,1.0,1.0,19
AAPL,forward,2018-02,joint_semantic,57,0.52125,0.04234151591787102,0.2917345215204291,0.5263157894736842,0.5625,0.48,0.543859649122807,1.0,1.0,19
AAPL,forward,2018-02,static,57,0.52125,0.04234151591787102,0.2917345215204291,0.5263157894736842,0.5625,0.48,0.543859649122807,1.0,1.0,19
AAPL,forward,2018-02,gate,57,0.52125,0.04234151591787102,0.2917345215204291,0.5263157894736842,0.5625,0.48,0.543859649122807,1.0,1.0,19
AAPL,forward,2018-02,price_cal,57,0.52125,0.04234151591787102,0.2917345215204291,0.5263157894736842,0.5625,0.48,0.543859649122807,1.0,1.0,19
AAPL,forward,2018-02,static_cal,57,0.52125,0.04234151591787102,0.2917345215204291,0.5263157894736842,0.5625,0.48,0.543859649122807,1.0,1.0,19
AAPL,forward,2018-02,gate_cal,57,0.52125,0.04234151591787102,0.2917345215204291,0.5263157894736842,0.5625,0.48,0.543859649122807,1.0,1.0,19
