phase,symbol,period,method,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant,source,scope,invalid_n,news_ratio,days
frozen,AAPL,all,R0,304,0.5081327260897853,0.0211041413088177,0.2676735234412185,0.1266210623679317,0.819078947368421,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,R1,304,0.5474951203643461,0.1086325641377443,0.2509404256683564,0.0734375914220393,0.743421052631579,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,R2,304,0.5286271958360442,0.0672637579607844,0.2641845764119389,0.1329165417670631,0.7631578947368421,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,S2,304,0.5287356321839081,0.0622946303435989,0.2628563473942767,0.0990266097114483,0.694078947368421,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,S3,304,0.5404033832140533,0.0852734139691853,0.2564160005521065,0.0644681163800498,0.6611842105263158,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,title,304,0.5127954890479288,0.0356681578163937,0.265522192496468,0.1332002237177438,0.8486842105263158,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,body,304,0.5427239210583388,0.1035197504955921,0.2550999265169232,0.0752469951630395,0.7828947368421053,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,semantic,304,0.55530253741054,0.1312201918692296,0.2833885955885713,0.1795039554853138,0.7697368421052632,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,llm,304,0.4601604857948384,-0.0960096792219356,0.2645657100021593,0.1357782402254811,0.7796052631578947,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,F0,304,0.5127954890479288,0.0356681578163937,0.265522192496468,0.1332002237177438,0.8486842105263158,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,F1,304,0.5427239210583388,0.1035197504955921,0.2550999265169232,0.0752469951630395,0.7828947368421053,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,F2,304,0.55530253741054,0.1312201918692296,0.2833885955885713,0.1795039554853138,0.7697368421052632,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,F3,304,0.5427239210583388,0.1035197504955921,0.2550999265169232,0.0752469951630395,0.7828947368421053,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,F4,304,0.5187811754500109,0.050609665660049,0.2551954929868292,0.0762912374389219,0.8355263157894737,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,F5,304,0.5187811754500109,0.050609665660049,0.2551954929868292,0.0762912374389219,0.8355263157894737,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,all,F6,304,0.4949468661895467,-0.0131127064665454,0.2546939814367044,0.0881777786128727,0.819078947368421,0.4769736842105263,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,R0,57,0.479064039408867,-0.0530427026157667,0.2527589043991297,0.1270292124913091,0.8070175438596491,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,R1,57,0.6188423645320198,0.2831921951995806,0.2368787886729984,0.0614703674831514,0.7719298245614035,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,R2,57,0.5843596059113301,0.2137308899517661,0.2416943753725629,0.1142415015708366,0.8070175438596491,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,S2,57,0.6533251231527094,0.3481377015694313,0.2327141162473663,0.0826043074898487,0.7368421052631579,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,S3,57,0.7222906403940887,0.4714770836361918,0.2368152772240646,0.2191575326367499,0.6666666666666666,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,title,57,0.4975369458128078,-0.0070898809569352,0.2487512775129087,0.1338430886928683,0.8596491228070176,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,body,57,0.6016009852216749,0.2491776293506327,0.2461162990471983,0.0899099399134261,0.7894736842105263,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,semantic,57,0.5843596059113301,0.2137308899517661,0.2434244635292674,0.1429129333574691,0.8070175438596491,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,llm,57,0.5166256157635468,0.0744437500478197,0.2672557486249485,0.1330206340929224,0.9473684210526316,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,F0,57,0.4975369458128078,-0.0070898809569352,0.2487512775129087,0.1338430886928683,0.8596491228070176,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,F1,57,0.6016009852216749,0.2491776293506327,0.2461162990471983,0.0899099399134261,0.7894736842105263,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,F2,57,0.5843596059113301,0.2137308899517661,0.2434244635292674,0.1429129333574691,0.8070175438596491,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,F3,57,0.6016009852216749,0.2491776293506327,0.2461162990471983,0.0899099399134261,0.7894736842105263,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,F4,57,0.5332512315270936,0.108331568687379,0.2489477604103334,0.0743803731940126,0.8947368421052632,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,F5,57,0.5332512315270936,0.108331568687379,0.2489477604103334,0.0743803731940126,0.8947368421052632,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-09,F6,57,0.5344827586206896,0.1873758732290221,0.2487758748770904,0.094330378210844,0.9649122807017544,0.4912280701754385,False,nextgen_fusion,,,,
frozen,AAPL,2018-10,R0,69,0.514102564102564,0.0436728061552945,0.2687625880355307,0.1656075716887211,0.8840579710144928,0.4347826086956521,False,nextgen_fusion,,,,
frozen,AAPL,2018-10,R1,69,0.5153846153846154,0.0369800130816819,0.2500853642405228,0.1206358690715198,0.782608695652174,0.4347826086956521,False,nextgen_fusion,,,,
frozen,AAPL,2018-10,R2,69,0.5282051282051282,0.0662602512812535,0.2629776635685789,0.1637350315363661,0.7681159420289855,0.4347826086956521,False,nextgen_fusion,,,,
frozen,AAPL,2018-10,S2,69,0.5205128205128204,0.044826545174442,0.2696822624606084,0.1528344124903072,0.7101449275362319,0.4347826086956521,False,nextgen_fusion,,,,
frozen,AAPL,2018-10,S3,69,0.5538461538461539,0.1215783580010781,0.2576241003138512,0.1214313037379996,0.7391304347826086,0.4347826086956521,False,nextgen_fusion,,,,
frozen,AAPL,2018-10,title,69,0.5102564102564102,0.0288863257869647,0.2694802385227657,0.1701567208245251,0.855072463768116,0.4347826086956521,False,nextgen_fusion,,,,
frozen,AAPL,2018-10,body,69,0.5615384615384615,0.1517134898978433,0.253162180420804,0.1042055293802994,0.7971014492753623,0.4347826086956521,False,nextgen_fusion,,,,
frozen,AAPL,2018-10,semantic,69,0.5064102564102564,0.0167675757621986,0.3107541368019272,0.2592589846151019,0.8260869565217391,0.4347826086956521,False,nextgen_fusion,,,,
frozen,AAPL,2018-10,llm,69,0.3794871794871794,-0.3547801373653066,0.2831929822057004,0.2595537635295252,0.8695652173913043,0.4347826086956521,False,nextgen_fusion,,,,
