group,symbol,month,method,C,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant
AAPL|R0,AAPL,2018-03,R0,0.01,62,0.43645833333333334,-0.1272823676500175,0.26631839316631756,0.10908623959345848,0.46774193548387094,0.5161290322580645,False
AAPL|R0,AAPL,2018-03,R0,0.1,62,0.453125,-0.09414308348501883,0.3152197267325888,0.2406389024760921,0.45161290322580644,0.5161290322580645,False
AAPL|R0,AAPL,2018-03,R0,1.0,62,0.46979166666666666,-0.060894276207042165,0.34145232502610606,0.291508079043868,0.43548387096774194,0.5161290322580645,False
AAPL|R1,AAPL,2018-03,R1,0.01,62,0.471875,-0.058191817512585564,0.26874469323891487,0.12388504362497763,0.3709677419354839,0.5161290322580645,False
AAPL|R1,AAPL,2018-03,R1,0.1,62,0.42291666666666666,-0.15817166261312793,0.3121820509569317,0.25760640729626044,0.3870967741935484,0.5161290322580645,False
AAPL|R1,AAPL,2018-03,R1,1.0,62,0.421875,-0.1582405261068229,0.32905712222021355,0.31231440415178224,0.41935483870967744,0.5161290322580645,False
AAPL|R2,AAPL,2018-03,R2,0.01,62,0.5510416666666667,0.10338381038979097,0.25157061763876043,0.07097623663304925,0.41935483870967744,0.5161290322580645,False
AAPL|R2,AAPL,2018-03,R2,0.1,62,0.5479166666666666,0.09583333333333334,0.2601721918587041,0.09752503793128565,0.5161290322580645,0.5161290322580645,False
AAPL|R2,AAPL,2018-03,R2,1.0,62,0.48020833333333335,-0.04061164310337068,0.27338100080301075,0.1771577678293536,0.6129032258064516,0.5161290322580645,False
AAPL|R0,AAPL,2018-04,R0,0.01,63,0.5090725806451613,0.01833088937766916,0.24508913444570998,0.03888300188099851,0.5714285714285714,0.49206349206349204,False
AAPL|R0,AAPL,2018-04,R0,0.1,63,0.5246975806451613,0.049696660496618174,0.2510087397847061,0.0959490096039877,0.5555555555555556,0.49206349206349204,False
AAPL|R0,AAPL,2018-04,R0,1.0,63,0.5246975806451613,0.049696660496618174,0.2842764907752724,0.18739381334096536,0.5555555555555556,0.49206349206349204,False
AAPL|R1,AAPL,2018-04,R1,0.01,63,0.5564516129032258,0.11359236684941297,0.2427480052414925,0.04724445607608044,0.5555555555555556,0.49206349206349204,False
AAPL|R1,AAPL,2018-04,R1,0.1,63,0.5090725806451613,0.01833088937766916,0.2550999862452743,0.1921730403659045,0.5714285714285714,0.49206349206349204,False
AAPL|R1,AAPL,2018-04,R1,1.0,63,0.46169354838709675,-0.07779832024680092,0.2983687779228576,0.2774373929901647,0.5873015873015873,0.49206349206349204,False
AAPL|R2,AAPL,2018-04,R2,0.01,63,0.5241935483870968,0.04843594796964828,0.24449623912264237,0.060985422873109915,0.5238095238095238,0.49206349206349204,False
AAPL|R2,AAPL,2018-04,R2,0.1,63,0.5725806451612903,0.14664711502135327,0.2437541895264036,0.08252552739910109,0.5714285714285714,0.49206349206349204,False
