symbol,variant,rows,mean_prompt_tokens,max_prompt_tokens,mean_passages,zero_passage_rows
AAPL,P1,803,2702.6089663760895,3314,8.255292652552926,6
AAPL,P2,803,4988.108343711084,6000,24.19551681195517,6
AAPL,P3,803,4907.559153175592,6000,23.671232876712327,6
AMZN,P1,804,1225.8992537313434,2890,1.4303482587064678,422
AMZN,P2,804,1569.5995024875622,5871,4.400497512437811,402
AMZN,P3,804,1520.3681592039802,4939,4.003731343283582,405
